title,type,source,theme,date,body,link
Secretary-General Condemns Use of Lethal Force against Protestors in Myanmar,News and Press Release,UN SG,Protection and Human Rights,28 Feb 2021,"SG/SM/20606, The following statement was issued today by the Spokesperson for UN Secretary-General António Guterres:, The Secretary-General strongly condemns the violent crackdown in Myanmar. He is deeply disturbed by the increase in deaths and serious injuries. The use of lethal force against peaceful protestors and arbitrary arrests are unacceptable., The Secretary-General urges the international community to come together and send a clear signal to the military that it must respect the will of the people of Myanmar as expressed through the election and stop the repression., For information media. Not an official record.",https://reliefweb.int/report/myanmar/secretary-general-condemns-use-lethal-force-against-protestors-myanmar
"Myanmar - Protests (DG ECHO, UN, media) (ECHO Daily Flash of 1 March 2021)",News and Press Release,ECHO,Protection and Human Rights,1 Mar 2021,"At least 18 people were killed and more than 30 injured in Myanmar on 28 February, as police and military forces confronted peaceful Civil Disobedience Movements demonstrations, according to the UN Human Rights Office. The reported casualties make it the deadliest day since the military seized power on 1 February., The Civil Disobedience Movement's impact on essential and social services is deeply felt across the country, with medical service functioning at their minimum, no COVID-19 testing and treatment capacity, banks closed and ATMs often not functioning, supplies partly stopped with some shortages of essential items and sharp price increases in different parts of the country (from 10% to 25% accordingly to DG ECHO's partners)., Humanitarian assistance is also severely impacted by the dysfunctionality of key services, such as government administrations, banks and supplies. Partners reported important delays in food and cash distribution. Food insecurity in the country is therefore expected to rise. Access to health for the most in need is also of concern.",https://reliefweb.int/report/myanmar/myanmar-protests-dg-echo-un-media-echo-daily-flash-1-march-2021
"ASEAN, Canada and UN Women jointly launch a 5-year programme to advance Women, Peace and Security Agenda",News and Press Release,UN Women,"Contributions
Gender
Peacekeeping and Peacebuilding",24 Feb 2021,"[Joint Press Release], [For immediate release], Jakarta, INDONESIA — The Association of Southeast Asian Nations (ASEAN), Canada and UN Women jointly launched today a 5-year programme to expand and strengthen women’s leadership and participation in conflict prevention, resolution and recovery in South-East Asia., The CAD 8.5 million (US $6.36 million) programme, “Empowering women for sustainable peace: preventing violence and promoting social cohesion in ASEAN”, is funded by Global Affairs Canada with the support of UN Women as a lead UN partner., “Canada is proud to launch this flagship initiative that uses the women, peace and security approach to promote inclusive and sustainable peace and security in the region, while addressing the systemic gender inequality,” said H.E. Diedrah Kelly, Canada’s Ambassador to ASEAN., ASEAN has made important strides to advance women, peace and security agenda, including the adoption of the first ‘Joint Statement on Promoting Women, Peace and Security in ASEAN’ in 2017, the launch of the ASEAN Women’s Peace Registry in 2018, and convening the first ASEAN Symposium on Women, Peace and Security in 2019 and the ASEAN Ministerial Dialogue on Strengthening Women's role for Sustainable Peace and Security in 2020., Secretary-General of ASEAN H.E. Dato Lim Jock Hoi said, “ASEAN is working concertedly to advance women, peace and security agenda across the three ASEAN Community Pillars as part of our commitment to promote gender equality and the roles of women in the implementation of the ASEAN Comprehensive Recovery Framework.”, The COVID-19 impact has increased the risks for women and girls in fragile and conflict-affected contexts and this challenges us to re-examine threats to human security. “The pandemic highlights the important linkage between peace, humanitarian and development and the critical need for women’s leadership and participation to ensure effective and comprehensive response, from policy decision-making to peace building and pandemic response,” said Mr. Mohammad Naciri, Regional Director, UN Women Regional Office for Asia and the Pacific., The new programme reflects the commitment of ASEAN and Canada to promote gender equality and to respond to an increasingly widespread calls across the globe for women to be empowered to lead and participate in peace and development., ASEAN includes Brunei, Cambodia, Indonesia, Lao People’s Democratic Republic, Malaysia, Myanmar, Philippines, Singapore, Thailand, and Viet Nam., For more information, please contact:, Montira Narkvichien
Regional Communications Specialist, UN Women Asia and the Pacific Tel: +66 2 288 1579 |
Mobile: +66 81 6688900 | Email: montira.narkvichien@unwomen.org, Nindia Satiman
Advocacy officer, Canada's Mission to ASEAN | Mobile: +62 811 8575 205 | Email: nindia.satiman@international.gc.ca, About Mission of Canada to ASEAN, The Mission of Canada to ASEAN carries forward the proud tradition of multilateral diplomacy and international engagement. We are here to ensure that Canada plays an active role on peace and security, fair trade and stronger economic cooperation, sustainable development, human rights, and people-to-people connectivity, especially in a region so vibrant like Southeast Asia., The Permanent Mission of Canada to ASEAN is co-located with the Embassy of Canada in Jakarta, Indonesia., About UN Women, UN Women is the United Nations organization dedicated to gender equality and the empowerment of women. A global champion for women and girls, UN Women was established to accelerate progress on meeting their needs worldwide.",https://reliefweb.int/report/myanmar/asean-canada-and-un-women-jointly-launch-5-year-programme-advance-women-peace-and
"Mu Traw District Short Update: The destruction of old ordnance by the Tatmadaw results in UXO contamination in Bu Tho Township, December 2020",Situation Report,KHRG,"Mine Action
Protection and Human Rights",26 Feb 2021,"This Short Update describes events that occurred in Bu Tho Township, Mu Traw District in December 2020 and January 2021. On December 29th 2020, the Tatmadaw[1] destroyed old ordnance on land belonging to a local farmer without his consent, resulting in UXO [unexploded ordnance] contamination. Although the land owner asked the soldiers to clear the area of UXO, they did not do so until late January 2021.[2], On December 19th 2020, the Tatmadaw Maintenance Unit #642 under Hpapun Operations Command destroyed old ordnance [by detonating it] right beside a local villager’s paddy field in H--- village, Meh Klaw village tract,[3] Bu Tho Township, Mu Traw District. The land owner is Saw L---.[4] According to him, the Tatmadaw had already destroyed old ordnance on his land in January 2020., The Tatmadaw did not inform Saw L--- in advance nor ask for his permission to destroy the ordnance on his land. On the day of the incident, the owner begged the soldiers not to destroy the ordnance on his paddy field, but outside of it. A Tatmadaw soldier replied that since nearby areas are bushy, they would do it beside the farm. However, they ultimately detonated the ordnance right beside the paddy field’s embankment, less than one foot [30 cm] away from the farm., Saw L--- then told the Tatmadaw soldiers to take away or destroy all the pieces of ordnance that had not exploded [but they did not do it immediately]. They left behind unexploded mortar shells, RPG-7 [40 mm rockets] and other pieces of ordnance. Saw L--- was therefore concerned for his security because of the presence of [unexploded] ordnance on his land. According to an update provided by a KHRG researcher on February 24th 2021, the Tatmadaw eventually cleared the area of unexploded ordnance in late January 2021.",https://reliefweb.int/report/myanmar/mu-traw-district-short-update-destruction-old-ordnance-tatmadaw-results-uxo
"Southeast Myanmar Field Report: COVID-19, armed conflict, killings and sexual violence, July to December 2020",Situation Report,KHRG,"Education
Food and Nutrition
Health
Protection and Human Rights
Recovery and Reconstruction",28 Feb 2021,"Introduction, This Field Report analyses information collected by KHRG field researchers during the period between July and December 2020., As the COVID-19[1] pandemic entered into the second wave of infections in August, rural communities in Southeast Myanmar faced new and increased restrictions that impacted their livelihood situation. Unable to access their plantations because of local lockdowns, sell their cash crops and goods, or find work as day labourers, many rural villagers are struggling to find alternatives to provide for their families. Although some financial and material aid is being provided by the Myanmar government, the Karen National Union (KNU),[2] and other organisations, that aid remains uneven in its distribution, often failing to reach those most in need. Access to education has also been heavily impacted by the second wave of COVID-19. Ongoing school closures in most areas, and policy and procedural changes for schools that do remain open have raised concerns among parents about increased school dropouts and the educational future of their children. Access to healthcare remains limited, with healthcare workers unable to access some areas, and villagers often unable to travel to the clinics closest to them. Several positive cases of COVID-19 have been reported in KHRG’s operational area. With limited access to testing and medical services, local villages are often left to figure out on their own how to best handle and contain the situation., The Tatmadaw[3] maintained a strong presence in the northernmost KNU-defined districts over the reporting period, and kept supplying troops, weapons and ammunition to its army camps. It also resumed military road construction works in Kler Lwee Htoo (Nyaunglebin) and Mu Traw (Hpapun) districts,[4] leading to an increase in tensions and sporadic fighting with the Karen National Liberation Army (KNLA).[5] In December, the security situation in Meh Wai, Mu Traw District deteriorated dramatically after repeated Tatmadaw incursions into areas controlled by the KNU. The resulting skirmishes between the KNLA and the Tatmadaw forced dozens of households to flee their village. Fighting reportedly spread to nearby village tracts[6] and continued in early 2021. KHRG also documented several instances of indiscriminate shelling by the Tatmadaw on civilian areas in Kler Lwee Htoo and Mu Traw districts. These incidents resulted in casualties and further displacement; and also damaged livelihood areas, houses and water distribution installations in at least one village., KHRG continued to receive information about sexual violence against women. It documented four instances of rape during the reporting period: two against children and two against adult women. Although all those cases were reported to either local leaders or the Karen National Police Force (KNPF),[7] none of the perpetrators had been formally convicted under rape charges at the time of drafting. Local authorities and law enforcement often struggled to establish the facts in the absence of witnesses or confession, resulting in lengthy investigations or the dropping of rape charges. This suggests that limited investigation capabilities are one of the main barriers preventing survivors from accessing justice. In addition, some of these cases confirmed the tendency to resort to compensation to settle sexual violence cases in Southeast Myanmar. They also highlighted other barriers to justice, such as a lack of legal awareness among village authorities and weak rule of law., Lastly, KHRG documented three killing cases and one instance of forced labour.[8] Five civilians, including four children were also injured in the explosion of unexploded ordnance over the reporting period. This highlights that remnants of war continue to pose an unacceptable threat to villagers in some areas. In parallel, natural disasters have translated into livelihood difficulties for villagers reliant on small-scale farming in Dooplaya and Mu Traw districts; while entire communities had to leave their villages due to floods in Mergui-Tavoy District. In Kler Lwee Htoo District, large-scale gold mining operations along the Klaw Myaw, Puh Loh Kloh and Kaw Ka Loh Kloh rivers have resulted in water pollution, thus threatening the livelihoods of riverside communities. Reports from Mergui-Tavoy District also showed that ethnic villagers from remote areas still struggle to get ID cards due to discrimination from Myanmar government staff and difficulties in obtaining supporting documentation.",https://reliefweb.int/report/myanmar/southeast-myanmar-field-report-covid-19-armed-conflict-killings-and-sexual-violence
UN Human Rights Office urges military to halt violence against peaceful protestors across Myanmar: Comment by UN Human Rights Office Spokesperson Ravina Shamdasani on Myanmar [EN/MY],News and Press Release,UN HRC,Protection and Human Rights,28 Feb 2021,"Geneva: “We strongly condemn the escalating violence against protests in Myanmar and call on the military to immediately halt the use of force against peaceful protestors., Throughout the day, in several locations throughout the country, police and military forces have confronted peaceful demonstrations, using lethal force and less-than-lethal force that – according to credible information received by the UN Human Rights Office – has left at least 18 people dead and over 30 wounded. Deaths reportedly occurred as a result of live ammunition fired into crowds in Yangon, Dawei, Mandalay, Myeik, Bago and Pokokku. Tear gas was also reportedly used in various locations as well as flash-bang and stun grenades., The people of Myanmar have the right to assemble peacefully and demand the restoration of democracy. These fundamental rights must be respected by the military and police, not met with violent and bloody repression., Use of lethal force against non-violent demonstrators is never justifiable under international human rights norms., Since the beginning of the coup d’état in Myanmar on 1 February, the police and security forces have targeted an ever-increasing number of opposition voices and demonstrators by arresting political officials, activists, civil society members, journalists and medical professionals. Today alone, police have detained at least 85 medical professionals and students, as well as seven journalists, who were present at the demonstrations. Over 1,000 individuals have been arbitrarily arrested and detained in the last month – some of whom remain unaccounted for – mostly without any form of due process, simply for exercising their human rights to freedom of opinion, expression and peaceful assembly., We reiterate our call for the immediate release of all those arbitrarily detained, including members of the democratically elected government., The international community must stand in solidarity with the protestors and all those seeking a return to democracy in Myanmar.”, ENDS, MEDIA CONTACTS, Ravina Shamdasani
OHCHR, Todd Pitman
+66 63 216 9080
todd.pitman@un.org",https://reliefweb.int/report/myanmar/un-human-rights-office-urges-military-halt-violence-against-peaceful-protestors
Shocking scenes of violence on streets of Myanmar put at risk lives and well-being of children and families,News and Press Release,Save the Children,Protection and Human Rights,28 Feb 2021,"28 February 2021 - Following news of casualties among demonstrators in Myanmar, a Save the Children spokesperson said:, “The shocking scenes of violence on the streets of Myanmar today put at risk the lives and well-being of children and their families. Save the Children condemns the use of lethal violence and other excessive force against peaceful demonstrators. World leaders must come together and act in unison to protect the lives and liberty of people in Myanmar against the brutal force being shown by the security forces. Many of those arrested, injured or killed today are students and young people. Demonstrators must be allowed to raise their voice to call for the reinstatement of democracy and the release of elected leaders. Save the Children calls on the security forces and other authorities to refrain from violence and to respect the rights of their own citizens, including their rights to freedom of assembly and expression. The world is watching and will not look away.”",https://reliefweb.int/report/myanmar/shocking-scenes-violence-streets-myanmar-put-risk-lives-and-well-being-children-and
"Burma and Bangladesh - Regional Crisis Response Fact Sheet #3, Fiscal Year (FY) 2021",Situation Report,USAID,"Contributions
Food and Nutrition
Health
Protection and Human Rights
Shelter and Non-Food Items
Water Sanitation Hygiene",26 Feb 2021,"SITUATION AT A GLANCE, 1 MILLION People in Need of Humanitarian Assistance in Burma
UN – January 2021, 104,475 IDPs in Burma’s Kachin and Northern Shan
UN – December 2020, 130,000 IDPs—Originally Displaced in 2012—in Burma’s Rakhine IDP Sites
UN – January 2021, 101,798 IDPs Displaced by Burmese Military— AA Conflict in Rakhine and Chin
UN – January 2021, 871,924 Refugees in Bangladesh’s Cox’s Bazar
UNHCR – January 2021, The Government of Bangladesh continues to relocate Rohingya refugees to Bhasan Char despite concerns from the international community regarding humanitarian and protection conditions on the island., Following the Burmese military coup d’état against the civilian government on February 1 and subsequent civilian protests, USG partners continue humanitarian operations., Escalated hostilities between Burmese military forces and armed groups in Shan during December and January displace thousands of individuals., KEY DEVELOPMENTS, Government of Bangladesh Continues Refugee Relocations to Bhasan Char, The Government of Bangladesh relocated thousands of Rohingya refugees to Bhasan Char—a floodprone silt island in the Bay of Bengal—between December 2020 and February 2021, according to humanitarian actors. More than 10,000 refugees were residing on the island as of mid-February following the most recent Government of Bangladesh-initiated relocations on February 14 and 15 that moved approximately 3,600 refugees from Cox’s Bazar District to the island, relief actors report. The Government of Bangladesh, which commenced the relocation of refugees to Bhasan Char in early December, had not permitted the UN to conduct an independent and comprehensive technical and protection assessment of the island as of mid-February. The U.S. Government (USG), alongside other donors and humanitarian partners, continues to advocate that any resettlements to Bhasan Char be fully voluntary, based on informed consent, and preceded by UN technical and protection assessments., Humanitarian Operations Continue Following Burma Military Coup, Humanitarian operations in Burma continue largely unabated following the Burmese military coup d’état against the Burmese civilian government on February 1, during which soldiers detained senior civilian government officials—including State Counselor Aung San Suu Kyi and President Win Myint—and announced a one-year state of emergency. While movement restrictions and intermittent, militaryimposed telecommunications disruptions resulted in the temporary pause of some humanitarian activities during the week of February 1, humanitarian organizations—including USG partners—had largely resumed programming supporting vulnerable households across Burma as of mid-February. In addition, mostly peaceful civilian protests in Yangon city following the change in state leadership have not disrupted humanitarian assistance. However, the ongoing civil disobedience movement has caused widespread closure of businesses, including banks, causing challenges for humanitarian agencies. The UN has released statements expressing concern regarding the coup, affirming its intent to continue lifesaving relief activities in Burma, and urging military authorities to allow for uninterrupted humanitarian access to vulnerable populations., Clashes Displace Thousands of People in Shan from December to February, Escalated hostilities between the Burmese military and non-state armed groups (NSAGs) in northern Shan State since late December have displaced thousands of individuals and resulted in several civilian casualties, according to the UN. Conflict between the Shan State Army and the Ta’ang National Liberation Army displaced an estimated 3,900 people in Kyaukme and Namtu townships between December 27 and January 15, of whom 1,000 remained displaced in Kyaukme as of January 25. Fighting between the Burmese military and NSAGs, as well as among NSAGs, continued from early to midFebruary, resulting in the displacement of more than 2,000 people in Hsipaw, Kyaukme, and Namtu townships and at least three civilian casualties, the UN reports. This recent displacement is in addition to the approximately 9,800 people who remain in protracted displacement in Shan. In response to increased protection risks due to displacement, USAID/BHA partner the International Rescue Committee (IRC) provided information on gender-based violence (GBV) service availability to more than 400 women in Shan in December, in addition to psychosocial support services and GBV awareness sessions for vulnerable populations. In addition, State/PRM partner the Office of the UN High Commissioner for Refugees (UNHCR) distributed more than 300 non-food item kits—consisting of blankets, mosquito nets, and plastic mats—to vulnerable households in Shan during December. An estimated 1 million people will likely require humanitarian assistance across Burma during 2021, including approximately 336,000 displaced people who remain in camps or displacement sites in eastern Bago Region and Chin, Kachin, Kayin, Rakhine, and northern Shan states, according to the UN.",https://reliefweb.int/report/myanmar/burma-and-bangladesh-regional-crisis-response-fact-sheet-3-fiscal-year-fy-2021
Q&A: A Close-up View of Myanmar’s Leaderless Mass Protests,News and Press Release,ICG,Protection and Human Rights,26 Feb 2021,"Engineers, doctors and even exotic pet owners have come together in opposition to the military coup for what are now Myanmar’s widest protests in three decades. We asked Crisis Group’s senior adviser on Myanmar, Richard Horsey, to talk about what's happening and why., What was it like to be in the streets during the protests?, It's hard to describe the incredible energy. The people who join cut across all classes of society and generations, but the preponderance are really quite young, energetic people who feel their futures have been stolen. Young people in Myanmar have grown up under the past ten years of relative liberalisation, 4G connection to the world and consistent economic growth. This period has been one of the first times in the last 50 years when a generation has felt that tomorrow will be better than today. They feel that the coup has robbed them of that hope., Another aspect perhaps not seen from the outside is how positive the energy is in the protests, the very innovative humour, people outdoing each other to have the best memes on Facebook. There's clearly been some inspiration and techniques drawn from protests in nearby Thailand and Hong Kong. But there's also a really strong element of Burmese culture present, where quick, cutting satire is a response to all kinds of things. For instance, people have been stopping their cars in the streets, pretending they've broken down, raising their bonnets and telling the police: ""I don't know what's going on, since the coup my car's CDM warning light is flashing and it's breaking down all the time!"" (CDM is the acronym for the civil disobedience movement.) Of course, the police started cracking down on this, and so the next day people started driving really, really slowly. When the police got wise to that, protestors did something else, almost slapstick humour. Someone bought a big bag of onions, but made sure there was a hole in the bottom. The person then went out onto an intersection and of course the onions started coming out of the bottom. And like in any market in Myanmar, everyone rushed over to help pick them up, and put them back in the bag. But of course, they kept coming back out. And soon there was a gridlock backed up for blocks. At the same time, they had a very serious objective, which was to frustrate the ability of the police to move around town and intercept other protests., You've been watching Myanmar and often living in the country for 25 years. Have you seen this many people on the streets before? Are the protests unifying the population?, This is clearly the biggest, most concerted protest movement that Myanmar has seen since 1988, when huge numbers of people went onto the streets to confront military rule. On 22 February this year, there were hundreds of thousands of people on the streets in Yangon, well in excess of a million across the country. There were big rallies in dozens of provincial towns and cities, including some pretty remote places., People all over the country want to participate in the popular rejection of the coup. While that of course includes restoring power to the victors in the November elections -- the National League for Democracy (NLD) of Aung San Suu Kyi -- the rejection goes far beyond that. What this coup has really done is unite the overwhelming majority of people in the country. Whether or not they supported the NLD in the elections, almost everyone can agree that they don't want the military running the country. Myanmar remains an incredibly divided society, in many different dimensions, but nobody wants to go back to the dark days of the authoritarian military past., We should be cautious about thinking it will be easy to heal those deep divisions. But there are some signs that the protest movement is beginning to bridge some of the divides. Initially, after the coup, some ethnic armed groups and political leaders were -- logically, from their perspective -- positioning themselves to see what concessions they could wrest from a military with an apparently weakened hand. This was driven by a sense that in the context of mass protests, the military could less afford armed conflict in the periphery, and was in need of whatever legitimacy it could get. Some ethnic leaders have even joined the regime's new administrative structures. But I think we're seeing a shift, as the mood of the country is expressed so clearly on the streets, including big protests in areas where minority ethnic groups are concentrated. Some ethnic armed groups and ethnic political parties have now put out quite strong statements aligning themselves with the protestors. This is partly because they see which way the wind is blowing generally in terms of popular public sentiment, and partly because they are seeking greater autonomy and know that any future political deal granting it will have to be agreed to by the majority. But their attitudes reflect more than these calculations. Increasingly it's their own ethnic populations coming out on the streets. Whatever minority ethnic populations think of the NLD, they just don't want to be under military government because it's the military governments of the past that had so severely oppressed ethnic minorities., What is the impact of the civil disobedience campaign?, The civil disobedience movement is probably having more impact on the regime than the protests. In 1988, we saw public sector workers striking and protesting, but there hasn't been this kind of broad civil disobedience movement in more recent times. During the last major instance of protests, in 2007, the movement was led by monks. Some of the people now demonstrating are civil servants, but other government staff are just not going to work or they're going to work and just not carrying out their normal functions. That is what is starting to paralyse the state. It's paralysed the banking system, even the private banks; it's paralysing the ports, transport, everything you need, in fact, to run a country., The military sees this and focuses most of its public messaging on urging people to get back to work, threatening them. When there have been cases of violence, it mostly hasn't been against the demonstrators singing and chanting on the streets, it's been to try to break up striking workers, including railway and port workers. We saw deadly violence against demonstrators trying to protect striking ship crews in the port in Mandalay, with at least ten demonstrators shot with live rounds, four of whom have died., There is trouble for the military even in the capital, Naypyitaw, which they designed and built as a protest-proof city sequestered from the rest of the country. People who live there are mostly civil servants, their families and a very small number of others. There have been huge demonstrations in Naypyidaw and that must be worrying for the generals, because that tells them that the civil service, their own administrative staff, are against them. This type of opposition is something that symbolically they can't accept, and in terms of running the country, something they can't afford., It's becoming clearer by the day that the army leadership has made a huge strategic miscalculation, and some officers may wonder if they really are all in this together. The Tatmadaw (Myanmar's military) has no history of significant institutional fissures or splits. In their professional lives, they are an indoctrinated group who are trained to believe that they are better than the rest of the population, that their role is to hold the country together. But this history of not splitting is now being tested in a way that it hasn't been in decades, perhaps ever. We should not anticipate a split, but neither should we be too confident in predicting that it won't happen., What are the crowds' feelings towards the Myanmar military?, There is a very strong pro-NLD mood in the country. But there's an even stronger and more universal anti-military mood. It's important to say that it's not necessarily against the institution itself or the individual soldiers, the antagonism is directed against the military running the country. Myanmar is a very different place than in 1988 or even when the last major demonstrations took place in 2007, with people now used to expressing themselves relatively openly, with a bigger middle class, and more connected to the world than ever before. The military is not as completely cocooned as it was in those times -- soldiers come from normal schools, officers intermarry with the national elite -- but the military nonetheless has been built up as a state within a state over decades. They have their own hospitals, their own universities, everything is a parallel structure to insulate them from the general public and weak public services. Society has changed a lot, but the military has not changed as much., The NLD's landslide in the November 2020 elections put paid to Commander-in-Chief Min Aung Hlaing's hopes of finding a coalition of anti-NLD forces that would support him politically in his ambition to become president. He was very unhappy with the outcome and immediately began claiming there was foul play (he hasn't been able to present any evidence of that). When he staged the coup on 1 February, his script ran something like this: we will do this, it won't be popular, but we have the might, we know what we're doing, we'll bring efficient administration and we'll have no trouble shutting down demonstrations. We will rally the anti-NLD forces and form a coalition to run the country. After the coup, he appointed a mix of military officers and civilians from ethnic and other non-NLD parties to the regime's State Administration Council., Where Min Aung Hlaing miscalculated is that there's a big difference between opposing the NLD and supporting authoritarian military rule. He discovered pretty quickly that few people, even among NLD opponents, were on board with the latter., Min Aung Hlaing is likely planning to convict Aung San Suu Kyi of a felony and dissolve the NLD as a party, which would mean the military could run a new election -- they have promised to do so in a year's time -- and get the result that they want. But that wouldn't solve their problem with legitimacy and public anger., Who is leading the civil unrest?, This is a leaderless movement. It is a spontaneous reaction. The vast majority of the population is against the coup and wants to show that they are against it. Clearly there are some very intelligent, politically connected and committed people involved, but the protests and civil disobedience are not led by the NLD, or a fixed committee of people, or a labour movement, or a charismatic union leader. Instead, many different groups of people have converged on the same ideas, often in chat rooms or on Facebook., What this diverse movement loses in focus and strategy, it gains in flexibility and creativity. Many participants gather by professions or pre-existing networks. You see medical staff, engineers, friendship groups, LGBT+, even owners of exotic pets or those who like to cosplay (dress up in costumes). In Mandalay, there was a big engineers' march, but it wasn't just an association of engineers bringing out its members. The call went out on Facebook for all engineers to come wearing their hard hats. As usual, volunteers watched the side of the procession, carrying string to mark the edge. But they had a problem: they had to make sure that everyone joining in was an engineer, not a provocateur or others who would be exposed as being ""fake engineers"". So everyone who wanted to participate was asked some simple engineering questions to pass before they were allowed to join in., What's happening now is almost three revolutions in one. It's the NLD supporters' revolution against the taking down of the NLD government. It's also a much broader revolution against military rule and given further impetus by deep pain resulting from the economic crisis triggered by COVID-19, which cuts across party lines; the military has done the coup at the peak of the economic pain of COVID, setting a match to a lot of dry tinder. And then there is the generational revolution in a country of gerontocratic institutions mostly run by old men. It's clear that there's a new energy driving the young people on the streets, who tend to eschew party politics and talk about their futures having been stolen by the coup., The military may be tempted to just ignore the demonstrations, wait and hope they burn themselves out. But every day that they concede the streets to the protest movement it may get bolder, stronger and gain momentum. The military may be reluctant to allow massive public displays of opposition to continue. They may be unable to abide what they no doubt view as the indignity of seeing these massive crowds chanting 'Down with Military Rule'. At a certain point, the military are likely to snap. But the problem there is that when they've tried violence up to now, it has only brought more people out onto the streets., The military have dug an extremely deep hole for themselves. It's difficult for them to negotiate with a leaderless movement, and indeed it's hard for a leaderless movement to have a coherent strategy. But all Myanmar's demonstrators do agree on one thing: the military must leave power. So how does the military get out of this, short of brutal suppression of dissent and an extended war of attrition with the people? Even if they could turn back the clock, most people aren't going to accept a return to the previous status quo. It's hard to see this going well for anyone from here, not for the country, not for the people, not for the economy and not for the military itself., What can the world do?, Governments across the world grappling with how to respond face some tough dilemmas. Particularly, Western leaders understandably want to act forcefully against the coup, including by imposing sanctions. Yet the toughest sanctions in the world could not paralyse the Myanmar state in the way that these ground-level strikes are doing. It's clear that what may tip the balance is domestic factors. It's civil disobedience, rather than anything outside actors can do., That's not to say there isn't a role for foreign governments. It is important they take a stand, demonstrate moral clarity and make sure that they aren't part of the problem. Showing solidarity is definitely important for the protest movement, and I think that they're looking very much for that. There is a role for carefully targeted sanctions directed at the generals, their assets and some of their businesses. These types of measures would signal solidarity with the people and make clear opposition to the coup. Those governments that do not already have arms embargoes in place should impose them. If they don't, they risk, given the military's track record, being complicit in violence against peaceful protesters., Still, sanctions against Myanmar will have a very marginal impact on the military's decisions. What we're essentially talking about here is Western sanctions -- governments in the region are extremely unlikely to impose their own sanctions and it will not be possible to get such measures through the UN Security Council. The military has a long experience of surviving and circumventing tough sanctions and, besides, their economic relations are not primarily with the West. All governments must avoid imposing broad, untargeted sanctions that hurt ordinary Myanmar people -- thus far, most Western leaders appear to recognise that would be counterproductive. Any changes to policies related to aid should be guided by the same principle, and a recognition that the coup and its after-effects will push huge numbers of people into poverty, increasing the need for assistance., It's important for the outside world to recognise that domestic dynamics are driving the political developments, and think carefully about how the population can be supported through a very difficult time. It's important to listen to the voices of the people (as in any crisis, there are many different views), show solidarity, and recognise and support the agency of the Myanmar people at this time. This means more engagement with protest leaders and other legitimate Myanmar voices to understand their views and to know what support and solidarity measures could be most useful.",https://reliefweb.int/report/myanmar/qa-close-view-myanmar-s-leaderless-mass-protests
"Myanmar: Military must restore democracy, allow people to protest and express themselves, say UN experts",News and Press Release,UN HRC,Protection and Human Rights,26 Feb 2021,"GENEVA (26 February 2021) -- UN human rights experts* today called on the Myanmar military to immediately end the violent crackdown on countrywide peaceful protests against its coup and allow free expression., ""The people of Myanmar have the right to protest peacefully and express their discontent with the military coup,"" the experts said. ""We call on the military to refrain from using force against peaceful protests, stop using live bullets against protesters immediately and respect their right to peaceful protest,"" they added., Myanmar has seen hundreds of thousands of peaceful demonstrators take to the streets to oppose this month's military takeover and the removal of the civilian government. At least five protesters have died while many human rights defenders have been threatened and gone into hiding., The experts also expressed concern that at least 700 people had been detained since the coup, including high-profile leaders of the civilian government. Some are being kept under house arrest with no outside contact and in most cases their whereabouts are unknown. The lack of official charges or acknowledgement of detention is also disturbing, they said., ""The arbitrary detention and harassment of those voicing their dissent or organising and participating in peaceful protests must immediately end,"" the experts said., ""We are very concerned that journalists covering the protests have been arbitrarily detained and military personnel are reportedly using slingshots to fire pellets at journalists. Deliberate attacks on journalists and their arbitrary detention are serious violations of international human rights law and must immediately stop."", The experts noted that the military junta has unlawfully passed or is planning to pass a worrying series of regulatory measures that would entrench the control of the regime over the flow of information through the internet and strip individuals of their human rights., ""These vague and overly broad provisions would give the military unfettered power to censor dissenting voices on social media, disrupt the internet at will and access user information with no restraint or regard for their right to privacy,"" said the experts., Endorsing earlier calls from the UN Special Rapporteur on the situation of human rights in Myanmar, the experts urged the military to restore democratic institutions, and ensure that all those detained for exercising their human rights are immediately released and not subjected to any harm while in custody., ""The progress of the last decade on democratisation, human rights and the existing dialogue processes initiated with minorities and indigenous peoples, albeit small, must not be lost,"" the experts said., ""We warn the military junta that those who are responsible for repression and killing of peaceful protesters as well as the detention of government officials and journalists will be held accountable before international jurisdictions""., The experts called on the international community to continue to push for the respect of the will of the people of Myanmar and for the peaceful return of the power to the civilian government. They further recall that business enterprises, including state-owned enterprises, have a responsibility to respect all internationally recognised human rights wherever they operate.",https://reliefweb.int/report/myanmar/myanmar-military-must-restore-democracy-allow-people-protest-and-express-themselves
