title,type,source,theme,date,body,link
Myanmar: Displacement due to Myanmar Armed Forces & Arakan Army conflict in Rakhine and Chin States (As of 5 December 2022),Map,OCHA,Protection and Human Rights,6 Dec 2022,,https://reliefweb.int/map/myanmar/myanmar-displacement-due-myanmar-armed-forces-arakan-army-conflict-rakhine-and-chin-states-5-december-2022
Myanmar Humanitarian Update No. 25 | 30 December 2022,Situation Report,OCHA,"Camp Coordination and Camp Management
Education
Food and Nutrition
Health
Mine Action
Protection and Human Rights
Shelter and Non-Food Items
Water Sanitation Hygiene",30 Dec 2022,"This regular update, covering humanitarian developments up to 26 December, is produced by OCHA Myanmar in collaboration with the Inter-Cluster Coordination Group and UN agencies. Response figures are based on self-reporting by organizations to clusters. The next humanitarian update will be issued at the end of January 2023., HIGHLIGHTS & KEY MESSAGES, • Almost two years since the 2021 military takeover, the people of Myanmar continue to suffer amid hostilities and a crippling economic crisis that is being compounded by inflation., • More than 1.5 million people remain displaced across the country due to insecurity and violence. This is more than double the number a year ago with displaced people now living in undignified conditions and in desperate need in hardto-reach locations., • Conflict, contamination with landmines and explosive hazards, tight security, access restrictions, and threats against aid workers, particularly in the Northwest and Southeast, are on the rise, endangering lives and hampering humanitarian operations., • The informal ceasefire between the Arakan Army (AA) and the Myanmar Armed Forces (MAF) in Rakhine and southern Chin continues to hold but remains very fragile., • Humanitarian and protection needs are mounting, forcing people to adopt negative coping mechanisms to survive.
Women and girls are disproportionately being disproportionately affected., • The humanitarian community is deeply concerned about the impact of new administrative rules around NGO registration which will further shrink operating space., • Humanitarians continue to address the emerging needs of affected and displaced people where access is possible, reaching almost four million people in need with critical lifesaving assistance in the year to September., • As 2022 draws to a close, the 2022 Humanitarian Response Plan (HRP) remains drastically underfunded with only 35 per cent, leaving a gap of US$536 million (FTS). A dramatic increase in funding and an expansion of access will be critical for the humanitarian community to reach the 4.5 million people prioritized for life-saving assistance in 2023., KEY FIGURES*, 1.5M People internally displaced across Myanmar, 1.1M People currently displaced by clashes and insecurity since February 2021, 330K People internally displaced due to conflict prior to February 2021, mainly in Rakhine, Kachin, Chin, and Shan, 34K Civilian properties estimated burnt or destroyed since February 2021., *Displacement figures fluctuate during any given month. These figures represent the number of people currently displaced. Cumulative numbers for returns and displacement are not always available., SITUATION OVERVIEW, As 2022 draws to an end, humanitarian needs and protection concerns continue to grow across Myanmar, exposing many men, women, boys and girls to constant risks that threaten their physical safety and mental well-being. Almost two years after the military takeover, armed clashes, including the use of heavy weaponry, between the MAF and various Ethnic Armed Organizations (EAOs) and People’s Defence Forces (PDFs) in multiple states and regions are now a regular feature of daily life. Internal displacement and destruction of civilian properties have continued unabated, depriving more than 1.5 million people of safe shelter and dignified living conditions., The economic situation remains fragile and has been further undermined by inflation that has dramatically driven up the cost of basic food items and fuel. According to the Food Security Cluster, 15.2 million people are severely and moderately food insecure heading into 2023, up from 13.2 million people at the same time last year. To survive this multi-dimensional crisis, affected and displaced people have resorted negative coping mechanisms, including lowering food intake, selling their assets, dropping out of school, engaging in risky migration and marrying their children off early., Despite the dire humanitarian situation, access to humanitarian assistance continues to be undermined by the imposition of various administrative and physical constraints on the movement of people and goods. The humanitarian community is deeply concerned about new administrative requirements outlined on 28 October 2022 which establish a mandatory registration system for international and national non-government organizations (NGOs) and civil society organizations (CSOs). These new rules have the serious potential to reduce timely and effective delivery of humanitarian assistance to people in need in Myanmar and would severely impede the work of NGOs and CSOs who are the backbone of the humanitarian operation., With rising needs, ensuring programme continuity and engagement of the NGO and CSO community is critical to ensuring no one is left behind as we move into 2023. The humanitarian community remains committed to staying and delivering for the people of Myanmar, but as they stand, the new requirements are likely to mean that many people in need will miss out on the support they require to survive in 2023. Given the consequences for millions of people in need, and the reality that the implementation infrastructure is not yet fully in place to facilitate the administrative steps outlined, the humanitarian community is proposing a six-month moratorium on any implementation of these new rules., Such a pause would allow an opportunity for discussions at national and sub-national level and would allow space to discuss how to ensure that vital support to people in need is not interrupted., Heading into 2023, conflict dynamics are expected to remain at the same level or worsen, especially in the Northwest and Southeast. It is estimated that 17.6 million people will be in need next year of whom 4.5 million have been prioritized for urgent assistance.2 Humanitarians are committed to meeting humanitarian needs of the population, providing food, shelter, health, water and sanitation, education and protection services to crisis-affected and displaced people across the country. However, both a lack of sustained access and of funding remain key obstacles. As of 28 December, the 2022 HRP is only 35 per cent funded, which amounts to only $290 million out of a total of $826 million required, leaving significant unmet needs which will flow on into 2023.3 A repeat of this level of funding in 2023 would have dire consequences and donors are urged to give generously in support of people affected by crisis in Myanmar next year.",https://reliefweb.int/report/myanmar/myanmar-humanitarian-update-no-25-30-december-2022
"UNICEF Myanmar Humanitarian Situation Report No. 11, December 2022",Situation Report,UNICEF,"Contributions
Coordination
Education
Food and Nutrition
Health
Logistics and Telecommunications
Mine Action
Protection and Human Rights
Shelter and Non-Food Items
Water Sanitation Hygiene",30 Dec 2022,"Highlights, The number of people displaced nationally, including those in protracted situations, has continued to rise, exceeding 1.5 million as of 26 December 2022., UNICEF reached over 2.7 million children aged 6–59 months with support to the vitamin A supplementation campaign., UNICEF and its partners helped 62,583 children access formal and non-formal education, despite the continuing conflict., During the reporting period, UNICEF and its partners provided lifesaving child protection services to 41,410 people (16,135 girls, 14,803 boys, 7,358 women and 3,114 men)., UNICEF and its partners reached a total of 10,887 children aged 6– 59 months (5,446 boys and 5,441 girls) and 1,649 pregnant and lactating women with preventive nutrition services in December., 56,708 affected people were provided with life-saving WASH supplies by UNICEF and partners during the period., By the end of the year, UNICEF Myanmar had received only 20 per cent of its appeal (US$30.32 million), earmarked to provide humanitarian assistance to the targeted population., Situation in Numbers, 5,000,000 children in need of humanitarian assistance (HRP 2022), 14,400,000 people in need (HRP 2022), 1,175,300 Internally displaced people after 1 February 2021 (UNHCR, 26 Dec 2022), 49,800 People displaced to neighbouring countries since 1 February 2021 (UNHCR, 26 Dec 2022), 330,400 people living in protracted displacement before February 2021 (UNHCR,269 Dec 2022), Funding Overview and Partnerships, UNICEF Myanmar Country Office is appealing for US$151.4 million to deliver humanitarian assistance to displaced people and host communities across the country. The Myanmar Humanitarian Needs Overview (HNO) estimates that, in 2022, 14.4 million people, including 5 million children, have needed assistance. Up to December 2022, UNICEF has received generous contributions from the Bureau for Humanitarian Assistance (USAID/BHA), the European Commission’s Humanitarian Office, the German Federal Foreign Office, the Global Thematic Fund, Denmark, Japan, Norway, the Korean Committee for UNICEF, the United Nations Office for the Coordination of Humanitarian Affairs (UNOCHA) and the World Health Organization (WHO). The funds received contribute to delivering much needed assistance through UNICEF programmes covering Nutrition, Health, HIV/AIDS, Water Sanitation and Hygiene (WASH), Education, Child protection, Gender-based violence in emergencies, Prevention of sexual exploitation and abuse (PSEA), Social protection and cash-based programming, Accountability to affected populations (AAP), and Humanitarian leadership and Cluster coordination. UNICEF Myanmar has so far received US$30.32 million, representing 20 per cent of the amount appealed for. In 2023, UNICEF will continue responding according to its Humanitarian Action for Children appeal. The programmes hope to scale up services to the targeted populations, especially children in need, with continued support from the donors. UNICEF expresses its sincere appreciation to all private and public sector donors for their contributions to supporting the children of Myanmar., Situation Overview & Humanitarian Needs, Displacement due to conflict rose again in December, reaching a total of 1,505,7001 people. This figure includes those displaced by conflict prior to 2021. The ongoing conflict is constraining the movement of assistance, supplies and people. In Rakhine, the ceasefire between the Myanmar Armed Forces and the Arakan Army has resulted in the easing of some transportation restrictions. Nevertheless access, as elsewhere in the country, remains severely constrained. Heightened security measures, checkpoints and denial of travel authorizations are compounding humanitarian workers’ inability to reach children and their families, who are increasingly vulnerable to protection issues, malnutrition and disease. According to UNOCHA’s latest figures2 , approximately 20,800 people have been affected by the resurgence of conflict in the region since August 2022 and remain displaced in Rakhine State and Paletwa township in Chin., In the northwest, comprising Chin, Sagaing and Magway, 795,6001 displaced children, woman and men are located in these regions, representing 68 per cent of all people displaced nationally since February 2021. Severe access constraints continue to hinder timely and principled deliveries of aid. In the southeast, armed clashes are forcing people to search for safety in nearby forests or host communities and informal displacement sites. Humanitarian organizations face challenges in providing life-saving services for the numerous displaced people in remote rural areas due to security concerns and restricted access to urban zones. Despite this, UNICEF is coordinating with local partners to provide necessary assistance for the displaced population, notably with health, nutrition, WASH, child protection and education services., Throughout the country, landmines and explosive remnants of war (ERW) continue to pose a threat to the life of children and their communities. Based on UNICEF’s most recent monitoring report of landmines and ERW3 , the number of casualties nationwide from January to October 2022 has already exceeded the total number of cases for 2021 (117 per cent). Some 333 people have so far been impacted with 86 people killed and 247 injured. Children account for 32 per cent of cases. Giving the ongoing reporting constraints, the actual numbers are anticipated to be much higher. UNICEF is working with partners to provide explosive ordnance risk education (EORE) to prevent such incidents and to protect children and communities against the physical injury and psychological trauma caused by landmines and ERW.",https://reliefweb.int/report/myanmar/unicef-myanmar-humanitarian-situation-report-no-11-december-2022
Inclusive quality education is key for learning opportunities,News and Press Release,PIN,Education,16 Dec 2022,"Amid ongoing conflicts, we are working in the Education in Emergencies (EiE) sector; together with support from local organisations, we ensure access to safe and quality education for conflict-affected children in Kachin State, Myanmar. Addressing the urgent educational needs, we support local educational actors’ capacity to provide continuous quality education and increase access to protective, quality and inclusive learning opportunities to promote the health and well-being of school-aged conflict-affected children., To deliver qualitative inclusive education in an emergency, our local partner organisations and we have provided relevant training on technical knowledge and skills to local education actors to encourage more robust locally-led educational support. Teachers are still in high demand for schools in internally displaced persons (IDP) camps. Along with local partner organisations, we first conducted the education volunteer programme with camp-based volunteers to become school volunteer teachers. About 38 trained volunteer teachers work in 11 targeted IDP camps in three townships of the Bhamo district in Kachin State., Empowering local education actors’ roles, Through our support, teachers and volunteer teachers can strengthen their role and promote the children's well-being in the EiE context. Moreover, with our partners, we conducted training with Teaching in Crisis Contexts (TiCC) and Social and Emotional Learning (SEL) curricula, together with providing incentives for essential livelihood support and the ability to support children’s learning continuously., Supporting psychosocial well-being of conflict-affected children, “We are focusing on children’s mental well-being and happy and healthy brain development,” says Hkawng Sang* (name changed), a community volunteer teacher. She adds, “In conflict situations, children are the most vulnerable because most parents struggle for regular livelihoods and cannot be attentive to each child as they would like. As a mother, I know how much psychosocial support is needed for the displaced camps. Before the SEL and TiCC training, I was shy and silent in public, even though I could not speak out if I needed something. After receiving the training, I am actively ready to support the children.”, Hkaun Bu*, a volunteer teacher, shares her experiences teaching an SEL curriculum to children in the camp. “Children are asking for more time to learn the SEL modules. Mostly, children are happy to sing the songs, dance and play during the SEL training. We focus on kindergarten (KG) to Grade 8 school-aged children. The SEL curriculum lasts about 38 weeks, so we conduct SEL training three times per week.”, She continues, “I have noticed children developing kind behaviour, helping each other in the class, helpful towards the parent, and happy to work together as a group. When SEL training starts, we play a game called parachute, and every child wants to hold the parachute; we let children throw their emotions into the parachute and imagine throwing it away. When they play this game, they are all happy and safe. Some were shy before we started the modules, but one or two weeks later, all were happy and excited to learn the next modules.”, Jar Seng*, 10, feels happy and safe when she learns about SEL curricula. She says, “I love to play games and sing songs with dancing. I want to be a singer, so I love singing and dancing. Also, I like painting and drawing as well. Previously, I did not want to pay attention to what my mother told me and I had a difficult relationship with my friends. But I learn through SEL training, and I am more polite in listening and have good relationships with my friends and help with housework.”, Jar Seng is ready to sing and dance when volunteer teachers gather children in front of the classroom. They sing a Kachin song together with modern dance. A three-year-old kindergarten girl also wants to dance in the group. Her mother looks at her carefully and expresses her gratitude to the teachers. “We are living nearby camp school. My daughter hears the songs of children and wants to come here. But she is too small to participate in the group. That is why I come along with her. Teachers let her play games and paint.”, Providing educational needs for children, With financial support from the Ministry of Foreign Affairs of the Czech Republic (MFA), we provide home-based learning materials and student kits distributions to nearly 1,700 children between kindergarten (KG) to Grade 8 and support learning materials for 11 school libraries in primary and post-primary schools. Seng Jar Awng*, 12, who likes reading books, is happy to go to the new school library. “Now our school library is stocked with story books. I love reading. I read all home-based learning books distributed by the teachers.”, Daw Bawk Ra*, a camp school mistress, says, “Now we have a camp library kit and library place which consisting of books for children, a tablet with e-books, audiobooks and educational apps. Moreover, our school infrastructure is needed to be supported because our school is located at the top of a hill. We need a water tank at the school to ensure we get clean and safe drinking water for the children. Many of our children bring water from their homes with water bottles which PIN has provided. However, we have a safe space for children to play the games freely. Thanks to People in Need and its donors for supporting our school.”, Along with educational support, PIN and our partners provide parents with skills workshops in all 11 camps. A total of 426 caregivers joined these workshops. Kha Mai, a local partner organisation project lead, says how important the learning environment and parent skills workshop are. “Parent Skills workshops aim to improve the parents’ stress management skills and positive parenting practices. All of these skills and practices support child and adolescent psychosocial well-being. To have a healthy, mutually enjoyable relationship between children and parents is our goal to foster optimal child growth and development.”, She adds, “If we provide this knowledge to parents and caregivers, it will decrease the violence against children at home and improve caregivers’ positive developmental outcomes. And also, increased parental engagement in children’s learning and development can reduce the risk of school drop-out issues.”, *The names of certain individuals and locations have been changed for their protection."", Author: Aye Pyae Sone, Communication officer for Myanmar",https://reliefweb.int/report/myanmar/inclusive-quality-education-key-learning-opportunities
Myanmar Crisis Response Plan 2023,Appeal,IOM,"Camp Coordination and Camp Management
Coordination
Disaster Management
Food and Nutrition
Health
Protection and Human Rights
Recovery and Reconstruction
Shelter and Non-Food Items
Water Sanitation Hygiene",28 Dec 2022,"IOM Vision, IOM, in coordination with humanitarian and development partners, seeks to support the people of Myanmar through the provision of essential and life-saving multi-sectoral assistance to crisis-affected populations, while building local capacities for response and recovery. Recognizing the complex mobility dynamics and cross-border implications of the crisis, IOM aims to provide data and analysis on mobility and needs to the wider humanitarian community and will continue to coordinate to ensure that preparedness actions and targeted response capacities are in place and strengthened., Context analysis, Almost two years since the military takeover in February 2021, the economic, political, and social crisis in Myanmar has become more complex, with no signs of resolution. Myanmar faces acute humanitarian needs, public infrastructure and services have deteriorated with the departure of personnel who have joined the civil disobedience movement (CDM), and as the country faces the consequence of global crises - including but not limited to rising inflation and prices for basic commodities., Conflict-related displacement continues unabated, with 1.1 million people having been forced to flee their homes since February 2021, out of 1.4 million total displaced in the country. The highest rates of displacement are in the North-West, where 770,400 people remain displaced since February 2021, of which 612,400 are in Sagaing region alone (OCHA, 2022). Active conflict and clashes also continue in the South-East where just under 300,000 people remain displaced. In these locations, families experience repeated, short-term displacement, moving to avoid armed actors, often in hard-to-reach forest areas. There are frequent reports of arson attacks against villages, leading to widespread destruction of homes, public buildings and personal as well as livelihood assets., Protection risks are grave, with increasing incidents of injuries due to explosive remnants of war, regular reports of arbitrary arrests and detention, as well as greater risks of domestic, gender-based violence and exploitation and abuse against the backdrop of increasing lawlessness and limited means for accessing formal justice systems. In Rakhine, clashes have recently intensified, resulting in 20,000 newly displaced as of September 2022. Security measures have also been imposed, limiting the movement of people and goods. Humanitarian access is a challenge due to several factors - including operational impediments imposed by authorities, hard-to-reach rural, mountainous, or jungle areas people are displaced to, as well as conflict-related insecurity leading to roadblocks, checkpoints and travel restrictions., The economic downturn due to COVID-19 and the political turmoil has resulted in increasingly complex and mixed population movements, both internally and internationally, including regular and irregular cross-border movements between Myanmar and neighbouring countries in both directions. Amongst these overall flows, the proportion of migrants migrating from or returning to conflict-affected contexts (including to/from a situation of existing displacement) has increased. Disrupted livelihoods, deteriorating economic and security conditions, and increasing mobility have also increased protection risks and vulnerabilities, as people resort to unsafe and high-risk migration strategies, posing greater risk of trafficking, exploitation or abusive recruitment practices, including from displacement sites such as camps. As of October 2022, IOM estimates that approximately 40,000 Myanmar nationals are leaving the country monthly for conflict-related but also economic and other reasons, through a range of regular and irregular pathways, with the majority migrating to Thailand., In 2023 displacement is expected at a similar or higher rate as a result of the ongoing or worsening conflict. Humanitarian space is also expected to worsen, with increased scrutiny on humanitarian organizations. Public health and education services will likely continue to be disrupted, including services related to COVID-19, with protection risks increasing. The Financial Action Taskforce's ""call for action"" blacklisting of Myanmar in October 2022 will likely further disrupt banking services and impact the financial flows into the country. Planned elections in 2023 could result in additional widespread insecurity and subsequent clampdown by the Myanmar Armed Forces, while de facto authorities are expected to push for camp closures and forced returns., With high vulnerability and low readiness, Myanmar is ranked as one of the world's most at-risk countries for climate change. The country ranks 156 out of 182 countries on the Notre Dame Global Adaptation Initiative Index on climate vulnerability. Myanmar continues to be at risk for disasters due to natural hazards, such as tropical storms, cyclones, and earthquakes. The country is also vulnerable to sea level rise and as the majority of the population relies on agricultural livelihoods which are climate-sensitive, additional action is urgently required on adaptation.",https://reliefweb.int/report/myanmar/myanmar-crisis-response-plan-2023
Myanmar South East - Emergency Overview Map: Number of people displaced in South East since Feb 2021 and remain displaced (As of 26 December 2022),Map,UNHCR,Protection and Human Rights,26 Dec 2022,"WEEKLY HIGHLIGHTS, In the South-East, the number of IDPs increased from 338,400 last week to 339,000 this week.
In Kayin State, 600 newly displaced people were verified by community leaders in Kawkareik Township. They fled to the jungles nearby due to the intensified fighting, airstrikes and shelling on 18 December.
In Tanintharyi Region, following increased military presence in the area, reports of displacement in Yebyu and Tanintharyi Townships were observed, but numbers have not been verified. Data gathering continues with further updates on displacement trends in the South-East expected in January 2023.",https://reliefweb.int/map/myanmar/myanmar-south-east-emergency-overview-map-number-people-displaced-south-east-feb-2021-and-remain-displaced-26-december-2022
Myanmar Emergency Overview Map: Number of people displaced since Feb 2021 and remain displaced (as of 26 Dec 2022),Map,UNHCR,Protection and Human Rights,27 Dec 2022,,https://reliefweb.int/map/myanmar/myanmar-emergency-overview-map-number-people-displaced-feb-2021-and-remain-displaced-26-dec-2022
Myanmar: IDP sites in Kachin and northern Shan states (As of 30 November 2022),Map,OCHA,Shelter and Non-Food Items,27 Dec 2022,,https://reliefweb.int/map/myanmar/myanmar-idp-sites-kachin-and-northern-shan-states-30-november-2022
Myanmar: IDP Sites in Kachin State (As of 30 November 2022),Map,OCHA,Shelter and Non-Food Items,27 Dec 2022,,https://reliefweb.int/map/myanmar/myanmar-idp-sites-kachin-state-30-november-2022
Myanmar: IDP Sites in Shan State (As of 30 November 2022),Map,OCHA,Shelter and Non-Food Items,27 Dec 2022,,https://reliefweb.int/map/myanmar/myanmar-idp-sites-shan-state-30-november-2022
