title,type,source,theme,date,body,link
"Highlights of the noon briefing by Farhan Haq, Deputy Spokesman for Secretary-General António Guterres Tuesday, 3 January 2023 - Ukraine",News and Press Release,UN DGC,Protection and Human Rights,3 Jan 2023,"(excerpt), UKRAINE, Good afternoon and Happy New Year everyone. From Ukraine, our humanitarian colleagues tell us that attacks intensified during the New Year holiday, causing multiple civilian casualties, including among children and journalists, in several parts of the country. Ukrainian authorities reported more than 50 civilian casualties on December 31st alone. In the capital, Kyiv, a hotel, residential homes and several education facilities, including a university, were damaged in the latest attacks. Furthermore, two children were injured due to hostilities in Khersonska oblast on December 31st. One of them — a 13-year-old boy — was evacuated to the children’s hospital in Kherson, which itself was shelled in the early hours of January 1st, according to the Governor., Intensive fighting also continues in eastern Donetska and Luhanska oblasts, with civilian casualties and civilian infrastructure damage reported on both sides of the front line. Despite continued attacks we, along with our humanitarian partners, continue to deliver support to the people in need in the most impacted communities., On December 28th, an inter-agency convoy delivered food, water, blankets, emergency shelter kits and other supplies from the International Organization for Migration, the UN Refugee Agency, UNICEF and the World Food Programme to the front-line towns of Lyman and Sviatohirsk in Donetska oblast. Both communities have been exposed to heavy fighting, which destroyed houses and critical infrastructure and decimated access to basic services. The people who still live in these areas are mostly the elderly and people with limited mobility.",https://reliefweb.int/report/ukraine/highlights-noon-briefing-farhan-haq-deputy-spokesman-secretary-general-antonio-guterres-tuesday-3-january-2023-ukraine
Collective Centre Assessment (Chernivetska Oblast) (as of 15 December 2022),Situation Report,IOM,"Food and Nutrition
Health
Protection and Human Rights
Shelter and Non-Food Items
Water Sanitation Hygiene",15 Dec 2022,"OVERVIEW, Between 20 October 2022 to 08 November 2022, IOM CCCM teams, in collaboration with Oblast authorities and local civil society organizations, conducted a CCCM Collective Centre assessment across all Chernivetska Oblast. Data was collected at the site-level at the request of the Chernivetska Oblast administrations and implemented through key-informant interviews with site managers/ focal points as well as conducting observational assessments. All �gures and narrative in this factsheet cover collective centres hosting (or capable of hosting) 30 people or more and are indicative of the situation in the sites at the time of collection., COLLECTIVE CENTRE TYPES, A total of 30 sites were assessed. 28 sites were hosting IDPs at the time of assessment, with 2 centres empty but ready to host. 67% of collective centres assessed were dormitories, 6% schools, with the remainder a mix of different types. 5 different Oblasts were reported as the Oblast of Origin for the majority of IDPs in the centres. The top 3 Oblasts of origin majorities were: Donetska: (22), Luhanska: (3) and Mykolaivska: (2).",https://reliefweb.int/report/ukraine/collective-centre-assessment-chernivetska-oblast-15-december-2022
"War in Ukraine: situation report from WHO Ukraine country office. Issue No.38, 30 December 2022",Situation Report,WHO,Health,30 Dec 2022,"Highlights, WHO, through a UN interagency convoy, delivered critical lifesaving medical supplies, medicines and consumables to Bakhmut in the Donetsk region, sufficient to treat up to 10 000 people in the city. For more information, click here., WHO held a two-day workshop targeting focal points from Oblast Centers for Disease Control and Prevention (OCDCs), Departments of Health, and information and analytical centres from 10 regions to discuss the best practices for proper management of medical waste and an algorithm for safe disposal of post-vaccination waste, data collection process, the updated national legislation, and plans for 2023. For more information, click here., Up to 100 health-care workers, including rehabilitation specialists, completed training on the proper use of assistive technology (AT10) kits via a WHO online training platform called Training in Assistive Products (TAP), containing modules on how to assess and fit people in need, in addition to training them on the use of prescribed assistive products. For further information, click here., To ensure that the mental health and psychosocial support (MHPSS) response in Ukraine is evidence-based, equitable and makes effective use of limited resources, WHO supported the development of a roadmap prioritizing actions that are urgently needed to address current MHPSS needs. Launched on 9 December 2022 by the First Lady of Ukraine Olena Zelenska and Prime Minister Denys Shmyhal, the operational roadmap will facilitate a humanitarian response built on existing structures, resources and innovations.",https://reliefweb.int/report/ukraine/war-ukraine-situation-report-who-ukraine-country-office-issue-no38-30-december-2022
Humanitarian action in an evolving Russia–Ukraine conflict,Analysis,ODI - HPG,Protection and Human Rights,2 Jan 2023,"This note summarises the discussion points of a private online roundtable held by the Humanitarian Policy Group at ODI with support from the British Red Cross on 15 September 2022. Participants comprised senior staff from key donor governments, multilateral development banks and international and national humanitarian organisations operating in Ukraine., The discussion sought to understand how donors and operational agencies should prioritise resources to reach those most in need of humanitarian assistance and protection, in accordance with humanitarian principles, and how the humanitarian sector can best aid recovery efforts., Key messages, Ukraine is comprised of several humanitarian contexts, each with different needs and challenges. This requires different types of response to occur in parallel. There is also the chance for recovery in areas no longer directly affected by conflict., Winter will bring greater humanitarian demand and there are concerns that preparations to date have been insufficient. The dynamic conflict requires collective action to press for cross-line access. Upholding humanitarian principles of neutrality, impartiality and independence is key in negotiating this access, but has proved challenging., Now is the time to start planning for the medium and long term. The Ukrainian government and civil society should be better supported to meet needs themselves wherever possible. Humanitarian funding from donor governments needs to be more flexible, multi-year and more directly accessible to Ukrainian organisations. Strong coordination will be required between humanitarian and recovery and state-building actors – including multilateral development banks., Funding to local actors remains unacceptably low and the relationship between international and national/local organisations in the response is strained. Policy commitments to localisation face an important test in Ukraine: if meaningful support for locally led humanitarian action does not happen in Ukraine, where local aid groups have high levels of capacity and long-standing interconnections, there is no reason to suggest it will be done at scale in any other response., Read the full report here",https://reliefweb.int/report/ukraine/humanitarian-action-evolving-russia-ukraine-conflict
Ukraine: Civilian casualties as of 26 December 2022 [EN/RU/UK],News and Press Release,OHCHR,"Mine Action
Protection and Human Rights",27 Dec 2022,"Date: 27 December 2022, From 24 February 2022, when the Russian Federation’s armed attack against Ukraine started, to 26 December 2022, the Office of the UN High Commissioner for Human Rights (OHCHR) recorded 17,831 civilian casualties in the country: 6,884 killed and 10,947 injured. This included:, a total of 6,884 killed (2,719 men, 1,832 women, 175 girls, and 216 boys, as well as 38 children and 1,904 adults whose sex is yet unknown), a total of 10,947 injured (2,364 men, 1,709 women, 229 girls, and 318 boys, as well as 253 children and 6,074 adults whose sex is yet unknown), In Donetsk and Luhansk regions: 9,695 casualties (4,052 killed and 5,643 injured), On Government-controlled territory: 7,579 casualties (3,569 killed and 4,010 injured), On territory controlled by Russian armed forces and affiliated armed groups: 2,116 casualties (483 killed and 1,633 injured), In other regions of Ukraine (the city of Kyiv, and Cherkasy, Chernihiv, IvanoFrankivsk, Kharkiv, Kherson, Kirovohrad, Kyiv, Mykolaiv, Odesa, Sumy, Zaporizhzhia, Dnipropetrovsk, Khmelnytskyi, Poltava, Rivne, Ternopil, Vinnytsia, Volyn, and Zhytomyr regions), which were under Government control when casualties occurred: 8,136 casualties (2,832 killed and 5,304 injured), Civilian casualties in Ukraine from 24 February to 26 December 2022 (individual cases verified by OHCHR), per month, OHCHR believes that the actual figures are considerably higher, as the receipt of information from some locations where intense hostilities have been going on has been delayed and many reports are still pending corroboration. This concerns, for example, Mariupol (Donetsk region), Izium (Kharkiv region),
Lysychansk, Popasna, and Sievierodonetsk (Luhansk region), where there are allegations of numerous civilian casualties., Civilian casualties from 1 to 26 December 2022 (individual cases verified by OHCHR), From 1 to 26 December 2022, OHCHR recorded 681 civilian casualties:, 165 killed (72 men, 31 women, 4 boys, as well as 58 adults whose sex is yet unknown); and, 516 injured (102 men, 91 women, 11 girls, 7 boys, as well as 3 children and 302 adults whose sex is yet unknown)., This included:, 143 killed and 437 injured in 89 settlements in regions (parts of regions), which were under Government control when casualties occurred (85 percent of the total); and, 22 killed and 79 injured in 7 settlements in parts of Luhansk and Donetsk regions controlled by Russian armed forces and affiliated armed groups (15 percent of the total)., Per type of weapon/incident:, Explosive weapons with wide area effects: 144 killed and 493 injured (94 per cent);, Mines and explosive remnants of war: 21 killed and 23 injured (6 per cent).",https://reliefweb.int/report/ukraine/ukraine-civilian-casualties-26-december-2022-enruuk
"During martial law Ukraine received 10,500 tonnes of medical humanitarian aid worth UAH 12,850 million: Ministry of Health",News and Press Release,Govt. Ukraine,Health,29 Dec 2022,"A total of 10,500 tonnes of medical humanitarian aid worth UAH 12,850 million has been delivered to Ukraine during the period of martial law., It is assistance from more than 35 countries, international and partner organizations, Ukrainian and foreign businesses, and directly from medical institutions of other countries., In particular, the following items were received:, The Ministry of Health distributes this aid not only to subordinate healthcare institutions, but also to municipal and departmental institutions, including those subordinated to the security and defense sector. All humanitarian aid is distributed in order of priority. First of all – to meet the needs of medical institutions located in or near the combat zone, as well as those that treat the wounded. In addition, the focus is on institutions in regions with a large number of internally displaced persons., The humanitarian aid is unloaded at warehouses near the state border, registered there, and then distributed and delivered to the regions based on priority. It is important to note that collection of information on medical needs, inventory of balances in regional warehouses and healthcare facilities, as well as distribution of medical humanitarian aid are carried out through the MedData information and analytical system, which ensures control and transparency of the process., During the war, we also managed to establish cooperation with volunteers and benefactors to coordinate interaction and promptly meet medical needs., “The world has united around Ukraine in the desire to help and bring our victory closer! We thank all partners, your support means thousands of saved lives of Ukrainians, every one of which is priceless for us!” said Deputy Minister of Health for Digital Development Mariia Karchevych.",https://reliefweb.int/report/ukraine/during-martial-law-ukraine-received-10500-tonnes-medical-humanitarian-aid-worth-uah-12850-million-ministry-health
Riding the “Train of Hope” from Ukraine to Moldova,News and Press Release,UNFPA,"Health
Protection and Human Rights",30 Dec 2022,"KYIV, Ukraine/CHIȘINĂU, Republic of Moldova – On 5 November, the capitals of Ukraine and the Republic of Moldova were connected by direct rail for the first time in 24 years. The new train line aims to offer refugees fleeing the war a safe route out of Ukraine and into the neighbouring Republic of Moldova – especially with a harsh winter looming and heating cuts already widespread., Since the onset of war in Ukraine, more than 700,000 people have left the country for the Republic of Moldova, which is now also facing its own energy crisis. Two thirds of these refugees are women, who face particular risks when fleeing conflict., “For them, displacement will bring increased vulnerability to violence, sexual abuse and exploitation,” said UNFPA Executive Director Dr. Natalia Kanem on International Women’s Day 2022. “Moreover, many of these women are pregnant and may need medical care or help with complicated pregnancies., “A lack of access to health care in these situations puts their lives at risk."", The Kyiv-Chișinău train offers many hope that better, safer days are ahead. Follow along for one of its cross-border journeys between Ukraine and the Republic of Moldova, which transports passengers from the threat of peril towards the opportunity of peace., [Pictured above] A conductor checks tickets before letting passengers board the train., The train from Kyiv to Chișinău leaves at 5 p.m. On the platform, in the dim lamp light, passengers say goodbye and embrace those staying behind. Many leaving Kyiv will not be back soon, having made the difficult decision to leave the country before the onset of a bitter winter., See the slideshow on UNFPA.",https://reliefweb.int/report/ukraine/riding-train-hope-ukraine-moldova
Update 138 - IAEA Director General Statement on Situation in Ukraine (30 December 2022),News and Press Release,IAEA,Disaster Management,30 Dec 2022,"A 330 kilovolt (kV) back-up power line to Ukraine’s Zaporizhzhya Nuclear Power Plant (ZNPP) was disconnected late yesterday due to damage caused by shelling, in the latest incident underlining the facility’s fragile supplies of electricity from the grid, Director General of the International Atomic Energy Agency (IAEA) Rafael Mariano Grossi said today., The ZNPP, whose six reactors are all in shutdown, continues to receive the off-site electricity it needs for reactor cooling and other essential nuclear safety and security functions from the plant’s only remaining operational 750 kV external power line, out of four such lines before the current conflict in Ukraine., The team of IAEA experts present at the ZNPP reported that its connection to the 330 kV Ferosplavna 1 back-up line was lost at 21:35 local time yesterday as a result of damage on the other side of the Dnipro River, some distance away from the plant itself. The extent of damage was not yet clear but work to repair the line is already under way, the IAEA team added., The Ferosplavna 1 was the ZNPP’s last functioning back-up power line and it is vital that it is restored as soon as possible, Director General Grossi said, reiterating that all military action potentially threatening the nuclear safety and security of Ukraine’s nuclear power plants (NPPs) must stop immediately., The Director General said he is continuing his consultations with Ukraine and Russia aimed at agreeing and implementing a nuclear safety and security protection zone around the ZNPP as soon as possible., While there has been no shelling directly at the site of Europe’s largest NPP since last month, the IAEA experts reported that they heard the sound of loud explosions today that appeared to come from a distance of a few hundred metres from the facility, in the area of the water channel connecting the nearby Zaporizhzhya thermal power station with the Dnipro River., Separately, Ukraine informed the IAEA that the country’s three other NPPs – located in Ukrainian-controlled territory, unlike the ZNPP – were in the process of restoring their electrical power production levels following a decrease in output after yesterday’s missile attacks., At the ZNPP, the IAEA team also reported that four more mobile diesel-fuelled boilers had begun operating over the past week, bringing the total to eight out of nine delivered to the ZNPP with power in the range of 1–6.5 megawatts (MW). The nine boilers will provide about 34 MW of heating to the ZNPP site and to the nearby city of Enerhodar.",https://reliefweb.int/report/ukraine/update-138-iaea-director-general-statement-situation-ukraine-30-december-2022
DRC Ukraine Legal Alert: Issue 86 | 1 - 30 November 2022 [EN/UK/RU],News and Press Release,DRC,"Education
Peacekeeping and Peacebuilding
Protection and Human Rights
Shelter and Non-Food Items",30 Dec 2022,"1. Cabinet Launches Experimental Project on Issuing Certificate of Return, On 21 October 2022 Cabinet introduced Decree No1201 (came into force on 14 November 2022) launching an experimental project that will issue Certificate of Return to persons displaced to the territory of a State recognized as State-aggressor or the occupying State. A Certificate of Return may be issued on the basis of application submitted by the representatives of the person who wants to return to Ukraine, i.e., one of the parents or legal guardians of a minor; one of the parents, spouse, child older than 18 years on behalf of the parents, and brother/sister of a person who wants to return to Ukraine. Certificate may also be issued upon the request of the Ministry for Reintegration.
The Certificate will be issued free of charge and will be valid for three months. It will be issued within five days of the receipt of an application., Application Processes and Requirements:",https://reliefweb.int/report/ukraine/drc-ukraine-legal-alert-issue-86-1-30-november-2022-enukru
WHO trains thousands of health care workers in mass casualty and trauma care amid the war,News and Press Release,WHO,Health,23 Dec 2022,"WHO in Ukraine has trained more than 6000 health care workers in mass casualty management and trauma care this year amid the war., Health care workers from over 40 hospitals participated in the trainings, which required specialists to test and develop specific plans and procedures on how to adequately respond to needs amid the ongoing war., “One of WHO’s key objectives in Ukraine is the capacity-building of health care workers and specialists across a range of health needs according to global best practices,” explained Dr Jarno Habicht, WHO Representative in Ukraine. “The training of health care workers in mass casualty and trauma care is an essential component given the emergency situation we find ourselves in, and we are thankful to our national and international partners for their support.”, WHO has also trained tens of thousands of health care workers in gender-based violence, mental health and psychosocial support, chemical preparedness and laboratory diagnostics., In addition to trainings, WHO is also providing essential medical supplies throughout the country in response to needs and in coordination with national and international partners., Since 24 February 2022, WHO has procured more than 2000 metric tonnes of medical supplies, including trauma kits, ambulances, power generators and medicines for chronic and infectious diseases, among others.",https://reliefweb.int/report/ukraine/who-trains-thousands-health-care-workers-mass-casualty-and-trauma-care-amid-war
