title,type,source,theme,date,body,link
"IAEA Inspectors Complete In-Field Verification Activities at Three Ukraine locations, No Indications of Undeclared Nuclear Activities and Materials",News and Press Release,IAEA,Disaster Management,3 Nov 2022,"Inspectors of the International Atomic Energy Agency (IAEA) have completed their in-field verification activities at three locations in Ukraine at the request of the Government of Ukraine, Director General Rafael Mariano Grossi said today., Ukraine’s written requests for the IAEA to send teams of inspectors were issued after the Russian Federation made allegations about activities at the three locations – the Institute for Nuclear Research in Kyiv, Eastern Mining and Processing Plant in Zhovti Kody, and Production Association Pivdennyi Machine-Building Plant in Dnipro., Over the past few days, the inspectors were able to carry out all activities that the IAEA had planned to conduct and were given unfettered access to the locations. Based on the evaluation of the results available to date and the information provided by Ukraine, the Agency did not find any indications of undeclared nuclear activities and materials at the locations., The inspectors also collected environmental samples for analysis at the IAEA’s safeguards laboratories and its network of analytical laboratories. Environmental sampling is a commonly used safeguards measure with ultrasensitive analytical techniques that can provide information about past and current activities related to the handling of nuclear materials., “Upon the request of the Government of Ukraine, I immediately dispatched inspectors to the three locations to carry out their indispensable technical and independent role in verifying the facts on the ground. Within days, they went there and conducted their safeguards activities, in challenging circumstances during the current conflict in Ukraine,” Director General Grossi said., “Our technical and scientific evaluation of the results we have so far did not show any sign of undeclared nuclear activities and materials at these three locations. Additionally, we will report on the results of the environmental sampling as soon as possible,” he said., Director General Grossi stressed that the IAEA remained ready to conduct further such verification activities in Ukraine to verify the absence of undeclared activities and materials and thereby deter any misuse of such materials.",https://reliefweb.int/report/ukraine/iaea-inspectors-complete-field-verification-activities-three-ukraine-locations-no-indications-undeclared-nuclear-activities-and-materials
"Ukraine’s Zaporizhzhya Nuclear Power Plant lost off-site power again, diesel generators providing back-up electricity",News and Press Release,IAEA,Disaster Management,3 Nov 2022,"Ukraine’s Zaporizhzhya Nuclear Power Plant (ZNPP) has again lost all access to external electricity following shelling overnight and it is now receiving back-up power from its emergency diesel generators, further underlining the extremely precarious nuclear safety and security situation at the facility and the urgent need to establish a protection zone around it, Director General Rafael Mariano Grossi said., The plant’s diesel generators started operating automatically after the plant’s connection was cut both to its main 750 kilovolt (kV) power line and to its back-up off-site power supplies from a 330 kV line that provides electricity through the switchyard of the nearby thermal power station., The 750 kV line was disconnected following shelling at around 10pm local time yesterday, and the 330 kV line shortly after midnight, Director General Grossi said, citing information he had received from the team of IAEA experts at the site., Senior Ukrainian operating staff informed the IAEA experts that there were indications that the power lines had sustained physical damage at two different locations about 50-60 kilometres from the plant itself, in Ukrainian-controlled territory. Repair work at one of the locations, where the 330 kV line was damaged, is under way., The ZNPP, Europe’s largest nuclear power plant, has lost external power also previously during the current conflict in Ukraine, forcing it to rely on the diesel generators until off-site electricity became available again., The plant has fuel for around 15 days of diesel generator operations, according to Ukraine’s national nuclear operator Energoatom. Currently, nine of the plant’s 20 diesel generators are operating to provide the power the plant needs for reactor cooling and other essential nuclear safety and security functions., Following the loss of external power, the two reactors that were in hot shutdown mode to provide steam to the plant’s operations are being transferred to cold shutdown. The four other reactors were already in cold shutdown., “This is an extremely concerning development that again demonstrates the plant’s fragile and vulnerable situation,” Director General Grossi said. “Despite the best efforts of the plant’s courageous staff to stabilize the external power situation in recent weeks, the Zaporizhzhya Nuclear Power Plant has again lost all access to off-site electricity. For now, it receives the power it needs from the on-site diesel generators. But this is clearly not a sustainable way to operate a major nuclear facility. Measures are needed to prevent a nuclear accident at the site. The establishment of a nuclear safety and security protection zone is urgently needed,” he said., To help achieve this vital objective, Director General Grossi has engaged in high-level talks with both Ukraine and Russia in recent weeks aimed at agreeing and implementing such a zone around the ZNPP as soon as possible.",https://reliefweb.int/report/ukraine/ukraines-zaporizhzhya-nuclear-power-plant-lost-site-power-again-diesel-generators-providing-back-electricity
Ukraine Crisis: 22-28 October 2022,News and Press Release,ACLED,Protection and Human Rights,3 Nov 2022,"Ukrainian forces conducted ground attacks near Svatove and Kreminna in the Luhansk region, advancing their positions in the area (ISW, 25 October 2022). Russian forces continued offensive operations in the direction of Bakhmut and Avdiivka in the Donetsk region (RFE/RL, 26 October 2022)., Russian forces continued to target civilian infrastructure across Ukraine with shelling, missiles, and drone strikes, reportedly killing over a dozen civilians last week in the Donetsk, Zaporizhia, and Dnipropetrovsk regions. Russian forces also continued to abduct civilians from the occupied regions last week. On 24 October, Russian forces stopped and shot at a civilian car in the Kherson region, reportedly killing two people and wounding a child (Suspilne Media, 25 October 2022). Additionally, Russian forces reportedly forcibly relocated patients of a psychoneurological residential care facility in the Kherson region to an unknown location (Suspilne Media, 26 October 2022)., For more information, including previous infographics and an interactive dashboard, visit our Ukraine Crisis research hub.",https://reliefweb.int/report/ukraine/ukraine-crisis-22-28-october-2022
Results of National Survey on Vulnerable Population Needs [EN/UK],Infographic,USAID,Protection and Human Rights,3 Nov 2022,"InfoSapiens research agency, commissioned by USAID Economic Resilience Activity, conducted a telephone survey in different regions of Ukraine in August 2022. A total of 1,000 women and men aged 16 to 60+ were asked about access to the Internet, jobs, gender-based violence, and business prospects during the war., Almost half – 45% of people – responded that they do not have access to the Internet or a computer and cannot study or work online., One in five respondents is forced to save on groceries or borrow to buy something other than food (telephone, furniture).
A total 39% of people belong to at least one vulnerable group: internally displaced persons, people with disabilities, single parents, ATO veterans, and those who have lost their jobs since February 24., The share of people for whom work is the main source of income decreased from 60% to 48%.
Every third respondent wants to start a career in another sector – IT or marketing. Almost half would like to start a business but have not taken any steps to do so.",https://reliefweb.int/report/ukraine/results-national-survey-vulnerable-population-needs-enuk
Results of a representative survey among Ukrainians [EN/UK],Assessment,USAID,Protection and Human Rights,3 Nov 2022,"Implemented by Info Sapiens research agency within USAID Economic Resilience Activity, Summary, 55% of Ukrainians have access to computer equipment and reliable Internet. In Kyiv, the figure is higher - 69%. The lowest level of access is among the residents of the east - only 43% of the respondents are provided with computer equipment and reliable Internet., Respondents are much more familiar with the concept of domestic violence (80%) than with the concept of gender-based violence (46%). Women are more concerned than men about the increased risks of domestic and gender-based violence during the war, both in society as a whole and in relation to themselves., 14% of respondents encountered cases of gender-based or domestic violence since February 24, 3% of them personally or among family members. Half of them (51%) appealed to the state authorities about this issue., The proportion of people for whom wages are the main income source decreased since the full-scale invasion (from 60% to 48%). At the same time, the proportions of families whose main source of income is social assistance from the state (from 24% to 31%) and their own savings (from 3% to 6%) have increased., One-fourth of Ukrainians (26%) had to look for a job in the last three months. The most frequent obstacles in this process were low salaries offered by employers (34%) and a lack of vacancies in the specialty (34%)., About 35% of the respondents would like to change their profession if given the opportunity. In rural areas, the most desired new job sector was agriculture (10%). In large cities with a population of 101,000 to 500,000 and more than 500,000, IT, trade and marketing are the most desirable. In cities with a population of 51,000 to 100,000, respondents more often chose the service sector and other industries., 46% of the Ukrainians would like to start their own business or are already working on it. Among women, the portion of such people is smaller (36%) than among men (57%). Among the obstacles to creating one's own business, the impossibility of planning in the conditions of war (24%) was most often mentioned, in addition, many respondents lack a material base (18%) and working capital (18%)., Most respondents agree that work is a source of stability for many (90%) and that company owners, management and employees must work together for their company's survival (87%). At the same time, 43% believe that company management does not care about employees and 48% agree that management took advantage of wartime to reduce or not pay salaries to employees. Older respondents over the age of 60 show a somewhat more negative attitude towards employers, less likely to agree that company management communicates the market situation to employees in clear language, develops strategies to support the sustainability of the company and keeps its word.",https://reliefweb.int/report/ukraine/results-representative-survey-among-ukrainians-enuk
"Cherkaska Oblast Collective Centre Assessment - Summary of IOM's CCCM Collective Centre Assessment, as of 1st November 2022",Assessment,IOM,"Camp Coordination and Camp Management
Food and Nutrition
Health
Shelter and Non-Food Items
Water Sanitation Hygiene",1 Nov 2022,"OVERVIEW, Between 10 October 2022 to 20 October 2022, IOM CCCM teams, in collaboration with Oblast authorities and local civil society organizations, conducted a CCCM Collective Centre assessment across all Cherkaska Oblast. Data was collected at the site-level at the request of the Cherkaska Oblast administrations and implemented through key-informant interviews with site managers/focal points as well as conducting observational assessments. All figures and narrative in this factsheet cover collective centres hosting (and are capable of hosting) 30 people or more and are indicative of the situation in the sites at the time of collection., COLLECTIVE CENTRE TYPES, A total of 50 sites were assessed. 22 sites were hosting IDPs at the time of assessment, with 28 centres empty but ready to host. 34% of collective centres assessed were dormitories, 26% were schools, with the remaining 28% a mix of different types. 7 different Oblasts were reported as the Oblast of Origin for the majority of IDPs in the centres. The top 3 Oblasts of origin majorities were: Donetska: (17), Zaporizka: (5) and Kharkivska: (2).",https://reliefweb.int/report/ukraine/cherkaska-oblast-collective-centre-assessment-summary-ioms-cccm-collective-centre-assessment-1st-november-2022
"War in Ukraine: situation report from WHO Ukraine country office. Issue No. 30, 2 November 2022",Situation Report,WHO,"Health
Logistics and Telecommunications",3 Nov 2022,"HIGHLIGHTS, ▪ The WHO Country Office (CO) in Ukraine supported the first visit and knowledge exchange between Ukraine and Belgium in the field of mental health and services. The visit is a realization of the Pan-European Mental Health Coalition, initiated by WHO Regional Director for Europe Dr Hans Henri P. Kluge. The WHO CO will continue to support this exchange at ministerial level, in continuation of agreements between Her Majesty Queen Mathilde of the Belgians and First Lady of Ukraine Olena Zelenska. For further information, click here, ▪ As part of the COVAX Facility, 2.3 million doses of the PfizerBioNTech mRNA COVID-19 vaccine (Comirnaty) were provided by the Government of the United States. The COVAX Facility ensures a continuous course of protection against SARS-CoV-2 for Ukrainians. For further information, click here.",https://reliefweb.int/report/ukraine/war-ukraine-situation-report-who-ukraine-country-office-issue-no-30-2-november-2022
"ACLED Regional Overview: Europe, Caucasus, and Central Asia (22-28 October 2022)",Analysis,ACLED,Protection and Human Rights,3 Nov 2022,"Last week in Europe, Caucasus, and Central Asia, Russian forces continued to launch strikes against civilian infrastructure amid the ongoing invasion of Ukraine. Along the Armenia-Azerbaijan Line of Contact, ceasefire violations decreased compared to the week prior. In Kyrgyzstan, demonstrations over a planned border deal with Uzbekistan continued, triggering a crackdown from the Kyrgyz authorities. Meanwhile, the death of Mahsa Amini, rising living costs, climate grievances, and immigration continued to spark demonstrations across Europe., In Ukraine, fighting between Russian and Ukrainian forces continued in the eastern and southern regions of the country last week. Ukrainian forces conducted ground attacks near Svatove and Kreminna in the Luhansk region, advancing their positions in the area (ISW, 25 October 2022). Russian forces continued offensive operations in the direction of Bakhmut and Avdiivka in the Donetsk region (RFE/RL, 26 October 2022)., Russian forces continued to target civilian infrastructure across Ukraine with shelling, missiles, and drone strikes, reportedly killing over a dozen civilians last week in the Donetsk, Zaporizhia, and Dnipropetrovsk regions. Additionally, on 24 October, Russian forces stopped and shot at a civilian car in the Kherson region, reportedly killing two people and wounding a child (Suspilne Media, 25 October 2022). Russian forces also continued to abduct civilians from the occupied regions last week. Russian forces reportedly forcibly relocated patients of a psychoneurological residential care facility in the Kherson region to an unknown location (Suspilne Media, 26 October 2022)., In Russia, the governor of Belgorod accused Ukrainian forces of shelling border villages on six different occasions, reportedly killing two residents (TV Rain, 22 October 2022; TV Rain, 25 October 2022). This violence contributed to the 173% increase in average weekly violent events in Russia in the past month relative to the weekly average for the preceding year. ACLED’s Conflict Change Map also warned of increased violence in the country during the preceding four weeks., Demonstrations in support of Ukraine and against the invasion took place in Finland, Germany, Hungary, Ireland, Italy, Latvia, Montenegro, Spain, and the United Kingdom. Meanwhile, Russian police broke up two anti-war demonstrations in Moscow., Ceasefire violations continued along the Armenia-Azerbaijan Line of Contact last week, though their number decreased compared to the week prior. Additionally, a landmine explosion in the Tartar region of Azerbaijan injured one civilian., In Kyrgyzstan, demonstrations against a planned border demarcation agreement with Uzbekistan continued last week. Demonstrators staged multiple demonstrations against the deal in the capital city of Bishkek and in the Ozgon district of the Osh region, expressing concern that the contested Kempir-Abad (Andijan) water reservoir will be transferred to the Uzbek side. Kyrgyz authorities have since arrested 20 opposition activists and politicians, including leaders of the Reforma and Turan parties, accusing them of planning riots (RFE/RL, 25 October 2022). The government also blocked online access to Radio Free Europe’s Kyrgyz language service website ‘Azattyk,’ which actively covered the demonstrations, claiming that website inaccurately presented the military escalation on the Kyrgyz-Tajik border in mid-September (24.kg, 26 October 2022). Simultaneously, pro-government supporters organized numerous demonstrations across the country in support of the Kyrgyz president and his cabinet., Meanwhile, the death of Mahsa Amini in Iran continued to spark solidarity gatherings across Europe last week for a sixth consecutive week. Rallies in support of ongoing protests and women’s rights in Iran were recorded in Denmark, France, Germany, Italy, the Netherlands, Sweden, and the United Kingdom. In Germany, about 80,000 demonstrators from across Europe took to the streets in Berlin on 22 October to defend the Iranian protest movement., Climate and environmental protests continued to take place across Europe last week. In Germany, the Netherlands, Serbia, Switzerland, and the United Kingdom, activists blockaded buildings and roads, conducted hand-gluing stunts, and staged sit-ins, prompting police intervention and leading to multiple arrests. Further demonstrations with similar motives were observed in Austria, Belgium, Croatia, the Czech Republic, Denmark, Estonia, Finland, France, Italy, Malta, Norway, Poland, Portugal, Russia, Spain, and Sweden., Demonstration activity linked to rising living costs, inflation*, *and energy prices also continued across the region last week, with cross-sector protests held in Austria​​, Estonia, France, Germany, Greece, Hungary, Ireland, Italy, Moldova, Poland, Romania, Spain, and the United Kingdom., Meanwhile, far-right groups attended demonstrations against immigration in multiple countries in the region last week. In France, right and far-right groups and parties continued to protest the suspected murder of a 12-year-old French girl at the hands of an Algerian immigrant, denouncing immigration and holding the state responsible for the attack. In Italy, far-right activists organized a rally in support of the protests in France in Milan. Demonstrations by far-right affiliates against immigration and Islam were also recorded in Austria, Belgium, Germany, and the Netherlands.",https://reliefweb.int/report/ukraine/acled-regional-overview-europe-caucasus-and-central-asia-22-28-october-2022
Finnish Red Cross gives 10 million euros to help those most vulnerable in Ukraine,News and Press Release,Finnish Red Cross,"Food and Nutrition
Protection and Human Rights
Shelter and Non-Food Items",2 Nov 2022,"As winter draws closer and homes are destroyed by aerial strikes, the need for aid increases., The Finnish Red Cross will provide 10 million euros from its Disaster Relief Fund to the cash aid programme of the International Red Cross. The programme supports the most vulnerable people in Ukraine., ""As the winter grows colder and the air strikes continue, people’s survival is at stake. The price of housing and food has increased rapidly, and heating is a concern, especially in areas where homes and energy plants have been destroyed,"" Marko Korhonen, Head of International Disaster Management of the Finnish Red Cross, describes the situation., The Red Cross will allocate cash aid to people who are accommodating refugees from other parts of Ukraine for free and to veterans who were severely injured before the current crisis and whose pension does not cover everyday necessities., ""These groups were selected based on their level of vulnerability and because they do not have sufficient access to other forms of help"", Korhonen says., ""As the conflict has been prolonged, the resources of the families housing refugees have been spread thin. As for the severely injured soldiers, they receive only small sums of social security, which makes it difficult to manage when prices rise. These people also depend on assistive devices or other people, which is why they and their families are especially vulnerable."", The international Red Cross will carry out the aid programme in cooperation with the Ukrainian Red Cross and local authorities. The programme will reach over 600,000 people. Aid will be provided to registered recipients for four months., The aid sum of 10 million euros will be distributed in full by July 2023., Cash aid meets individual needs, Aid provided in cash or on a payment card is a flexible form of support in cases where people’s situations and needs may vary. The aid recipient can decide for themselves how they will use the sum received., ""In our experience, cash aid is effective since people use it for basic needs: such as food, housing, heating, medications or bus fares. In the middle of a crisis, it is also important that everyone gets to make their own decisions about their life,"" Korhonen points out., The support of 10 million euros to the cash aid programme is one of the largest single sums ever provided by the Finnish Red Cross., ""The sum is a significant one because the need for aid is immense. We are very grateful for the donations made to the Disaster Relief Fund since they allow for long-term support to those who need it the most.""",https://reliefweb.int/report/ukraine/finnish-red-cross-gives-10-million-euros-help-those-most-vulnerable-ukraine
"Security Council Rejects Text to Investigate Complaint Concerning Non-Compliance of Biological Weapons Convention by Ukraine, United States",News and Press Release,UN SC,Peacekeeping and Peacebuilding,2 Nov 2022,"9180TH MEETING (PM), SC/15095, Abstaining Delegation Says Allegations by Russian Federation Lacked Evidence, The Security Council today failed to adopt a resolution put forth by the Russian Federation to set up a commission consisting of all members of the Council to investigate its complaint about the non-compliance by the United States and Ukraine with their obligations under the Biological Weapons Convention., The draft resolution only received support from one other Council Member — China — with France, the United States and the United Kingdom voting against it, and the 10 remaining Council members abstaining from voting., Through the draft resolution, the 15-member Council would have decided to set up a commission to investigate the complaint of the Russian Federation in the context of the activities of biological laboratories in the territory of Ukraine, as well as present to the 15-member organ a report on the issue containing recommendations by 30 November 2022 and inform the States parties to the Convention at its Ninth Review Conference to be held in Geneva on 28 November–16 December 2022 of the results of the investigation., The draft would also have the Council request the Secretary-General and the Biological Weapons Convention Implementation Support Unit provide, within their respective mandates, all necessary assistance to the commission., By other terms, the draft would have the Council recall that, under article VI of the Convention, its States parties cooperate in carrying out any investigation which the organ may initiate, in accordance with the provisions of the Charter of the United Nations, on the basis of the complaint received by the Council., Speaking before the vote, the representative of the Russian Federation said the vote represented “a considerable milestone” for the Security Council.Since his country set out its position on the issue before the Council on 27 October, two rounds of expert consultation took place on the draft, which prompted some Council Members to reach “unilateral conclusions”, he said, adding that he expected that the vote will reflect respect for international law and the Biological and Toxin Weapons Convention, and hoped for support from Council members who do not fear angering Washington, D.C., and its satellites., Following the vote, the representative of the Russian Federation voiced disappointment that the Council did not manage to activate the mechanism provided for under article VI of the Biological Weapons Convention. Regardless of the outcome of today’s vote, his delegation will continue to make all efforts to establish all facts related to the non-compliance by the United States and Ukraine with the Convention, in the context of the activities of the biological laboratories in Ukrainian territory., The delegate of the United States agreed with the representative of the Russian Federation that the meeting marked a milestone, stressing: “It is a milestone, for the Russian Federation’s deception and lies. ”Recalling that during a consultative meeting under article V of the Biological Weapons Convention in September in Geneva her country and Ukraine went through the Russian Federation’s allegations “point by point and debunked every single one”, she added: “When they failed in Geneva, they raised their false claims here, abusing its position and abusing us.”, Echoing such points, the representative of the United Kingdom said her country voted against the resolution to protect the integrity of the Convention and prevent it from being undermined by unfounded accusations. The Russian Federation’s allegations have no credible basis in fact and its long-standing disinformation efforts undermine peaceful biological cooperation under article X, she said, urging the Council to defend peaceful biological cooperation against unfounded malicious allegations., France’s delegate said his country also voted against the draft, having evaluated the so-called evidence in detail and concluding that the allegations are unfounded. “If words are stripped of their meaning, and if truth and lies are considered on an equal footing, diplomacy is no longer possible,” he stressed., The representative of Mexico stated that his country had abstained because the provisions of article VI of the Convention had not been fulfilled. Recalling that the party alleging such violations needs to provide evidence to activate the next step, he pointed out that the Russian Federation has not done so either in the debate or in the consultation process for the draft resolution., Meanwhile, the representative of China said that he voted in favour of the draft as questions put forth by the Russian Federation about biological activities taking place in Ukraine during a formal consultative meeting in September were not answered., Also speaking today were representatives of India, Ireland, Albania, Norway, Kenya, Brazil, United Arab Emirates and Ghana., The meeting began at 4:48 p.m. and ended at 5:30 p.m., Statements before Vote, DMITRY A. POLYANSKIY (Russian Federation) said the imminent vote represents “a considerable milestone” for the Security Council. Recalling his country’s position on the issue, as set out on 27 October in the Council, he stated that subsequent to that meeting, two rounds of expert consultations had taken place on the draft. However, during that time, “old talking points” were aired about the Russian Federation, and the evidence it put forth was said to not merit further consideration. He stated that certain Council members reached unilateral conclusions, replacing a decision to be taken by the 15-member organ with their “biased national assessments”. He went on to state that he expected that the forthcoming vote will reflect respect for international law and the Biological and Toxin Weapons Convention and hoped for support from Council members who do not fear angering Washington, D.C., and its satellites., Action, The Council then failed to adopt the text, as it did not obtain the required number of votes. It received 2 votes in favour (Russian Federation, China) to 3 against (United States, France, United Kingdom), and 10 abstentions., Mr. POLYANSKIY (Russian Federation) voiced disappointment that the Council did not manage to activate the mechanism provided for under article VI of the Biological Weapons Convention. Quoting its provisions, he said that, during work on the draft resolution, Western countries demonstrated in every way that the law does not apply to them. Regardless of the outcome of today’s vote, his delegation retains its questions to the United States and Ukraine, he said, adding that the evidence in his country’s complaint still require clarification. The Russian Federation will continue to act within the framework of the Biological Weapons Convention and make all efforts to establish all facts related to the non-compliance by the United States and Ukraine with the Convention, in the context of the activities of the biological laboratories in Ukrainian territory. Any violators will be held accountable by the international community. The Russian Federation will unfailingly work on further strengthening the Convention’s regime, including at the Ninth Review Conference to be held in Geneva from 28 November to 16 December., Statements, JUAN GÓMEZ ROBLEDO VERDUZCO (Mexico) stated that his country had abstained because the provisions of article VI of the Biological Weapons Convention have not been fulfilled. Recalling that the party alleging such violations needs to provide evidence to activate the next step, he pointed out that this has not happened either in the debate or in the consultation process for this draft resolution. He further noted that it is not realistic to believe that a commission can be set up as proposed and can present a report with recommendations to the Council in a period of 28 days. Nevertheless, he highlighted that the forthcoming review conference of the Convention is an ideal forum to consider the comments made by the Russian Federation., LINDA THOMAS-GREENFIELD (United States) said she voted against the draft, as “it is based on disinformation, dishonesty, bad faith and a total lack of respect to this body”. Underscoring the importance of the Biological and Toxin Weapons Convention, she said her country takes its responsibilities as a State party seriously and fulfils its obligations accordingly, assisting partners in strengthening health security and reducing the impact of infectious disease, adding: “Such cooperation must not be stigmatized.” During the consultative meeting held on article V in Geneva, the Russian Federation failed to present evidence to support its false allegations, she said. Despite that country’s abuse of the process, her country and Ukraine went through the Russian Federation’s allegations “point by point and debunked every single one”. Therefore, she continued, this meeting is a milestone, as the Russian Federation’s delegate said, adding: “It is a milestone for the Russian Federation’s deception and lies.” She went on, stating: “When they failed in Geneva, they raised their false claims here, abusing its position and abusing us.” Instead of focusing on such claims, the Council should focus on the truth and the horrors inflicted by the Russian Federation on the Ukrainian people, she stressed., AMARNATH ASOKAN (India) said that any matter relating to the obligations under the Biological Weapons Convention should be addressed as per the Convention and through consultations and cooperation between the relevant parties. He underscored the need to negotiate a comprehensive legally binding protocol providing for an effective, universal and non-discriminatory verification mechanism. This is necessary to strengthen the Convention and its implementation by States parties, he said, voicing hope that the current situation will provide the impetus for early consideration, negotiation and finalization of such a protocol by the States parties. Factoring these various aspects, India decided to abstain from voting on the resolution, he said., CAÍT MORAN (Ireland) stressed that no substantive or credible evidence has been presented by the Russian Federation to support its allegations, either through the article V consultative meeting in Geneva in September or in the materials submitted to the Council. She added that her country had abstained because it does not see the proposed investigation by the Council as either justifiable or useful. Noting that Moscow is attempting to misuse the Convention and the Council as a platform for its disinformation to justify its unjustifiable and unlawful invasion of Ukraine, she asked to stop these deeply cynical and harmful actions that risk undermining key multilateral arms control agreements as well as international cooperation into vital health research., FERIT HOXHA (Albania) said he abstained from voting on the draft as the claims put forth by the Russian Federation are unsubstantiated and uncorroborated; that country has failed to provide credible evidence to support the need for an article VI investigation. He called on the Russian Federation to end its aggression on Ukraine and bring its troops home, “instead of misusing the Council and polluting its work with disinformation and fantasies”., TRINE SKARBOEVIK HEIMERBACK (Norway) said her country abstained from voting as it does not wish to set a negative precedent in the use of article VI of the Biological and Toxin Weapons Convention. Norway has meticulously reviewed the documents annexed to the Russian complaint under article VI of the Convention, which consist predominantly of assertions, interpretations and conclusions by the Russian Federation itself. Recalling that the same accusations were dealt with in September during the formal article V consultations, she said the Russian Federation has failed to demonstrate probable cause for further investigative steps. Emphasizing that it is “deeply problematic that the State that has lodged the complaint with the Security Council itself has ‘taken the pen’ and submitted the resolution that addresses the complaint”, she called on the Russian Federation to end its “relentless campaign of disinformation and stop congesting the Council’s agenda with patently unfounded requests related to the situation in Ukraine”., BARBARA WOODWARD (United Kingdom) said her country voted against the resolution to protect the integrity of the Convention and prevent it from being undermined by unfounded accusations. Pointing to the Russian Federation’s false allegations of biological activities, she recalled that Ukraine and the United States provided a comprehensive response in September. The Russian Federation’s allegations have no credible basis in fact and its long-standing disinformation efforts undermine peaceful biological cooperation under article X, she stressed, urging the Council to defend peaceful biological cooperation against unfounded malicious allegations., MICHAEL KAPKIAI KIBOINO (Kenya) stressed that any actions which may undermine the Convention, especially in a world grappling with the effects of a pandemic, should be avoided, pointing to the importance of respecting existing conventions and norms that ensure international cooperation remains unimpeded. He noted that any credible allegations of the use of weapons of mass destruction should be treated with the seriousness they deserve., GENG SHUANG (China) said he voted in favour of the draft as threats to biosecurity know no borders. Recalling that the Russian Federation has been raising its allegations in the Council since March about the biological activities taking place in Ukraine, he said that any concerns about compliance with the Biological and Toxin Weapons Convention deserve thorough and to-the-point clarifications by the parties concerned. Although a formal consultative meeting was held to resolve such issues in September, he said, regrettably, a set of questions put forth by the Russian Federation were not answered. Therefore, the Russian Federation submitted its allegations to the Council, which was reasonable, legitimate and should not be blocked. A fair and transparent investigation can address compliance concerns and help uphold the authority of the Convention., JOÃO GENÉSIO DE ALMEIDA FILHO (Brazil), noting his country’s consideration of documents made available by the Russian Federation and the discussions in Geneva, said that currently the necessary conditions for the initiation of an investigation under article VI of the Convention have not been met. Brazil is committed to the resumption of negotiations towards adoption of a binding verification protocol that strengthens implementation of the Biological Weapons Conventions regarding the exclusive peaceful use of knowledge and technologies in the field of life sciences. The situation in the Council today only reinforces the necessity of establishing such a mechanism, he pointed out, noting that the next review conference presents an opportunity for Council members to re-engage in such discussions without delay. While such a protocol is not adopted, States parties must strengthen the mechanisms of transparency and confidence-building available under the framework of the Convention by sharing the broadest range of information regarding research projects on topics related to the Convention., MOHAMED ISSA ABUSHAHAB (United Arab Emirates) stated that since article VI of the Convention has never been applied, the Council should be prudent and deliberate when establishing new precedents. He pointed out that there should be a broad agreement among Council members on the triggers and modalities to proceed with article VI.Given the lack of such an agreement on the draft resolution presented today, he noted that his country chose to abstain., NICOLAS DE RIVIÈRE (France) said the results of the vote are “unassailable”, demonstrating that “nobody is duped by the Russian Federation’s lies”. France voted against the draft, he continued, adding: “If words are stripped of their meaning, and if truth and lies are considered on an equal footing, diplomacy is no longer possible.” France evaluated the so-called evidence in detail; the allegations are unfounded. These conclusions were already drawn during the consultations in this regard in Geneva, he said, adding that the Russian Federation itself said it had no new information. The Russian Federation will respond to the results of the vote by passing itself off as a victim and try to teach lessons on international law, he said, stating that this will be “risible if the facts weren’t cause for tears”. The Russian Federation is engaged in a war of aggression against its neighbour and is illegally annexing Ukraine’s territory. He called on the Russian Federation to cease its campaign of disinformation and expressed regret about that country’s instrumentalization of the Biological and Toxin Weapons Convention., HAROLD ADLAI AGYEMAN (Ghana), Council President for the month, speaking in his national capacity, said he abstained from the vote, due to the nonconsensual outcome of the meeting held in Geneva, despite his country’s repeated proposition that a conclusive determination of Ukraine’s biological programmes could only be made after further assessment by relevant institutions. As a State party to the Biological Weapons Convention, Ghana believes in the right for States parties to engage in consultations and cooperate with each other to reach a solution in the event of any complaints of violations of the Convention, as agreed in article V, and is of the view that a necessary condition for the invocation of article VI, for a formal investigation into a complaint, should be a compelling prima facie case. He went on to reiterate that while he takes seriously issues related to the threat of use and proliferation of weapons of mass destruction, he also acknowledges the right set out in article X of the Convention, which accords States parties the right to participate in the fullest possible exchange of equipment, materials and scientific and technological information for the use of bacteriological (biological) agents and toxins for peaceful purposes., For information media. Not an official record.",https://reliefweb.int/report/ukraine/security-council-rejects-text-investigate-complaint-concerning-non-compliance-biological-weapons-convention-ukraine-united-states
