title,type,source,theme,date,body,link
"""This war must end"": The Ukraine crisis seven months on",News and Press Release,WFP,"Food and Nutrition
Peacekeeping and Peacebuilding",15 Sep 2022,"The World Food Programme's regional chief, Corinne Fleischer, on why peace is the best long-term solution for the country and those around the world dependent on its grain., 15 September 2022, Peyvand Khorsandi, ""We all hoped it wouldn't happen,"" says Corinne Fleischer. ""We were prepared, but we were not expecting that scale. Nobody was ... we had no presence, no staff, no suppliers, no partners."", WFP Regional Director Corinne Fleischer speaks with Ukrainian refugees in Moldova. Photo: WFP/Giulio d'Adamo, The Regional Director for World Food Programme's Middle East, Northern Africa and Eastern Europe (MENAEE) bureau was in Yemen on 24 February, when war broke out in Ukraine, accompanying WFP's executive director David Beasley on mission., ""Yemen was our big concern at that time,"" she adds - their intention even before the war was to highlight a year of unprecedented needs., Few could have imagined that Ukraine would come to join Yemen as one of the biggest humanitarian emergencies WFP is responding to. More than six million people have left the country over nearly seven months and an equal number are internally displaced., Still, ""within two weeks of the war breaking out, we had 200 staff in the operation, we had offices, warehouses, partners and a footprint,"" says Fleischer., Two years of the COVID-19 pandemic had already smashed so much of the progress WFP had made in development in contexts already suffering the effects of conflict and climate change., WFP Executive Director David Beasley surveys destruction in Bucha, Ukraine. Photo: WFP/Marco Frattini, The Ukraine war, Beasley said, was ""catastrophe on top of catastrophe."", ""We get 50 percent of our grains out of the Ukraine-Russia area,"" he added in a video tweet, surrounded by rows of cooking oil bottles and bags of grain at a distribution point in Yemen's capital, Sanaa., ""It's going to have a dramatic impact on food costs, shipping costs, oil and fuel - just when you think it couldn't get worse, it's going to get worse."", And worse it got., The closure of key Black Sea ports - and the effective removal of Ukrainian and Russian grain, vegetable oil and other foods from supply chains - disrupted food systems around the world., Access to nutrition for millions was reduced as the prices of food, fuel and fertilizer skyrocketed, furthering the relentless cost increases of 2021., Before the war Ukraine exported up to six million tons of grain a month; today, it exports 1.5 million tons per month., This spells disaster for the record 345 million people in 82 countries currently facing acute food insecurity; and for the up to 50 million people in 45 countries who are right on the edge of famine - and who risk tipping over without humanitarian support., WFP is particularly concerned about famine taking lives in Afghanistan, Ethiopia, Somalia, South Sudan and Yemen, currently the five biggest hunger hotspots., WFP-chartered ship carrying Ukrainian grain heads to Yemen. Photo: Ukraine Armed Forces/Nataliia Humeniuk, Thanks to the Black Sea Grain Initiative, signed not a minute too soon on 27 July, ships loaded with grain are again allowed to the 'breadbasket' of Europe., Less than a month later, a WFP-chartered vessel set sail from the port of Pivdennyi in Yuzhny, Odesa province, to Djibouti, carrying 23 thousand metric tons of grain, as part of WFP's response to crippling drought in the Horn of Africa., Things have come a long way. One month into the war , WFP assistance had reached 1 million people in Ukraine; by July it was 2.9 million. That is thanks to WFP's well-oiled emergency response machine, says Fleischer, who was appointed the Corporate Response Director for the Ukraine emergency., Ever hands-on, she wasted no time to get to the region., ""From Yemen I returned to Cairo, said goodbye to my husband: 'Let's see when we meet again',"" she recalls. ""Then I went to Geneva, because that's where the coordination started ... then I went to Krakow (in Poland), Moldova and also Ukraine., ""The impact of Ukraine was felt dramatically. When prices go up, people can't buy food for their families anymore,"" Fleischer adds. ""But if this war persists, we will not only face a food access problem, but also an availability problem."", Such price increases make firefighting hunger very difficult for governments and humanitarian groups alike, Fleischer notes., ""Right now, we have to do massive cuts in the region,"" she says. ""In many of our 15 operations, people receive 50 percent of a daily emergency ration. So, we are very concerned about hunger rising to numbers we haven't seen before, particularly in places like Yemen."", Without additional money, ""there will be famine,"" she adds., And then there's climate change., ""Water scarcity is a big issue,"" says Fleischer. ""Our region has one-sixth of the world's population and 1 percent of the freshwater resources. This region is not only going hungry, it's going thirsty."", Looking to the year ahead, she says, ""ending the war is critical. And if it doesn't end, well, it's going to require even more funds."", ""The war in Ukraine must end so that markets can stabilize again,"" she adds. ""We have had 11 years of conflict in Syria, seven years of conflict in Yemen. And we can't just add conflicts and add, with that, people who need us."", However, ending conflict is ""not what WFP can do. But at least we can ensure that people who are affected by it have the food they need to survive."", Meeting people in need, ""I had two quite stark encounters,"" says Fleischer. ""I met a woman called Elena (in Chisinau, Moldova) who had to decide whether to stay with her husband in Ukraine to give birth to her first child into an uncertain and unsafe future, or leave her support system behind, in the hope of providing at least safety, food and shelter to her soon-to-be born baby. And she chose the second one. That's a very, very tough decision to make for any mother, especially a first-time mother."", Then ""there was this little girl from Donetsk displaced in Vinnytsia (Ukraine), in the Government registration Centre for internally displaced persons. She was with her family, registering for cash assistance,"" she adds. ""The girl was carrying a drawing of her family. Pointing to a man, she said, ""That's my father, who is in the army. That's my house, which I had to leave,"" Fleischer recalls. ""And we need to buy food, which we have no money for because my mother lost her job.""",https://reliefweb.int/report/ukraine/war-must-end-ukraine-crisis-seven-months
"ACLED Regional Overview: Europe, Caucasus, and Central Asia (13 August-9 September 2022)",Analysis,ACLED,Protection and Human Rights,9 Sep 2022,"Over the past month in Europe, Caucasus, and Central Asia, the Russian military invasion of Ukraine continued into its seventh month, with Ukrainian forces conducting successful counterattacks in the Kherson and Kharkiv regions. Violence related to the Russian invasion also continued to spill across the border into Russia. The six-month anniversary of the invasion, which coincided with Ukraine's Independence Day on 24 August, drove demonstration activity across the region. Fighting along the Armenia-Artsakh-Azerbaijan Line of Contact escalated following a recent transfer of the Lachin corridor to Azerbaijan. Meanwhile, demonstrations in support of LGBT+ rights, against climate change, and related to the current cost of living crisis were recorded across the region., In Ukraine, fighting between Ukrainian and Russian forces continued in the southern and eastern regions of the country over the past month. In the first nine days of September, Ukrainian forces successfully pushed back Russian forces in the Kharkiv region, regaining control over an estimated 2,500 square kilometers as of 9 September (ISW, 9 September 2022).1 On 29 August, Ukrainian forces also launched offensive operations in the southern part of the country, attacking Russian supply lines and liberating several settlements in the Kherson region (New York Times, 29 August 2022; RFE/RL, 30 August 2022; CNN, 7 September 2022). Heavy fighting continued in the Donetsk region, where Russian forces conducted ground assaults in the areas of Bakhmut and Avdiivka; however, they did not lead to significant changes to the frontline (ISW, 9 September 2022)., Ukrainian partisan activity also continued amid the recent counteroffensives of the Ukrainian army. Partisan activity was particularly pronounced in the Zaporizhia region, but also present in the Kherson, Donetsk, and Crimea regions. Over the past month, partisan groups carried out a series of explosions targeting Russia-appointed officials, alleged Russian collaborators, and Russian soldiers, as well as railway tracks, trains, and barges used by Russian forces for resupply., Meanwhile, shelling intensified in Enerhodar in the Zaporizhia region over the past month, causing several incidents of power outages and external power supply loss at the Zaporizhia Nuclear Power Plant (NPP) (IAEA, 5 September 2022). Ukrainian and Russian officials blamed each other for the increased shelling ahead of and during the visit of inspectors from the International Atomic Energy Agency (IAEA) on 1 September (CNN, 1 September 2022; Ukrainska Pravda, 28 August 2022). The threat of a potential nuclear emergency prompted the United Nations Secretary-General to call for a demilitarized area around the NPP on 6 September (The Guardian, 6 September 2022). Shelling also intensified in other areas along the frontline in the Zaporizhia region, where Russian forces have launched heavy artillery and rocket barrages on Orikhiv, Huliaipole, and a number of other locations, amid a rapidly worsening humanitarian situation (WSJ, 16 August 2022; Ukrinform, 7 September 2022)., Russian forces have continued targeting civilian infrastructure along the frontline with shelling, airstrikes, and missile attacks, reportedly killing over 150 civilians in the past month.2 This includes a Russian missile strike on a railway station in Chaplyne in the Dnipropetrovsk region on 25 August that killed 25 civilians, and shelling of Kharkiv on 17 August that took the lives of 19 people (Euromaidanpress, 25 August 2022; Ukrinform, 22 August 2022). Russian forces also abducted dozens of civilians in the Kherson and Zaporizhia regions over this period., In Russia, incidents of cross-border shelling were reported in several villages in the Kursk, Belgorod, and Bryansk regions bordering Ukraine during the past month. Meanwhile, members and activists of the Communist Party (KPRF) faced attacks and harassment in the run-up to municipal elections on 11 September. These attacks included unidentified perpertators setting fire to the house of a KPRF activist in Ryazan and attacking a KPRF candidate and a party activist in Moscow and Yekaterinburg, respectively. Meanwhile, state forces arrested protesters taking part in a KPRF-organised rally for fair elections in Moscow (OVD Info, 3 September 2022). Separately, on 20 August, a car explosion killed Darya Dugina, the daughter of prominent Russian far-right public figure and Vladimir Putin supporter, Aleksander Dugin (MediaZone, 21 August 2022). This violence contributed to the 54% increase in weekly violent events in Russia in the past month relative to the weekly average for the preceding year. ACLED's Conflict Change Map also warned of increased violence in the country during the preceding four weeks., Demonstration activity against the war and in support of Ukraine continued throughout the region, with an outbreak of demonstration activity on Ukraine's Independence Day on 24 August, which coincided with the six-month anniversary of the invasion. Rallies in support of Ukraine were held in Armenia, Bulgaria, Cyprus, Czech Republic, Estonia, Georgia, Kazakhstan, Denmark, Norway, Sweden, Austria, France, Germany, Italy, Malta, and the Netherlands. In Russia, police broke up a small protest against the invasion, arresting all demonstrators. Pro-Ukraine demonstrations not linked to Ukraine's Independence Day were also recorded in Belgium and Ireland., Along the Armenia-Artsakh-Azerbaijan Line of Contact, clashes continued over the past month. Fighting escalated last week, resulting in the death of one Armenian serviceman, with ceasefire violations recorded in the Shahumyan, Kashatagh, and Tovuz regions of Azerbaijan, and the Gegharkunik region of Armenia. This violence contributed to the 260% increase in violent events in Azerbaijan and Artsakh last week relative to the weekly average for the preceding month. ACLED's Conflict Change Map also warned of increased violence in the region during the preceding four weeks., Meanwhile, Berdzor, Aghavno, and Sus settlements in the Lachin (Kashatagh) region were handed over to Azerbaijan on 26 August (168 Hours; 26 August 2022). The settlements are located along the Lachin corridor, the only available route connecting Armenia to the Artsakh Republic. An alternative route is currently under construction (Caucasian Knot, 5 August 2022). The transfer of territory caused ongoing anti-governmental protests both in Armenia and Artsakh. Meanwhile, five Armenian prisoners of war were returned to Armenia on 8 September as ""a step towards the normalization of relations"" following a meeting between Armenian Prime Minister Nikol Pashinyan and Azerbaijani President Ilham Aliyev that took place in Brussels on 31 August (Jam News, 9 September 2022)., Environmental and climate activists continued to demonstrate across Europe over the past month. Demonstration activity was recorded in Albania, Austria, Belgium, Czech Republic, Denmark, Finland, France, Hungary, Germany, Italy, the Netherlands, Norway, Poland, Portugal, Russia, Spain, Sweden, and the United Kingdom. The police intervened and arrested activists on a number of occasions in the United Kingdom. Animal Rebellion activists demonstrated for a plant-based future by blocking access to meat and milk aisles in several supermarkets across the country and staged several other sit-in protests at dairy product distribution centers. Meanwhile, Just Stop Oil members blocked several service stations to put pressure on the government to end new oil and gas projects. Activists also damaged properties on a few occasions (Essex Live, 29 August 2022; The Argus, 24 August 2022)., Meanwhile, demonstration activity linked to rising costs of living, inflation, and high energy prices were recorded in Austria, Bulgaria, Germany, Italy, France, Spain, the United Kingdom, Ireland, Moldova, Czech Republic, and Slovakia. Workers from various industry sectors staged demonstrations to demand salary increases in France, Germany, Italy, Spain, Portugal, the Netherlands, Ireland, the United Kingdom, Romania, North Macedonia, and Kazakhstan., Demonstrators gathered in support of LGBT+ rights in France, Germany, Malta, Belgium, Germany, Ireland, Italy, Spain, the United Kingdom, Czech Republic, Finland, Poland, Norway, and Sweden. In the United Kingdom, protesters gathered to demand the cancellation of children's events organized within the framework of the Drag Queen Story Hour tour of libraries., Note: This dashboard automatically updates to cover the latest four weeks of data released by ACLED. Use the date filters to view data for the one-week period covered by this Regional Overview.",https://reliefweb.int/report/ukraine/acled-regional-overview-europe-caucasus-and-central-asia-13-august-9-september-2022
Denmark contributes $3.6 million to protect women and girls' health and rights in Ukraine and Moldova,News and Press Release,UNCT Ukraine,"Gender
Health
Protection and Human Rights",13 Sep 2022,"The Government of Denmark has contributed 25 million Danish Krone (US$3.6 million) to UNFPA, the United Nations sexual and reproductive health agency, for its humanitarian response in Ukraine and Moldova. The funding will enable UNFPA to continue prioritizing the reproductive health and protection needs of women and girls affected by the war in Ukraine., As the conflict enters its seventh month, UNFPA remains dedicated to upholding the rights of women and girls whose lives have been upended by the war. The vast majority of people who have fled the country are women and children, who urgently need health and protection assistance. In the last six months, UNFPA has reached over 6 million people with humanitarian assistance in Ukraine and neighbouring countries, including through the provision of more than 95 tons of sexual and reproductive health medicines and supplies distributed across Ukraine and Moldova, and the delivery of 25,000 dignity kits., Denmark’s contribution will help support UNFPA’s humanitarian response to ensure safe births, reproductive health, and address gender-based violence and mental trauma among women and young people. With more than 530 attacks on health facilities in Ukraine, reported by WHO as of 12 September, pregnant women are being forced to leave war-torn areas and traveling to other regions of the country to seek help, where staff and supplies are increasingly scarce. UNFPA will scale up its sexual and reproductive health services and increase access to medical assistance for women and girls, particularly in conflict-ridden and hard-to-reach areas., UNFPA is also scaling up and strengthening its mental health support , especially for women, girls and young people who have lost relatives, homes, education and career opportunities. UNFPA is running integrated psychosocial programmes to help improve the mental health and well-being of young people affected by the war. In Moldova, UNFPA-supported “Orange Safe Spaces” and mobile teams are offering immediate support and counseling to women and girls, and serve as an entry point for services and referrals for gender-based violence and reproductive health., “This new contribution from Denmark will go a long way in assisting women and girls who are lacking access to quality reproductive health and protection services as a result of the war,” said Florence Bauer, UNFPA Regional Director for Eastern Europe and Central Asia. “This will allow UNFPA to continue prioritizing the unique needs of women and girls in the midst of conflict.”, The war in Ukraine is having a devastating impact on the lives of women and girls, in Ukraine, and around the world. UNFPA requires flexible resources to meet the needs of women and girls and to safeguard their rights and choices. In 2021, Denmark was the sixth-highest core contributor to UNFPA. The country has been a longstanding partner in support of UNFPA’s humanitarian action to end gender-based violence and protect sexual and reproductive health and rights., “More than 6 months of war have taken a dramatic toll on the people of Ukraine,” said Mr. Flemming Møller Mortensen, Minister for Development Cooperation and Minister for Nordic Cooperation of Denmark. “Denmark supports UNFPA in prioritizing the protection and reproductive health needs of women and young people affected by the war.”",https://reliefweb.int/report/ukraine/denmark-contributes-36-million-protect-women-and-girls-health-and-rights-ukraine-and-moldova
"Ukraine Emergency: UNHCR Operational Response, Delivery Updates (14 September 2022) [EN/UK]",Situation Report,UNHCR,"Camp Coordination and Camp Management
Food and Nutrition
Protection and Human Rights
Recovery and Reconstruction
Shelter and Non-Food Items
Water Sanitation Hygiene",14 Sep 2022,"OPERATIONAL CONTEXT, Active hostilities continue to take a heavy toll on civilians in eastern and southern Ukraine. Ongoing damage to civilian infrastructure only increases the challenges towards preparing for winter - with more damaged buildings and homes in need of critical repairs., The Government of Ukraine reported on 6 September that over 60,000 people had been evacuated over the month from Donetska, Kharkivska, Khersonska, Luhanska and Zaporizka oblasts in east and south - mainly children, women, people with low mobility and older people, in addition to those who had already evacuated from Donetska oblast through mandatory evacuation., The security situation in the Zaporizhzhia Nuclear Power Plant (ZNPP) remains tense and the Director of IAEA is calling for the creation of a nuclear and physical security zone around the ZNPP.",https://reliefweb.int/report/ukraine/ukraine-emergency-unhcr-operational-response-delivery-updates-14-september-2022-enuk
"Recent Ukrainian territorial gains reveal large-scale damage, IRC warns of severe humanitarian need and harsh winter ahead",News and Press Release,IRC,"Health
Protection and Human Rights
Shelter and Non-Food Items",13 Sep 2022,"Odesa, Ukraine, September 13, 2022 — As conflict continues to escalate across Ukraine and cities in locations in the eastern regions of Kharkiv and Kherson fall back under Ukrainian control, the International Rescue Committee (IRC) warns that winter will be especially hard for civilians as the full extent of damage is assessed., Thousands of residential buildings have been destroyed since 24th February, alongside schools, health centres and community buildings. This collapse in infrastructure has meant that millions of people are at risk of losing access to electricity and water supplies, as well as vital shelter., The IRC is scaling up its response in Odesa, Zaporizhzhia, Dnipro and Donetsk oblasts, as heavy fighting and shifts in territorial control causes an increase in the number of internally displaced people across southern and eastern Ukraine. Our teams and partners are delivering cash support to families so they can purchase essential supplies, increasing capacities of health care facilities to cope with greater numbers of patients, providing protection services including psychological first aid, and scaling up preparation for winter to ensure that people are prepared for the drop in temperatures and harsh weather conditions., Meanwhile, the IRC is preparing assessments in Kharkiv and Mykolaiv to identify immediate needs and prepare a timely and coordinated response to the increase in number of those internally displaced., Marysia Zapasnik, IRC Ukraine Director, said,, “Ongoing hostilities are having grave consequences for families living across southern and eastern Ukraine, and our teams are desperately worried that the destruction will spell disaster as winter draws closer. As large-scale damage of residential buildings and civilian infrastructure in areas such as Kharkiv, Kherson and Mykolaiv causes an increase in internally displaced populations , systems and infrastructure in oblasts receiving people seeking safety are being strained more than ever before., “Some 17.7 million Ukrainians are in urgent need of humanitarian assistance, partly due to damaged infrastructure, and millions more are living in homes damaged by conflict. IRC teams are continuing to work around the clock to make sure our teams and partners in the southern and eastern parts of Ukraine are able to respond to the increase in humanitarian needs that will come with a harsh winter. We are most fearful for the internally displaced people who are seeking shelter and safety in buildings ill-suited to providing sufficient protection from a sudden drop in temperature and heavy snowfall that will come with the winter months., “The humanitarian needs of those who remain in Ukraine - as well as those who have fled - will outlast the conflict. This apparent break in the deadlock is a critical moment for the future of the conflict, and it is crucial that the international community continues to apply diplomatic pressure on all warring parties to bring about a political settlement and an end to the violence. Meanwhile, the world must maintain the investment in humanitarian relief services so that organisations like the IRC can continue to reach those most in need.”, The IRC launched an emergency response to the Ukraine Crisis in February 2022 and has been working directly and with local partners to reach those most in need. We are in Poland, Ukraine and Moldova, delivering vital services such as cash assistance, mental health support, and safe healing and learning spaces for children., MEDIA CONTACTS
IRC Global Communications
+1 646 761 0307
communications@rescue.org",https://reliefweb.int/report/ukraine/recent-ukrainian-territorial-gains-reveal-large-scale-damage-irc-warns-severe-humanitarian-need-and-harsh-winter-ahead
"In response to today’s State of the European Union speech, director of Save the Children Europe Ylva Sperling issued the following statement:",News and Press Release,Save the Children,Protection and Human Rights,14 Sep 2022,"BRUSSELS, 14 September 2022 -- ""In today's State of the European Union address, President Ursula von Der Leyen spoke of the massive challenges that children face as a result of the conflict in Ukraine., Since February, over 3 million children have been internally displaced and approximately 2 million children have fled Ukraine to the EU. Save the Children welcomes the President's recognition of the harm children face, her commitment to fund the aid response, including the specific investment of 100 million EUR to reconstruct destroyed schools, and her steadfast solidarity with refugees from Ukraine., We also strongly agree with President von Der Leyen that the welcome shown to Ukrainian refugees in the EU must not be an exception, and should be the blueprint for moving towards a Europe that treats all children on the move with dignity and respect. Today, too many children at Europe's borders face violence and denial of asylum or adequate services - the response to the arrival of refugees from Ukraine shows that another way is possible., The impacts of the conflict extend far beyond children from Ukraine, however, and children in Europe and around the world are at a critical juncture. The economic shocks from the Ukraine conflict are creating an unprecedented energy and cost-of-living crisis in the EU, and President von Der Leyen's recognition that much more needs to be done is important. Key instruments like the Child Guarantee should be fully and urgently implemented and EU funds such as the ESF+ should be strategically allocated to support struggling children and families., The shocks are also exacerbating an already critical global food crisis, with some 60 million children around the world acutely malnourished. These children must not be forgotten or deprioritised., We welcome President von Der Leyen's commitments to future generations, particularly in the face of the escalating climate crisis. Following through on climate commitments and redoubling efforts to phase out fossil fuels are of critical, existential importance., We strongly support the need to ensure the ideas and values of the younger generation are at the centre of the EU's democratic process, and welcome the announcement that 2023 will be Europe's Year of Education and Training. Save the Children looks forward to engaging in the upcoming Child Participation platform to ensure that the views of children, especially marginalized and vulnerable children, are included in the upcoming European Convention., Save the Children will continue working with and for children in Europe and around the world, and is ready to support the European Union institutions and Member States in delivering their commitments to build a fairer society."", For further enquiries please contact:",https://reliefweb.int/report/ukraine/response-todays-state-european-union-speech-director-save-children-europe-ylva-sperling-issued-following-statement
September Monthly factsheet #10 - Cash for Protection Taskforce (C4PTF) in Ukraine & neighbouring countries,Situation Report,Protection Cluster,"Coordination
Gender
Protection and Human Rights",13 Sep 2022,"Purpose of this factsheet:, This Factsheet is produced on a bi-weekly basis for Protection and Cash and Voucher Assistance (CVA) specialists who are considering, planning for, or already using CVA integrated into protection programming to support protection outcomes for individuals and households inside and outside of Ukraine. Key findings are paired with “hints” wherever possible based on the current state of information and best practice resources on how CVA for Protection can be applied.
This factsheet aims at addressing Cash for Protection broadly and relies on the key information provided by the Task Team members as well as the relevant clusters, AoRs and working groups. All previous factsheets are available via this link.",https://reliefweb.int/report/ukraine/september-monthly-factsheet-10-cash-protection-taskforce-c4ptf-ukraine-neighbouring-countries
September Monthly factsheet #10 - Cash for Protection Taskforce (C4PTF) in Ukraine & neighbouring countries,Situation Report,UNHCR,"Coordination
Gender
Protection and Human Rights",13 Sep 2022,"Purpose of this factsheet:, This Factsheet is produced on a bi-weekly basis for Protection and Cash and Voucher Assistance (CVA) specialists who are considering, planning for, or already using CVA integrated into protection programming to support protection outcomes for individuals and households inside and outside of Ukraine. Key findings are paired with “hints” wherever possible based on the current state of information and best practice resources on how CVA for Protection can be applied.
This factsheet aims at addressing Cash for Protection broadly and relies on the key information provided by the Task Team members as well as the relevant clusters, AoRs and working groups. All previous factsheets are available via this link.",https://reliefweb.int/report/ukraine/september-monthly-factsheet-10-cash-protection-taskforce-c4ptf-ukraine-neighbouring-countries
Russia’s War on Ukraine | MEDEVAC operations – DG ECHO Daily Map | 14/09/2022,Map,ECHO,Health,14 Sep 2022,"1,495 REQUESTS FOR MEDEVAC OPERATIONS as of 14 September 16:00 CEST, The European Commission (DG ECHO and DG SANTE) has set up a standard operating procedure for the medical evacuation of Ukrainian people in need of urgent medical care., Pre -planned flights for groups of MEDEVAC patients have been taking place twice per week since mid - August, using a medicalised plane offered by Norway. This is centrally coordinated by the ERCC and by Medevac liaison officers, who are being embedded in the ERCC . This is set to run for a trial period of twelve weeks until the end of October . The aim is to provide regular and predictable transport solutions for large numbers of patients, creating optimal flights and higher efficiency, while carrying out greener practices.",https://reliefweb.int/map/ukraine/russias-war-ukraine-medevac-operations-dg-echo-daily-map-14092022
Return to Ukraine and back in the warzone,News and Press Release,DRC,Protection and Human Rights,24 Aug 2022,"In the crowd of people gathered in the high ceiling waiting room at the first floor of Lviv Railway Station is a small elderly lady trying to find her way to the queue in front of the Ukraposhta (national post service) counter. Her name is Maria*, an 81-year-old Ukrainian woman from east Ukraine, looking for help., Just as the waiting room itself has been transformed into an emergency shelter facility, the postal office counter is now functioning as a service point that offers government subsidies in the form of emergency cash assistance to internally displaced persons., Legal aid to people on the move, Lviv Railway station, being a main infrastructure hub for people leaving or returning to Ukraine from Poland, is also one of the locations where DRC is present with legal advisors and protection expertise to help people who may need guidance., Maria is here with four family members, among them her daughter and grandchild, as they have just arrived back from Poland to where they fled in the first instance. That was on 8 March, two weeks after the recent conflict erupted on 24 February, and when air alarms and intense shelling made them fear for the lives and decide that it was no longer possible to stay on., Leaving home last minute, ‘We tried to stay home at first. But there were air raid alarms nearly constantly and shelling rained on us, even in the residential areas. In no time, everything around us was destroyed. We didn’t dare waiting and had to leave with a short notice,’ she tells., All they brought were a few bags with ID papers and documents, a few thin blankets, pieces of clothes and some toys for the child. Their village was already by then heavily destroyed. It has seen further waves of attacks ever since with heavy bombardments of the district from where also Ukraine’s President Zelensky originally comes., Maria has been a day labourer there for most of her life working with paint repair of houses. She liked it in the beginning, but it was hard work and badly paid, she recalls, and explains how she made 80-90 Rubles a month, a small amount and not enough to get by. In 1995, she eventually retired and has lived from her government pension since then, hoping for a peaceful life with her family in the village. Her husband died seven years ago, but she was able to remain in their third-floor flat., Conflict since 2014, Conflict has affected Ukraine’s eastern and southern regions since decades, including since 2014 when the Russo-Ukrainian war between the Russian Federation - supported by pro-Russian separatists – and Ukraine. It was focused initially on the status of the Crimean Peninsula and the eastern Donbas-region that are internationally recognised as parts of Ukraine., As most of the residents of eastern and southern Ukraine, people there have lived for years with effects of the conflict and had become used to maneuvering in an environment heavily affected not only by political tensions, but also actual fighting. They have had no other option than to live with the insecurity and witnessed frequent shelling of residential areas, leaving vast areas of land used for farming to be heavily contaminated by mines and unexploded remnants of war that make every step and movement there too dangerous to the local population. But like Maria and her family, they stayed on, got used to the dangers and managed to continue daily lives - until 24 February this year, when the full-fledged Russian Federation-led offensive was launched in Ukraine., Five months abroad, ‘We have stayed nearly five months in Poland, and they hosted us there for free, but it was no longer an option, and we could not afford to stay on when we had to pay. So, we took the train back to Ukraine. We have decided that it is time to go back home to where we belong and where I and the new generations belong. So, we want to travel back to our village. My daughter’s husband is still there. We also have a family member who as passed away and should be at the funeral. And it’s my birthday next week where I will turn 82,’ Maria tells, as the family prepares to take the train back to Dnipro., ‘I look forward to going back,’ says Maria with a smile, ‘and to see my flat. I’m old and don’t walk so well, but there is a lift in our block. I like that place - and I miss being home.’, * Name changed",https://reliefweb.int/report/ukraine/return-ukraine-and-back-warzone
