title,type,source,theme,date,body,link
Ukraine: Humanitarian Response: Estimated People Reached (as of 16 June 2022),Infographic,OCHA,"Education
Food and Nutrition
Health
Mine Action
Protection and Human Rights
Shelter and Non-Food Items
Water Sanitation Hygiene",17 Jun 2022,,https://reliefweb.int/report/ukraine/ukraine-humanitarian-response-estimated-people-reached-16-june-2022
Ukraine WASH Cluster Operational Presence: Ukraine Response (14th June 2022),Map,UNICEF,Water Sanitation Hygiene,17 Jun 2022,,https://reliefweb.int/map/ukraine/ukraine-wash-cluster-operational-presence-ukraine-response-14th-june-2022
Ukraine WASH Cluster Operational Presence: Ukraine Response (14th June 2022),Map,WASH Cluster,Water Sanitation Hygiene,17 Jun 2022,,https://reliefweb.int/map/ukraine/ukraine-wash-cluster-operational-presence-ukraine-response-14th-june-2022
Russia’s war on Ukraine | Civil Protection Response - DG ECHO Daily Map | 17/06/2022,Map,ECHO,"Food and Nutrition
Health
Protection and Human Rights
Shelter and Non-Food Items
Water Sanitation Hygiene",17 Jun 2022,,https://reliefweb.int/map/ukraine/russias-war-ukraine-civil-protection-response-dg-echo-daily-map-17062022
World Vision: Ukraine Crisis Response 180 Day Plan,Situation Report,World Vision,"Education
Food and Nutrition
Health
Protection and Human Rights
Shelter and Non-Food Items
Water Sanitation Hygiene",17 Jun 2022,"Summary, The war in Ukraine continues and with it our response. World Vision’s 90 day Ukraine Crisis Response Plan (UCR), published in March, set out an initial strategic focus and plan. Now we look ahead, combining insights from our immediate experience on the ground with our decades of emergency response. As the situation evolves, we have adapted our response to seek greater stability, less risk, and an intentional focus inside Ukraine. This is driven by the ongoing volatility within Ukraine and the high numbers of refugees and internally displaced people (IDPs) in Ukraine and neighbouring countries., The shifts outlined in this new response plan strengthen our response and allow us to better meet the historically unprecedented needs caused by this senseless war. It also aligns with World Vision’s promise to deepen our commitment to the most vulnerable girls and boys. This 180 Day Plan extends through August 2022. A longer-term response plan will be published in September.",https://reliefweb.int/report/ukraine/world-vision-ukraine-crisis-response-180-day-plan
Les équipes de Handicap International assistent les personnes blessées et traumatisées par un conflit violent,News and Press Release,HI,"Health
Mine Action
Protection and Human Rights",16 Jun 2022,"Lyon, le 16 juin 2022. La guerre en Ukraine dure depuis maintenant 4 mois et on estime à plus de 24 millions le nombre de personnes aujourd’hui dans le besoin. Handicap International se mobilise pour aider les populations civiles qui subissent, en première ligne, les conséquences de cette guerre. Près de 70 personnes sont présentes en Ukraine pour apporter leur expertise en matière de réadaptation et de soutien psychologique, et garantir un accès à des articles de première nécessité., Apporter des soins de réadaptation et du soutien psychologique, Depuis le début du conflit, plus de 8 000 pertes civiles ont été dénombrées, dont plus de 4 200 blessés. Ces chiffres sont probablement très loin de la réalité. Face à ces estimations alarmantes, Handicap International déploie de l’aide dans le secteur médical : des équipes qualifiées réalisent des soins dans le domaine de la réadaptation physique et fonctionnelle à Tchernivtsi dans diverses structures (centres collectifs, orphelinats, etc.) et dans des établissements de santé, à Lviv et Dnipro. L’organisation a également formé une cinquantaine de soignants à la rééducation spécialisée (brûlures et amputations) pour renforcer les capacités hospitalières et pouvoir répondre à l’augmentation croissante des besoins en termes de soins d’urgence., Le soutien psychologique et l’assistance psychosociale font aussi partie des domaines d’interventions prioritaires des équipes de Handicap International, qui interviennent dans plusieurs structures hébergeant des personnes déplacées. Une hotline est, en outre, assurée 24 heures sur 24 pour fournir un soutien psychologique dans tout le pays, en collaboration avec l’Université de psychologie médicale de Tchernivtsi et un organisme d’aide psychologique local., Contribuer à assurer une aide humanitaire rapide et accessible, Une partie de la population ukrainienne a été contrainte de quitter son logement et vit maintenant dans des centres collectifs ou est hébergée par la population locale. Handicap International œuvre pour leur garantir l’accès à des articles d’hygiène et du matériels, spécialisés (savon, chaises percées, literie adéquate, etc.) en prenant en compte les besoins des populations les plus vulnérables comme les personnes âgées et les personnes handicapées. Un soutien financier est aussi fourni à des institutions qui travaillent à répondre aux besoins fondamentaux des populations (nourriture, eau et médicaments). La plateforme logistique de l’organisation prend en charge entre 7 et 10 convois d’articles de première nécessité par semaine et permet l’acheminement rapide d’articles humanitaires à destination des populations touchées par le conflit. Deux centres logistiques opérationnels ont déjà été mis en place à Vinnytsia et à Dnipro. Handicap International a ainsi pu assurer la fourniture de près de 40 convois depuis Dnipro, jusqu’à une distance proche du front (Kharkiv, Kramatorsk)., Préparer les populations à faire face aux risques des engins non explosés, Ravagée par les bombardements et l'utilisation illégale de mines terrestres, l'Ukraine est fortement contaminée par les restes explosifs de guerre et les mines terrestres. Les populations courent un risque accru de se retrouver face à des engins explosifs laissés sur place, ou d’être exposées à des bombardements et à des tirs d’artillerie., HI prévoit de lancer une campagne de sensibilisation aux risques liés aux munitions explosives dans quelques semaines à Tchernivtsi et à Dnipro à destination des populations., « Nous voulons leur apprendre à reconnaître, à adopter le bon comportement et à signaler ces menaces. » Celine Cheng, spécialiste de l'éducation aux risques liés aux munitions explosives HI, A propos de Handicap International, Handicap International est une association de solidarité internationale indépendante, qui intervient depuis près de 40 ans dans les situations de pauvreté et d'exclusion, de conflits et de catastrophes. Œuvrant aux côtés des personnes handicapées et vulnérables, elle agit et témoigne pour répondre à leurs besoins essentiels et améliorer leurs conditions de vie. Elle s'engage à promouvoir le respect de leur dignité et de leurs droits fondamentaux. Depuis sa création en 1982, Handicap International a mis en place des programmes de développement dans plus de 60 pays et intervient dans de nombreuses situations d'urgence. Le réseau de 8 associations nationales (Allemagne, Belgique, Canada, États- Unis, France, Luxembourg, Royaume-Uni et Suisse) œuvre de manière constante à la mobilisation des ressources, à la cogestion des projets et au rayonnement des principes et actions de l'organisation. Handicap International est l'une des six associations fondatrices de la Campagne internationale pour interdire les mines (ICBL), colauréate du prix Nobel de la paix en 1997 et lauréate du Prix Conrad N. Hilton 2011. Handicap International agit et témoigne partout où « vivre debout » ne va pas de soi., Contact presse
Handicap International
Clara Amati
M. 06 98 65 63 94 M. c.amati@hi.org",https://reliefweb.int/report/ukraine/les-equipes-de-handicap-international-assistent-les-personnes-blessees-et-traumatisees-par-un-conflit-violent
Ukraine Situation Flash Update #17 (17 June 2022),Situation Report,UNHCR,"Health
Protection and Human Rights
Shelter and Non-Food Items",17 Jun 2022,"KEY FIGURES, 5,094,531 Individual refugees from Ukraine recorded across Europe, 3,407,378 Refugees from Ukraine registered for Temporary Protection or similar national protection schemes in Europe, 7,567,024 Border crossings from Ukraine, 2,479,398 Border crossings to Ukraine, BACKGROUND, Since the onset of the Russian invasion, nearly one-third of Ukrainians have been forced from their homes. This is the largest human displacement crisis in the world today. Within Ukraine, over 7.1 million people remain displaced by the war and 15.7 million people are estimated to urgently require humanitarian assistance and protection. As of today, UNHCR estimates there are over 5.1 million refugees present across Europe, and over 3.4 million refugees from Ukraine have registered for temporary protection or similar national protection schemes in Europe. More than 7.5 million refugee movements out of Ukraine have been recorded since 24 February, while nearly 2.5 million movements back into the country have been recorded since 28 February., Inside Ukraine, many people who are trapped are unable to meet their basic needs including for food, water and medicines. The delivery of life-saving aid remains challenging, with a lack of safe humanitarian access in areas where intense fighting is ongoing. UNHCR and partners continue striving to reach hard-hit areas with lifesaving assistance as part of inter-agency humanitarian convoys.",https://reliefweb.int/report/ukraine/ukraine-situation-flash-update-17-17-june-2022
Ukraine highlights efforts to close digital divide for people with disabilities during New York conference,News and Press Release,UNDP,Protection and Human Rights,17 Jun 2022,"UNDP project showcased at conference champions improved access to online services, crucial during war., Kyiv, 17 June 2022 – Ukraine’s Ministry of Digital Transformation presented the country’s achievements in the field of digital accessibility during the 15th Conference of the States Parties to the Convention on the Rights of Persons with Disabilities in New York this week., Yurii Matsyk, Head of the MDT’s Directorate of Fixed and Mobile Broadband, shared how people with disabilities are able to access online services as a result on the steps taken by the MDT with help from the United Nations Development Programme (UNDP) to increase the digital accessibility of web resources of government authorities and eliminate the digital divide in Ukraine., The MDT is working to expand citizens' access to the Internet throughout the country, despite the war, and is implementing projects aimed at increasing the digital skills of Ukrainian men and women, Mr. Matsyk said., In addition, the Ministry initiated the testing of web accessibility of public web resources, including that of Diia – the unified portal for online public services in Ukraine – as well as the development of a new state standard on web accessibility. Some of these initiatives have been implemented with the assistance of UNDP in Ukraine with financial support from Sweden., “Digital accessibility is one of the priorities of Ukraine's public policy. Therefore, our work aims to increase web accessibility in the country, not only for people with disabilities, but for all citizens,” Mr. Matsyk said. “Our main goal is that the digital country should be accessible to all, and everyone should be able to receive access to the public services they need, and enjoy all of the benefits of the country's digital transformation.” In this regard he thanked Ukraine’s international partners for their support for the ministry's initiatives, and noted the expert and financial support given by both the United Nations Development Programme in Ukraine and by Sweden in the area of digital accessibility., Ambassador Extraordinary and Plenipotentiary of Sweden to Ukraine Tobias Thyberg emphasized that Sweden consistently supports Ukraine in bridging the digital divide in the country, and in increasing the digital literacy of its citizens. “Developing the digital skills of Ukrainians and ensuring web accessibility when creating new web products is a guarantee that as many people as possible will be able to use public services,” he said. “Sweden is committed to supporting Ukraine on this path, so that the digital transformation will benefit all Ukrainian men and women”., An integrated approach taken by the Government of Ukraine to improve people’s digital skills while increasing the web accessibility to all will help reduce the digital divide in Ukraine, said UNDP Ukraine Resident Representative, a.i. Manal Fouani. “In the last three years, the Government has taken unprecedented steps to increase the web accessibility of public resources and digital literacy,” Ms. Fouani said. “Progress in this direction is not stopping, even during the war. All these solutions and tools will certainly reduce and eliminate digital barriers in Ukraine. UNDP strongly believes that the digitalisation of public administration should be accessible to all people in the country, including people with disabilities, so that no one is left behind, especially during the war, and Ukraine’s progress is the best demonstration of this process.”, UNDP Ukraine, with the support of Sweden, has been working closely with the Ministry of Digital Transformation of Ukraine in the field of web accessibility in recent years. Among their recent achievements is the creation of a digital accessibility standard. The Ukrainian version of the EN 301 549 standard aims to ensure the web accessibility requirements for government websites match the ones that are mandatory in EU states. UNDP in Ukraine and Sweden also supported the participation of the Ministry of Digital Transformation in this year's Conference of the Parties to the Convention on the Rights of Persons with Disabilities., Background, In late 2006, the United Nations General Assembly adopted the text of the Convention on the Rights of Persons with Disabilities. Its purpose was to encourage, protect and ensure the full and equal enjoyment of all human rights and fundamental freedoms by all persons with disabilities. The Convention stipulates that States parties shall meet regularly in a Conference in order to consider any matter with regard to the implementation of the Convention, and since 2008 there have been 15 sessions of the Conference of the States Parties at United Nations Headquarters., The above-mentioned initiatives on web accessibility were conducted within the project “Digital, Inclusive, Accessible: Support to Digitalisation of Public Services in Ukraine Project” (DIA Support Project), which UNDP implements in Ukraine with the financial support of Sweden. The DIA Support Project was launched in 2021 and aims to bridge the digital divide between different generations and different social groups. Its main goal is to increase the accessibility of new digital solutions so that every man and woman in the country can use public electronic services and no one is left behind., Media inquiries:, Yuliia Samus, Communications Team Leader, UNDP in Ukraine, Yuliia.Samus@undp.org",https://reliefweb.int/report/ukraine/ukraine-highlights-efforts-close-digital-divide-people-disabilities-during-new-york-conference
"Russia’s war on Ukraine (DG ECHO, UN, Ukraine government, media) (ECHO Daily Flash of 17 May 2022)",News and Press Release,ECHO,"Agriculture
Food and Nutrition
Health
Protection and Human Rights",17 Jun 2022,"The UN and humanitarian partners have contributed to provide vital humanitarian aid to more than 8.8 million people in Ukraine according to UN OCHA. Since 24 February, over 7.4 million people have received food assistance; 2.72 million people health-related support; and over 1.7 million were reached with cash assistance. The civilian casualties due to Russia’s war of aggression on Ukraine exceeded 10,000, according to OHCHR., Turkey is ready to host four-way talks with the UN, Russia and Ukraine in order to ensure transportation of Ukraine’s grain exports., Over the last two months, more than 1,000 people have been evacuated from Donbas by medical trains, launched by Ukraine’s railway operator Ukrzaliznytsia in cooperation with the Medecins Sans Frontieres., Destruction or partial damage to agricultural land is worth USD 2.1 billion, with around 2.4 million hectares of winter crops worth USD 1.4 billion to remain unharvested due to occupation, ongoing warfare, and mine contamination. UNDP warns that, should the war deepen, up to 90% of the Ukrainian population could face poverty and extreme economic vulnerability., The European Commission is coordinating the delivery of assistance via the EU Civil Protection Mechanism to Ukraine, from all 27 Member States and three Participating States. More than 40,500 tonnes of assistance from these countries and items from the rescEU medical stockpile have been delivered to Ukraine via the UCPM logistic hubs in Poland, Romania and Slovakia.",https://reliefweb.int/report/ukraine/russias-war-ukraine-dg-echo-un-ukraine-government-media-echo-daily-flash-17-may-2022
Ukraine: Situation Overview Map - 15 June 2022 [EN/RU/UK],Map,OCHA,Protection and Human Rights,15 Jun 2022,,https://reliefweb.int/map/ukraine/ukraine-situation-overview-map-15-june-2022-enruuk
