title,type,source,theme,date,body,link
"War in Ukraine: situation report from WHO Ukraine country office. Issue No.2, 20 April 2022",Situation Report,WHO,"Coordination
Health",20 Apr 2022,"HIGHLIGHTS, Since 24 February, there has been continued deterioration with new parts of the country affected., Distribution of WHO supplied equipment continues with the supply of cold chain items (immunoglobulins, tocilizumab) and generators to the de-occupied territories. The distribution of generators has been initiated to Kyiv oblast which includes Borodianka, Bucha, Irpin, Ivankiv, Makariv, Vorzel. The remaining generators will be delivered to Kharkiv, Kyiv city and probably Chernihiv., 154 reports of attacks on health care have been verified by WHO, resulting in 73 deaths and 52 injuries. Based on pre- war hospital visit data, an average of 175,000 patients were treated per month (data available for 77 of 100 health facilities attacked)., The Ministry of Health and the European Commission are working together to evacuate wounded Ukrainians using the Luftwaffe of the German Armed forces. The ‘Flying Hospital’ - is serving both adults and children with severe injuries, burns and other diseases that are impossible to treat in Ukraine. The special medical flight covers the evacuation route between Lviv – Rzeszow – Cologne is equipped with six modules of intensive care including systems of artificial ventilation, control of circulatory functions and infusions, as well as a portable ultrasound machine. The facility can take up to 38 places for people with minor injuries or 56 places for the wounded and attended by 25 doctors and nurses. Link here., UK Permanent Representative to the United Nations Barbara Woodward made a corresponding statement at the UN Security Council meeting on Ukraine. UK has pledged almost £400 million in aid to Ukraine and will provide £220 million of humanitarian assistance to support countries receiving Ukrainian refugees. Link here.",https://reliefweb.int/report/ukraine/war-ukraine-situation-report-who-ukraine-country-office-issue-no2-20-april-2022
UNFPA Appeal for Ukraine (19 April 2022),Appeal,UNFPA,"Health
Protection and Human Rights",19 Apr 2022,"As the war in Ukraine intensifies, people are fleeing to safety at a rapid pace. 11.9 million people have fled their homes. The majority of those fleeing are women and children who urgently need life-saving support for their physical and mental wellbeing. At the start of the war, an estimated 265,000 women were pregnant in Ukraine, with 80,000 expected to give birth in the coming 3 months., There continue to be heartbreaking reports of attacks on hospitals and health infrastructure, with women giving birth in basements and bomb shelters without adequate medical support. There is an urgent need to prioritise health and protection services to reduce suffering, save lives and support those affected., UNFPA, together with partners, is focusing on sexual and reproductive health (SRH), including maternal and newborn health; and protection from sexual and gender-based violence (GBV), predominately for women and girls and the most vulnerable., UNFPA urgently needs flexible financing to scale its operations in Ukraine and neighbouring countries. Most urgently UNFPA needs financing to provide essential medical supplies and deploy further trained personnel to deliver life-saving services. The combined funding needed is $65.6 million; $47.75 million for Ukraine and $15.7 million for Moldova, and $2.2 million for other neighbouring countries until the end of December 2022.",https://reliefweb.int/report/ukraine/unfpa-appeal-ukraine-19-april-2022
World Bank Group Response to Global Impacts of the War in Ukraine: A Proposed Roadmap,Analysis,World Bank,Recovery and Reconstruction,12 Apr 2022,"Executive Summary, i. The war in Ukraine is having worldwide impacts, with enormous human and economic consequences that continue to unfold. This new crisis – for Ukraine, for countries hosting refugees from Ukraine,and for developing countries affected by the worldwide economic impacts – comes at an exceptionally challenging time for poor people already hit by the pandemic, conflict and climate change. The war threatens to further set back progress toward poverty reduction and shared prosperity, and delay green, resilient and inclusive development. It is likely to deepen inequality across and within countries for decades to come., ii. In Ukraine, the direct and immediate toll of the war is vast, including devastation of Ukraine’s economy, infrastructure and living standards. Russia’s invasion of Ukraine has led to death, disability and displacement; interrupted human capital formation; and caused large-scale job and income losses. The war is rapidly eroding social conditions, with differentiated impacts, including on refugees, internally displaced people (IDPs), host communities, and vulnerable groups – especially women, children, the elderly and the disabled. More than 1 in 4 Ukrainians was forcibly displaced within a span of five weeks, including over half of Ukrainian children. Pressures are mounting on countries in the Europe and Central Asia (ECA) region that have received more than four million refugees, lost access to workers’ remittances, and face the threat of war spreading beyond Ukraine’s borders., iii. Across the wider developing world, the economic and social impacts are spreading through multiple channels, including commodity markets, trade, financial flows, and market confidence. These impacts are differentiated by country circumstances (i.e., fuel importers versus exporters). The conflict is eroding global confidence, weakening growth, increasing fiscal and financial stress, and worsening food and nutrition insecurity. If protracted, it could also exacerbate policy uncertainty and lead to lasting fragmentation of global trade and foreign investment networks – channels that have historically played a central role in supporting global economic growth and poverty reduction., iv. Importantly, the war’s global repercussions are aggravating the large-scale, ongoing effects of the COVID-19 pandemic and climate change. Compounding the impacts of the pandemic and the climate crisis, including extreme weather such as droughts and floods, ripple effects of the war will likely aggravate hunger, malnutrition, food insecurity and deprivation for millions of people around the world. For policymakers, the war’s impacts will further narrow already limited fiscal space and heighten demands – provoking difficult tradeoffs and new risks that urgent needs will displace focus on long-term development, including the climate agenda. Higher prices for basic necessities, increased scarcity and worsening inequality across and within countries could further increase social disruption and exacerbate fragility, conflict and violence., v. The World Bank Group is redoubling efforts to help clients address the severe and growing impacts of the war in Ukraine while continuing to respond to compounding crises – particularly the COVID-19 pandemic and climate change – and pursue durable recovery. Anchored in the WBG twin goals and with continued focus on fostering Green, Resilient and Inclusive Development (GRID), this proposed Roadmap summarizes the ongoing and proposed WBG response to the global impacts of the war in Ukraine. It integrates lessons learned; highlights key uncertainties and risks; and draws on WBG comparative advantages – including optimizing synergies and coordination across the World Bank, IFC and MIGA., vi. The Roadmap discusses the WBG’s initial short-term response and outlines a medium-term, targeted approach encompassing the 15 months from April 2022 to June 2023. In the remaining quarter of FY22 (April – June), the WBG intends to prioritize an initial crisis response with total commitments of around $50 billion. The initial WBG response will include increasing support to (i) Ukraine, (ii) countries hosting refugees from Ukraine, and (iii) the wider developing world to address crisis impacts on the poor and vulnerable. This will build on the results achieved under the COVID-19 Crisis Response. While supporting the needs arising from the war in Ukraine, the WBG will promote sustained focus on longer-term development priorities that are integral to the achievement of the WBG twin goals of eliminating extreme poverty and promoting shared prosperity in a sustainable manner. Food prices in real terms are going up rapidly in the context of current and anticipated supply constraints. It is critical to avoid making the situation worse by imposing export restrictions and price controls. Enabling market access and protecting the population against food vulnerabilities through social transfers are central to the WBG response. The WBG’s medium-term response, comprising surge financing to facilitate strong client engagement and meet heightened client demand across the WBG client base, will be set out in a Global Crisis Response Framework Paper to be presented to the Board by end-June 2022., vii. Over the coming weeks, Management will explore with its Board of Executive Directors options to put in place a 15-month WBG crisis response envelope of around $170 billion for the period from April 2022 to June 2023. This will support developing countries as they address the human and development setbacks caused by compounding crises – impacts of the war, including food and fuel price shocks, and disruptions to trade, supply chains and Foreign Direct Investment (FDI); the COVID-19 pandemic; and climate change. Support for Ukraine, its reconstruction, its people and impacted nearby countries will be integrated, and supported by analytical work. viii. Comprehensive and customized WBG engagement will extend across the client spectrum, including low-income countries (LICs); middle-income countries (MICs); fragile and conflict-affected states (FCSs) and small states. In concert with its development partners, the WBG surge crisis response will provide focused support for developing countries as they confront the impacts of the war. In addition to addressing the impact of the war in Ukraine, the proposed surge financing will sustain WBG high impact support for responding to the COVID-19 pandemic, accelerating climate change adaptation and mitigation, as well as promoting durable economic recovery through GRID. Strong partnerships at the international and national level will be integral to WBG crisis response and client engagement.",https://reliefweb.int/report/ukraine/world-bank-group-response-global-impacts-war-ukraine-proposed-roadmap
IMF Executive Board Approves Establishment of the Resilience and Sustainability Trust,News and Press Release,IMF,"Climate Change and Environment
Disaster Management
Health",18 Apr 2022,"The Executive Board of the International Monetary Fund (IMF) approved the establishment of the Resilience and Sustainability Trust (RST) to help countries build resilience to external shocks and ensure sustainable growth, contributing to their long-term balance of payments stability., The RST will complement the IMF’s existing lending toolkit by focusing on longer-term structural challenges – including climate change and pandemic preparedness – that entail significant macroeconomic risks and where policy solutions have a strong global public good nature., About three quarters of the IMF’s membership will be eligible for longer-term affordable financing from the RST, including all low-income countries, all developing and vulnerable small states, and lower middle-income countries., Washington, DC: Challenges from the pandemic, spillovers from geopolitical shocks, and long-standing structural problems pose an enormous impediment for balance of payments stability and resilient and sustainable growth, especially for low-income and vulnerable middle-income countries. In this context, on April 13, 2022, the Executive Board of the International Monetary Fund (IMF) approved the establishment of the Resilience and Sustainability Trust (RST) with effect from May 1, 2022., The RST will complement the IMF’s existing lending toolkit by focusing on longer-term structural challenges— including climate change and pandemic preparedness—that entail significant macroeconomic risks and where policy solutions have a strong global public good nature . It will channel Special Drawing Rights (SDRs) contributed by countries with strong external positions to countries where the needs are the greatest, providing policy support and affordable longer-term financing to strengthen members’ resilience and sustainability and thereby contributing to prospective balance of payments stability., The RST will be a loan-based trust, with resources mobilized on a voluntary basis. About three quarters of the IMF’s membership will be eligible for longer-term affordable financing from the RST, including all low-income countries, all developing and vulnerable small states, and lower middle-income countries. Access will be based on the countries’ reforms strength and debt sustainability considerations and capped at the lower of 150 percent of quota or SDR 1 billion. The loans will have a 20-year maturity and a 10½-year grace period, with borrowers paying an interest rate with a modest margin over the three-month SDR rate, with the most concessional financing terms provided to the poorest countries., The RST will stand ready to commence lending operations once a critical mass of resources from a broad base of contributors is achieved and once sufficiently robust financial systems and processes are in place, which is anticipated to occur by the end of the year. Fundraising toward the estimated total resource needs of about SDR 33 billion (equivalent to US$45 billion) will be initiated immediately., Executive Board Assessment [1], Executive Directors approved the establishment of a Resilience and Sustainability Trust (RST) to support member countries’ longer-term structural reform efforts by channeling SDRs to low-income and vulnerable middle-income members. They concurred that the envisaged role of the Trust to provide affordable long-term financing to enhance economic resilience and sustainability would contribute to prospective balance of payments stability, consistent with the Fund’s purposes. Directors noted that the economic costs of not addressing macro-critical longer-term structural challenges could be very high, and the support from the RST combined with the additional financing it will help catalyze would contribute to alleviating these risks., Most Directors supported RST operations to initially focus on addressing climate change and pandemic preparedness while maintaining flexibility to add additional qualifying challenges in the future with sufficiently broad consensus. A number of Directors, however, proposed expanding from the outset the qualifying challenges to a broader set of longer-term challenges. Directors generally considered that the proposed eligibility criteria, and the resulting list of 143 RST-eligible members, strike the right balance between breadth of access and resource constraints., Directors broadly welcomed the longer lending terms and endorsed the tiered interest rate structure that increases concessionality for lower income members. They noted that periodic interest rate reviews should balance the need to ensure the financial sustainability of the Trust and provide appropriate terms for borrowers, with an interest rate cap to be considered if needed to protect the lowest income borrowers from rising interest rates, following consultations with contributors., Directors endorsed the proposed lending modalities under RSF arrangements. They generally supported the requirement for a concurrent IMF instrument with upper-credit tranche-quality conditionality., Directors agreed with the access norm of 75 percent of quota with an access cap at 150 percent of quota or SDR 1 billion, whichever is lower. Many Directors, however, would have preferred higher access limits for small quota countries, vulnerable states, and other qualifying members with large financing needs to address longer-term challenges. Most Directors agreed that RST access would not count towards triggering existing GRA and PRGT exceptional access policies and high combined access safeguards, although some Directors would have preferred such additional safeguards. Directors also welcomed counting RST credit outstanding toward post-financing assessments triggers, which may be recalibrated as appropriate at the RST review., Directors endorsed the governance structure of the RST, which places the IMF’s Executive Board at its center, complemented by consultation with contributors on key issues and requiring the consent by contributors for certain amendments that affect key contributor interests. They emphasized the need for a timely, comprehensive review of the RST, in three years at the latest. They also agreed to an interim review to take stock of the initial experience and revisit the set of qualifying structural challenges at around 18 months after its operationalization. Directors looked forward to receiving regular updates on the adequacy of RST resources with the possibility to adopt contingency measures at that time, typically near the end of each financial year, and on an ad hoc basis if warranted., Noting the large scale of longer-term structural challenges, Directors underscored the importance of close and systematic coordination with the World Bank and other relevant institutions to leverage specialized expertise, provide coherent policy advice, and catalyze financing. They encouraged the prompt development of a coordination framework for pandemic preparedness similar to the proposed framework for climate change., Directors supported the financial design of the RST based on three pillars: a Loan Account (LA), a Reserve Account (RA), and a Deposit Account (DA). They endorsed the terms of the borrowing agreements for the LA, and the contribution agreements for the RA and the DA as detailed in the RST Instrument, including allowing stand-alone contributions to the RA and DA. Directors concurred that the RST’s robust financial framework and the encashment regime of the LA and DA are critical in maintaining the reserve asset nature of creditors’ claims on those accounts of the Trust., Directors emphasized that the financial risks associated with RST lending should be managed carefully through a multilayered risk management framework, including assessments of the member’s capacity to repay and debt sustainability and the RST’s financial design. They stressed the importance of building up strong buffers via gross and net reserves to safeguard against financial risk and to cover administrative expenses of the Trust. Directors called on all Fund members, within the limits of their laws, to treat the RST as a preferred creditor, consistent with such treatment of the GRA and PRGT., Directors recognized the importance of raising sufficient contributions to meet estimated demand for RST financing, calling on members with stronger external positions to finalize contribution agreements in time to start RST operations around the time of the 2022 Annual Meetings. They supported pooling RST assets with those of the PRGT for investment purposes, and urged contributors to the PRGT’s subsidy accounts to consent in a timely manner to the proposed amendment to the PRGT Instrument that would enable such pooling, which is key for RST operationalization. Directors expected that SDR contributors to the RST would participate actively in SDR transactions through their Voluntary Trading Arrangements to support the conversion of channeled SDRs into currencies., Directors recognized that implementation of the RST would result in new demands on staff resources. They agreed that the RST should pay a fee to the GRA to cover trust management activities which would constitute budget receipts. Directors supported reimbursement of the GRA for the cost of administering the Trust excluding activities covered by the fee, which would be discussed in the context of the annual income paper., [1] At the conclusion of the discussion, the Managing Director, as Chairman of the Board, summarizes the views of Executive Directors, and this summary is transmitted to the country's authorities. An explanation of any qualifiers used in summing ups can be found here: http://www.IMF.org/external/np/sec/misc/qualifiers.htm ., IMF Communications Department
MEDIA RELATIONS
PRESS OFFICER: WAFA AMR PHONE: +1 202 623-7100EMAIL: MEDIA@IMF.ORG",https://reliefweb.int/report/ukraine/imf-executive-board-approves-establishment-resilience-and-sustainability-trust
Update 57 - IAEA Director General Statement on Situation in Ukraine (19 April 2022),News and Press Release,IAEA,Disaster Management,19 Apr 2022,"Ukraine informed the International Atomic Energy Agency (IAEA) today that direct communications between the national regulator and the Chornobyl Nuclear Power Plant (NPP) had been restored, more than a month after such contact was lost when Russian forces controlled the site, Director General Rafael Mariano Grossi said., The Director General welcomed the re-establishment of phone communication between the State Nuclear Regulatory Inspectorate of Ukraine (SNRIU) and the Chornobyl NPP. He said it was another important step in the process of resuming Ukraine’s regulatory control of the site of the 1986 accident, where various radioactive waste management facilities are now located., Russian forces seized the Chornobyl NPP on 24 February and held it for five weeks before withdrawing on 31 March. Ukraine informed the IAEA on 10 March that it had lost contact with the NPP site. The regulator continued to receive information about the situation at Chornobyl through senior off-site management of the plant., “This was clearly not a sustainable situation, and it is very good news that the regulator can now contact the plant directly when it needs to,” Director General Grossi said. Reliable communication with the regulator is one of seven indispensable pillars of nuclear safety and security that he outlined at the beginning of the conflict in Ukraine., The Director General plans to head a mission of IAEA experts to the Chornobyl site later this month to conduct nuclear safety, security and radiological assessments, deliver vital equipment and repair the Agency’s remote safeguards monitoring systems there., Regarding the country’s 15 operational reactors at four nuclear power plants, Ukraine said seven are currently connected to the grid, including two at the Russian-controlled Zaporizhzhya NPP, two at the Rivne NPP, two at the South Ukraine NPP, and one at the Khmelnytskyy NPP. The eight other reactors are shut down for regular maintenance or held in reserve. Safety systems remain operational at the four NPPs and they also continue to have off-site power available, Ukraine said., In relation to safeguards, the IAEA said it was still not receiving remote data transmission from its monitoring systems installed at the Chornobyl NPP, but such data was being transferred to IAEA headquarters from the other NPPs in Ukraine.",https://reliefweb.int/report/ukraine/update-57-iaea-director-general-statement-situation-ukraine-19-april-2022
Preparing for the worst: training health workers to deal with casualty surges from the war in Ukraine,News and Press Release,WHO,"Health
Protection and Human Rights",19 Apr 2022,"Figures from the Office of the United Nations High Commissioner for Human Rights (OHCHR) show more than 4000 casualties from the war in Ukraine so far. Yet, as the OHCHR acknowledges, the actual number is likely to be far higher given that it is difficult to access accurate information from areas where intense hostilities are ongoing, and that other reports are awaiting corroboration., Ensuring hospitals are prepared for sudden increases in casualties during this emergency is therefore crucial. A big part of this entails fully training health professionals in these institutions not just in the theory but, more importantly, in the practice of organizing and mobilizing resources to deal with these crises effectively., Training in the Republic of Moldova, Recently, WHO at the request of the Moldovan Ministry of Health organized a 3-day course on mass casualty management (MCM), developed in collaboration with the Ministry of Health and the Karolinska Institutet in Sweden. A total of 32 surgeons, traumatologists and facility managers from 13 hospitals benefitted from the training., The Republic of Moldova, a neighbouring country to Ukraine, has already seen 400 000 refugees cross its border for protection. Preparing its health professionals for a potential surge in war casualties has been a key consideration., And as Ion Chesov, Head of the Integrated Services Department at the Ministry of Health, stressed, the benefits of this training go well beyond the current emergency: “We need to ensure the health system as a whole and the facilities in particular are prepared to face any emergency or unexpected disaster. Knowledge in basic and advanced trauma life support are crucial and form the foundation of medical skills in medical doctors.”, Training in Ukraine, This month, WHO also began rolling out the course in Ukraine. The first participants were staff of an ambulance substation in the Lviv region. Training paramedics in this way will allow them to provide appropriate assistance to victims even before they have reached hospitals. WHO has engaged Ukrainian emergency physicians to deliver the training, and is planning to deliver more sessions across the country., Speaking about the course, Johan von Schreeb, WHO Emergency Medical Team Coordinator in Ukraine, commented: “In the country today, this type of training, unfortunately, is very much needed. We see a lot of mass casualty situations where many people have been injured simultaneously. That is very challenging for the health system and for the staff who have to make rapid, critical decisions for prioritizing the evacuation of the injured. Practising the triage of patients is a very useful exercise, and we need to do more of it. We can’t simply do it using presentations. You have to be exposed to the stress, the decision-making, the organization and the chaos, and we try to simulate that as much as possible through the training.”, About the course, The MCM course was developed in collaboration with WHO’s Emergency Medical Team, the Karolinska Institutet (a WHO collaborating centre) and the WHO Academy. The course developers recognized that mass casualties following disasters and significant incidents, often characterized by large numbers of severe and diverse injuries, can rapidly overwhelm the ability of health facilities to deliver adequate medical care., The training addresses the organization and actions of staff working in emergency units, with a focus on the first 30 minutes after the announcement of a mass casualty incident. Taking a practical, hands-on approach, the training focuses on stabilizing injured patients and carrying out triage, as well as working as a team, acquiring new skills and changing ways of working. In addition, specific MCM trainings are provided to emergency staff working in hospitals.",https://reliefweb.int/report/ukraine/preparing-worst-training-health-workers-deal-casualty-surges-war-ukraine
"Ukraine Logistics Cluster Situation Update, 19April 2022",Situation Report,Logistics Cluster,"Coordination
Logistics and Telecommunications",19 Apr 2022,"1. Logistics operations, OVERVIEW, As of 18 April, the Logistics Cluster has handled nearly 7,000 m3 of humanitarian cargo on behalf of 13 partner organisations., Logistics constraints are challenging the timely delivery of humanitarian assistance in some of the country’s hardest hit areas. These include limited capacity of both trucks and drivers, particularly in relation to the transportation of aid into eastern Ukraine. Organisations are encouraged to utilise common services facilitated through the Logistics Cluster to reduce competition over logistics assets and overcome bottlenecks in the movement of humanitarian cargo., Further information on storage and transport common services can be found in the cluster’s most recent Concept of Operations (ConOps).",https://reliefweb.int/report/ukraine/ukraine-emergency-situation-report-7-19-april-2022
"Ukraine Logistics Cluster Situation Update, 19April 2022",Situation Report,WFP,"Coordination
Logistics and Telecommunications",19 Apr 2022,"1. Logistics operations, OVERVIEW, As of 18 April, the Logistics Cluster has handled nearly 7,000 m3 of humanitarian cargo on behalf of 13 partner organisations., Logistics constraints are challenging the timely delivery of humanitarian assistance in some of the country’s hardest hit areas. These include limited capacity of both trucks and drivers, particularly in relation to the transportation of aid into eastern Ukraine. Organisations are encouraged to utilise common services facilitated through the Logistics Cluster to reduce competition over logistics assets and overcome bottlenecks in the movement of humanitarian cargo., Further information on storage and transport common services can be found in the cluster’s most recent Concept of Operations (ConOps).",https://reliefweb.int/report/ukraine/ukraine-emergency-situation-report-7-19-april-2022
Joint NGO statement on cash coordination in the Ukraine crisis response,News and Press Release,ACTED,Coordination,19 Apr 2022,"We, the undersigning INGOs welcome and support the outcomes and recommendations of the Grand Bargain Cash Coordination Caucus endorsing a model for the accountable, predictable, effective, and efficient coordination of cash assistance. We are hopeful that this decision will help solve the longstanding operational issues which the caucus sought to address, and which were clearly set out in the June 2021 Call for Action as hampering “the scale, quality and timeliness of humanitarian response leading to a direct impact on the people we aim to serve.” We are eager to see the decision applied in various operational settings to the benefit of improved cash programming and broader humanitarian responses., The military offensive in Ukraine since 24 February 2022 has caused large-scale displacement and given rise to a plethora of humanitarian needs. The March 2022 Ukraine Flash Appeal places Multi-Purpose Cash at the center of the response with a financial requirement estimated at 288,600,000USD – or 25% of the total appeal. In that context, the decision of the Grand Bargain Cash Coordination Caucus appears not only very well-timed but can effectively support the delivery of a more timely and efficient response to the benefit of the people in need in the unfolding crisis., The current cash coordination mechanism in Ukraine has been in place since 2014 and has been reinforced in view of the current crisis to ensure a predictable, accountable, and transparent coordination of cash assistance. In neighboring countries and at regional level, cash coordination structures have recently been set up under the co-leadership of UNHCR and national governments. We are pleased to see the coordination mechanisms evolving quickly to respond to the needs identified. While we welcome these positive trends, cash coordination in the Ukraine crisis response would benefit from a formalized and predictable setup, like the one described in the caucus model, to prevent any future uncertainty among all stakeholders that may undermine the transparency, efficiency and inclusiveness of the cash response., In view of this background, the undersigning NGOs:, We welcome the Grand Bargain agreement and we are eager to see the recommendations emerging from the model proposed applied to the Ukraine response., Signed by
Action Against Hunger [Collaborative Cash Delivery Network (CCD) member]
ACTED [CCD member]
CARE [CCD member]
Concern Worldwide [CCD member]
Catholic Relief Services [CCD member]
DanChurchAid [CCD member]
Danish Refugee Council [CCD member]
International Rescue Committee [CCD member]
Mercy Corps [CCD member]
Norwegian Refugee Council [CCD member]
Oxfam [CCD member]
Plan International
Relief International [CCD member]
Save the Children [CCD member]
Trocaire
World Vision International [CCD member]",https://reliefweb.int/report/ukraine/joint-ngo-statement-cash-coordination-ukraine-crisis-response
Joint NGO statement on cash coordination in the Ukraine crisis response,News and Press Release,Action Against Hunger,Coordination,19 Apr 2022,"We, the undersigning INGOs welcome and support the outcomes and recommendations of the Grand Bargain Cash Coordination Caucus endorsing a model for the accountable, predictable, effective, and efficient coordination of cash assistance. We are hopeful that this decision will help solve the longstanding operational issues which the caucus sought to address, and which were clearly set out in the June 2021 Call for Action as hampering “the scale, quality and timeliness of humanitarian response leading to a direct impact on the people we aim to serve.” We are eager to see the decision applied in various operational settings to the benefit of improved cash programming and broader humanitarian responses., The military offensive in Ukraine since 24 February 2022 has caused large-scale displacement and given rise to a plethora of humanitarian needs. The March 2022 Ukraine Flash Appeal places Multi-Purpose Cash at the center of the response with a financial requirement estimated at 288,600,000USD – or 25% of the total appeal. In that context, the decision of the Grand Bargain Cash Coordination Caucus appears not only very well-timed but can effectively support the delivery of a more timely and efficient response to the benefit of the people in need in the unfolding crisis., The current cash coordination mechanism in Ukraine has been in place since 2014 and has been reinforced in view of the current crisis to ensure a predictable, accountable, and transparent coordination of cash assistance. In neighboring countries and at regional level, cash coordination structures have recently been set up under the co-leadership of UNHCR and national governments. We are pleased to see the coordination mechanisms evolving quickly to respond to the needs identified. While we welcome these positive trends, cash coordination in the Ukraine crisis response would benefit from a formalized and predictable setup, like the one described in the caucus model, to prevent any future uncertainty among all stakeholders that may undermine the transparency, efficiency and inclusiveness of the cash response., In view of this background, the undersigning NGOs:, We welcome the Grand Bargain agreement and we are eager to see the recommendations emerging from the model proposed applied to the Ukraine response., Signed by
Action Against Hunger [Collaborative Cash Delivery Network (CCD) member]
ACTED [CCD member]
CARE [CCD member]
Concern Worldwide [CCD member]
Catholic Relief Services [CCD member]
DanChurchAid [CCD member]
Danish Refugee Council [CCD member]
International Rescue Committee [CCD member]
Mercy Corps [CCD member]
Norwegian Refugee Council [CCD member]
Oxfam [CCD member]
Plan International
Relief International [CCD member]
Save the Children [CCD member]
Trocaire
World Vision International [CCD member]",https://reliefweb.int/report/ukraine/joint-ngo-statement-cash-coordination-ukraine-crisis-response
