title,type,source,theme,date,body,link
IAEA Head Travels to Ukraine to Start Delivery of Nuclear Safety and Security Assistance,News and Press Release,IAEA,Disaster Management,29 Mar 2022,"The Director General of the International Atomic Energy Agency, Rafael Mariano Grossi, is in Ukraine for talks with senior government officials on the IAEA’s planned delivery of urgent technical assistance to ensure the safety and security of the country’s nuclear facilities and help avert the risk of an accident that could endanger people and the environment., The aim of the Director General’s visit is to initiate prompt safety and security support to Ukraine’s nuclear facilities. It will include sending IAEA experts to prioritized facilities and the shipment of vital safety and security supplies including monitoring and emergency equipment., “The military conflict is putting Ukraine’s nuclear power plants and other facilities with radioactive material in unprecedented danger. We must take urgent action to make sure that they can continue to operate safely and securely and reduce the risk of a nuclear accident that could have a severe health and environmental impact both in Ukraine and beyond,” Director General Grossi said., During this week’s visit, the Director General will travel to one of Ukraine’s nuclear power plants., The IAEA has drawn up concrete and detailed plans for safety and security assistance to Ukraine’s nuclear sites, which include fifteen nuclear power reactors at four plants as well as the Chornobyl NPP, where radioactive waste management facilities are located following the 1986 accident. The IAEA’s technical assistance will also facilitate conditions for the IAEA to continue carrying out its safeguards activities in Ukraine in line with its non-proliferation mandate., “Ukraine has requested our assistance for safety and security. We will now start delivering it. Ukraine has one of Europe’s largest nuclear power programmes. The IAEA’s presence, where needed to ensure safety and security, is of paramount importance. We are ready to provide the necessary support now,” he said., Since the start of the conflict, Director General Grossi has expressed his grave concern about the deteriorating safety and security situation for Ukraine’s nuclear facilities. He has stressed the IAEA’s commitment and readiness to help ensure that the seven indispensable pillars for ensuring safety and security are adhered to. In recent weeks, several of them – including the physical integrity of facilities, the ability of operational staff to work without undue pressure, and the access to off-site power – have been seriously compromised., “There have already been several close calls. We can’t afford to lose any more time. This conflict is already causing unimaginable human suffering and destruction. The IAEA’s expertise and capabilities are needed to prevent it from also leading to a nuclear accident,” he said., The Director General is expected to hold a press conference upon his return to Vienna later this week.",https://reliefweb.int/report/ukraine/iaea-head-travels-ukraine-start-delivery-nuclear-safety-and-security-assistance
Stand Up For Ukraine: Private sector can now donate in-kind support via new system,News and Press Release,ECHO,"Contributions
Health",29 Mar 2022,"As part of the 'Stand Up For Ukraine' campaign, the European Commission has created a new system to channel in-kind donations from the private sector to Ukraine, Moldova and neighbouring EU Member States, to help cater for the needs of internally displaced and refugees., The EU will coordinate the delivery of large-scale in-kind donations of vital items such as medicines, vaccines, medical equipment, tents, beds and emergency blankets., The deliveries will be carried out in cooperation with the Belgian civil protection authorities and via the rescEU strategic reserve of the EU Civil Protection Mechanism., These donations can help address the risk of epidemic and protect the most vulnerable, in particular children. The EU Health Emergency Preparedness and Response Authority (HERA) will support the EU Civil Protection Mechanism by securing childhood vaccines and other essential medical supplies through support from the pharma industry and ministries of health., The Foundation at Sanofi is contributing to this effort with a donation of 200,000 diphtheria and tetanus vaccines for Ukraine. Another 70,000 have been offered to Czechia, Slovakia and Moldova via the EU Civil Protection Mechanism., Companies can also choose to donate other items to improve the living conditions of internally displaced and refugees, such as laptops for example., How does it work?, The Commission is in direct contact with Ukrainian and neighbouring civil protection authorities and receives continuous updates of urgently needed items on the ground., Private entities that wish to donate are invited to contact the European Union via email: ECHO-private-donations@ec.europa.eu, President of the European Commission Ursula von der Leyen said: ""The brave people of Ukraine need our help and they need it now. We are launching this new donation system as part of our global effort to support the 13 million people who were forced to leave their homes to flee Putin's bombs. 'Stand Up For Ukraine' aims to raise funding for refugee relief but also to bring them the items they so desperately need in these difficult times -- vaccines for children, medication, tents, for example. The international community is standing by Ukraine."", Commissioner for Crisis Management, Janez Lenarčič, said:* ""The war in Ukraine has created immense needs on the ground and the European Union is using its full civil protection potential to provide assistance to Ukrainians. We are opening additional channels for the private sector to donate aid to Ukraine via the European Union. The coordination and safe transportation will be ensured by the EU Civil Protection Mechanism and in close cooperation with the Belgian civil protection authorities.""*, Commissioner for Health and Food Safety, Stella Kyriakides, added:* ""The healthcare response is a crucial part of our support to Ukraine and the bordering countries. I am pleased to announce that through our work with the Health Emergency preparedness and Response Authority, HERA, we have secured the availability of crucial vaccinations to protect those who are fleeing the brutal Russian invasion, in particular the most vulnerable and children.""*, Background, 'Stand Up For Ukraine' is a global campaign launched by President von der Leyen and Prime Minister of Canada Justin Trudeau, in partnership with international advocacy organisation Global Citizen, to help cater for the needs of internally displaced people and of refugees., The campaignseeks to mobilise governments, institutions, artists, companies and individuals to direct funding to support humanitarian efforts in Ukraine and in neighbouring countries., Everyone can take action and donate on the 'Stand Up For Ukraine' campaign page. The campaign will culminate in a pledging event on 9 April, co-hosted by President von der Leyen and Prime Minister Trudeau., Disclaimer: Please refrain from sending commercial offers for sale to the indicated email address., For more information, Factsheet: EU Civil Protection Mechanism, Factsheet: rescEU, Factsheet: Emergency Response Coordination Centre",https://reliefweb.int/report/ukraine/stand-ukraine-private-sector-can-now-donate-kind-support-new-system
Ukraine Health Cluster partners delivering essential health services to the most vulnerable,News and Press Release,Health Cluster,"Coordination
Health",29 Mar 2022,"29 March 2022 -- After one month from the start of the conflict, the overall situation continues to deteriorate across Ukraine. To date, over 18 million people have been affected. According to the latest government data compiled by UNHCR, over three million refugees have now left Ukraine for surrounding countries, with over 60% of them in Poland., The Health Cluster continues to scale up operations to address the health needs of 6 million most vulnerable people targeted for health assistance, by coordinating the work of 86 international and national partners, of which 58 are currently operational on the ground and 24 are planning to be operational., After a first assessment, partners are supporting mobile medical services, including primary health care, emergency care and mental health and psychosocial support to serve the health needs of internally displaced people and host communities. International partners are working hand in hand with and building the capacity of national partners. In terms of humanitarian supplies and pipeline, partners are increasingly procuring and delivering medical supplies and equipments, emergency and trauma kits and interagency emergency reproductive health kits to support trauma, surgery, and primary health care services., The Health Cluster has promptly established working groups to drive partner coordination related to trauma and rehabilitation, sexual and reproductive health, communicable and noncommunicable diseases. The trauma and rehabilitation working group is managed in synergy with the two Emergency Medical Teams coordination cells established to manage operations in Ukraine and in neighboring countries., The Health Cluster response is part of the Humanitarian Flash Appeal and the Regional Refugee Response Plan for Ukraine that was launched by Secretary-General António Guterres on 1 March 2022.",https://reliefweb.int/report/ukraine/ukraine-health-cluster-partners-delivering-essential-health-services-most-vulnerable
Ukraine Health Cluster partners delivering essential health services to the most vulnerable,News and Press Release,WHO,"Coordination
Health",29 Mar 2022,"29 March 2022 -- After one month from the start of the conflict, the overall situation continues to deteriorate across Ukraine. To date, over 18 million people have been affected. According to the latest government data compiled by UNHCR, over three million refugees have now left Ukraine for surrounding countries, with over 60% of them in Poland., The Health Cluster continues to scale up operations to address the health needs of 6 million most vulnerable people targeted for health assistance, by coordinating the work of 86 international and national partners, of which 58 are currently operational on the ground and 24 are planning to be operational., After a first assessment, partners are supporting mobile medical services, including primary health care, emergency care and mental health and psychosocial support to serve the health needs of internally displaced people and host communities. International partners are working hand in hand with and building the capacity of national partners. In terms of humanitarian supplies and pipeline, partners are increasingly procuring and delivering medical supplies and equipments, emergency and trauma kits and interagency emergency reproductive health kits to support trauma, surgery, and primary health care services., The Health Cluster has promptly established working groups to drive partner coordination related to trauma and rehabilitation, sexual and reproductive health, communicable and noncommunicable diseases. The trauma and rehabilitation working group is managed in synergy with the two Emergency Medical Teams coordination cells established to manage operations in Ukraine and in neighboring countries., The Health Cluster response is part of the Humanitarian Flash Appeal and the Regional Refugee Response Plan for Ukraine that was launched by Secretary-General António Guterres on 1 March 2022.",https://reliefweb.int/report/ukraine/ukraine-health-cluster-partners-delivering-essential-health-services-most-vulnerable
"Regional Protection Working Group (RPWG), Terms of Reference (March 2022)",Manual and Guideline,Protection Cluster,"Coordination
Protection and Human Rights",29 Mar 2022,"BACKGROUND, In March 2022, UNHCR and partners launched the Regional Refugee Response Plan (RRP) to promote and implement a comprehensive response to support efforts by neighbouring countries to protect and assist refugees coming from Ukraine. UNHCR leads and coordinates the implementation of the RRP in line with the Refugee Coordination Model (RCM) and in close collaboration and consultation with relevant government counterparts, and with the support of inter-agency partners and other stakeholders. Within the framework of the RRP and building on existing country-level humanitarian coordination structures, an inter-agency Regional Refugee Coordination Forum (RCF) chaired by UNHCR with participation from RRF members and other relevant actors has been established in Geneva to ensure efficient situational information management and support to country level coordination as required. In light of the scale of the crisis, the high number of women and children affected, and the wide range of protection risks at stake, an agreement was reached among RCF members on the need to establish a Regional Protection Working Group under the umbrella of the Regional Refugee Coordination Forum.",https://reliefweb.int/report/ukraine/regional-protection-working-group-rpwg-terms-reference-march-2022
"Regional Protection Working Group (RPWG), Terms of Reference (March 2022)",Manual and Guideline,UNHCR,"Coordination
Protection and Human Rights",29 Mar 2022,"BACKGROUND, In March 2022, UNHCR and partners launched the Regional Refugee Response Plan (RRP) to promote and implement a comprehensive response to support efforts by neighbouring countries to protect and assist refugees coming from Ukraine. UNHCR leads and coordinates the implementation of the RRP in line with the Refugee Coordination Model (RCM) and in close collaboration and consultation with relevant government counterparts, and with the support of inter-agency partners and other stakeholders. Within the framework of the RRP and building on existing country-level humanitarian coordination structures, an inter-agency Regional Refugee Coordination Forum (RCF) chaired by UNHCR with participation from RRF members and other relevant actors has been established in Geneva to ensure efficient situational information management and support to country level coordination as required. In light of the scale of the crisis, the high number of women and children affected, and the wide range of protection risks at stake, an agreement was reached among RCF members on the need to establish a Regional Protection Working Group under the umbrella of the Regional Refugee Coordination Forum.",https://reliefweb.int/report/ukraine/regional-protection-working-group-rpwg-terms-reference-march-2022
"Ukraine: As humanitarian crisis deepens, parties urgently need to agree on concrete measures; misinformation risks lives [EN/RU]",News and Press Release,ICRC,"Peacekeeping and Peacebuilding
Protection and Human Rights",29 Mar 2022,"Geneva (ICRC) – As the international armed conflict in Ukraine enters its fifth week, the level of death, destruction and suffering that continues to be inflicted on civilians is abhorrent and unacceptable., Over the last five weeks, the ICRC has been speaking with Russian and Ukrainian authorities about their obligations under international humanitarian law (IHL) and what practical steps must be taken to limit the suffering of civilians and those who no longer participate in hostilities, including the wounded, sick, and prisoners of war (POWs). To the ICRC's great concern, the parties are yet to meet many of their core obligations under IHL or reach consensus on key issues that only they can concretely deliver on, specifically:, We have made detailed proposals regarding safe passage and evacuations for civilians to ease the massive suffering taking place in Mariupol, but we still lack the concrete agreements needed to move forward. Today, civilians are taking the life-and-death decision to flee when there is no ceasefire or other agreements in place that would allow them to leave safely., Time is running out for civilians in Mariupol and in other frontline areas who have now gone for weeks with no humanitarian assistance. The militaries on the ground need to give civilians and humanitarian organisations security guarantees and practical agreements to allow aid in and for those who wish to evacuate safely., In addition, the parties to the conflict must inform the ICRC of the POWs—and other people deprived of their liberty—whom they hold and allow the ICRC to visit them. We expect the parties to fulfil their obligations under the Geneva Conventions without further delay., The parties need to follow through on concrete proposals for the dignified treatment of the dead so they can be identified, families informed, and bodies returned., The belligerents are obligated under international humanitarian law to protect civilians, to limit military operations to exclusively military objectives and to take precautionary measures., In an effort to advance conversations on these issues, reduce the suffering and increase assistance to civilians in need, the ICRC's president travelled first to Kyiv and then Moscow to meet with authorities. His meetings with authorities in Moscow triggered deep anger for some. We want to be clear that these diplomatic meetings with all sides are anchored in international humanitarian law and passionate advocacy for the best interest of civilians trapped in conflict., At the same time, deliberate, targeted attacks using false narratives and disinformation to discredit the ICRC have the potential to cause real harm for ICRC teams, our Red Cross Red Crescent Movement partners working on the ground and the people we serve. As needs increase by the hour, our ability to deliver much-needed humanitarian assistance is today being jeopardised by a surge of misinformation and disinformation about our work and the role that we play to alleviate suffering in armed conflict., One claim that has no basis in truth is a false allegation about ICRC's role in forced evacuations. The ICRC has not been involved with any forced evacuation or forced transfer of civilians into Russia from Mariupol or any other Ukrainian city. To be absolutely clear, we would never support any operation that would go against people's will., There is another false allegation that has no basis in truth about our work in Russia. To be clear: the ICRC does not want to open an office in southern Russia to ""filter"" Ukrainians, as many reports are alleging. We are not opening a refugee camp or any other type of camp., These are the facts: the ICRC is discussing opening an office in Rostov in southern Russia, where we currently have no office. This is part of a huge regional scale-up to deal with a massive humanitarian crisis and meet the needs of people wherever they are. We already have teams in Belarus, Hungary, Moldova, Poland, and Romania., Lastly, neutral and impartial humanitarian action must be respected, both ours and others'. This is bigger than the ICRC. Neutrality and impartiality are not abstract concepts or lofty principles that have no relation to people's real-life experiences. It is a means to an end, a way of working that allows us to reach, help and in many cases save the lives of civilians, no matter what side of the frontline they are on. Our presence is to assist and protect and should never be interpreted as legitimizing sovereignty or territorial claims, which are the exclusive right and obligation of the political actors., This is the sort of lifesaving and life-changing humanitarian work that we and others must be allowed to do in Ukraine and surrounding countries in response to the massive and growing humanitarian needs caused by this international armed conflict., The ICRC has been working in Ukraine since 2014, supporting people affected by conflict. Since the recent escalation of the crisis, we have brought over 500 tons of medical supplies, food and relief items into the country to respond to skyrocketing humanitarian needs. We will continue to scale up our work and now have teams in 10 locations across the country., A world without neutral and impartial humanitarian action is a bleaker, more dangerous place for victims of conflict, and for us all., We call on the parties to safeguard this action, to urgently meet their obligations under IHL to protect civilians caught in conflict, and to facilitate neutral, independent and impartial humanitarian action., For more information, please contact:, Crystal Wells (English), ICRC Geneva
cwells@icrc.org, + 41 79 642 80 56
Ewan Watson (French, English), ICRC Geneva
ewatson@icrc.org, +41 22 730 34 43
Jason Straziuso (French, English), ICRC Geneva
jstraziuso@icrc.org, +41 79 949 3512
Chris Hanger (French, English, German), ICRC Geneva
changer@icrc.org, +41 79 731 0403
Matthew Morris (English), ICRC London
mmorris@icrc.org, +44 7753 809471
Frédéric Joli (French), ICRC Paris
fjoli@icrc.org, +33 6 20 49 46 30
Elizabeth Shaw (English), ICRC Washington DC
eshaw@icrc.org, +1 202 361 1566
Diana Santana (English), ICRC New York
dsantana@icrc.org, +1 917 455 9035",https://reliefweb.int/report/ukraine/ukraine-humanitarian-crisis-deepens-parties-urgently-need-agree-concrete-measures
Football unites in global appeal for the United Nations response to Ukraine,News and Press Release,UNHCR,"Contributions
Food and Nutrition
Protection and Human Rights
Shelter and Non-Food Items",29 Mar 2022,"As the number of refugees fleeing Ukraine approaches four million, UNHCR, the UN Refugee Agency and World Food Programme (WFP) launch the Football for Ukraine Emergency Appeal’., Geneva, London, Rome – Six leading footballers, three of whom are former refugees, are fronting a joint appeal with UNHCR, the UN Refugee Agency and the World Food Programme (WFP), to raise funds to help refugees who have fled their homes and displaced people inside Ukraine., The global appeal #football4ukraine comes at a time when almost a quarter of Ukraine’s population - more than 10 million people have been forced from their homes. Some 3.9 million refugees have been forced to flee the country, making this the fastest-growing refugee crisis since the Second World War. An additional 6.5 million people have been displaced within Ukraine’s borders, and at least 13 million are estimated to be stranded in affected areas or unable to leave due to heightened security risks, destruction of bridges and roads, as well as lack of resources or information on where to find safety and accommodation., The appeal includes players from across the Premier League, Bundesliga and Division 1 Féminine accompanied with music by WFP’s Goodwill Ambassador, the Weeknd. The three players with a refugee background are UNHCR Goodwill Ambassador and FC Bayern Munich sensation, Alphonso Davies, Mahmoud Dahoud (Borussia Dortmund) – the first Syrian refugee to play in the Bundesliga – and Everton FC goalkeeper, Asmir Begovic who was forced to flee his home in Bosnia and Herzegovina. They are joined by Manchester City right-back and FIFA Women’s Player of 2020, Lucy Bronze, Olympique Lyonnais’ Ada Hegerberg, the first woman recipient of the Ballon d’Or and Manchester United’s Juan Mata, a World Cup winner with Spain., The players, are calling on fans - wherever they are and whatever club they support - to stand together as one team and support people driven from their homes by the war in Ukraine by donating to the appeal at https://football4ukraine.org/donate/, Alphonso Davies said: “It’s very sad to see the millions of people displaced from around the world due to war. The need for support is growing by the day. This is why this appeal is important, to get urgent aid where it is needed, for everyone.”, “I’m heartbroken by this situation. Millions of people including many children have been forced to flee their homes in Ukraine with no idea of what the future holds or when they will be able to return home. It’s even more shocking to think that this is on top of the more than 84 million people already displaced around the world. I hope our appeal for people displaced in Ukraine will deliver the support they need,” said Lucy Bronze., The joint appeal brings together UNHCR’s expertise in protecting families forced to flee and WFP’s experience in saving lives in conflict zones. To ensure donations have the greatest impact for people affected by the emergency in Ukraine, they will be allocated to the two organizations to provide food, shelter, psychosocial support, financial assistance and other life-saving aid. , UNHCR and WFP are on the ground inside and outside Ukraine working day-and-night to help those who need it most. In Ukraine, UNHCR is working to provide emergency, shelter and cash assistance and critical protection services for those who have fled their homes. UNHCR is also helping coordinate the refugee response across the region, providing critical humanitarian and protection assistance, and supporting authorities to increase capacities to receive and host new arrivals., WFP is building a massive operation to provide food for civilians trapped in major cities and assist others impacted by the conflict who have fled to neighboring countries. WFP teams are also setting up operations and hubs in several locations in the neighboring countries to facilitate delivery of humanitarian assistance into Ukraine., “We are inspired by the response we’ve seen from football fans all over the world, who are showing their support for people affected by the conflict in Ukraine. Our message to everyone, is to remember that no-one chooses to become a refugee. Refugees - from Ukraine and beyond – are placed in the most heart-breaking of circumstances, forced to flee for their lives. Each of us can do our bit and unite behind the campaign, to extend our support,” said UN High Commissioner for Refugees, Filippo Grandi., “There cannot be a harvest where it’s raining bombs,” said WFP Executive Director David Beasley. “Millions of people in Ukraine are living their worst nightmare and, unless the war stops now, the breadbasket of Europe will be unable to feed itself. With each day of fighting, hunger is tightening its grip not only in Ukraine but also in countries far away from its borders, who rely on Ukrainian wheat and grain to keep their poorest citizens alive. This war is a catastrophe for the world.”, In a year of unprecedented humanitarian needs, the crisis in Ukraine is a catastrophe compounding what is already a catastrophic year for the poorest and most vulnerable around the world. While UNHCR and WFP scale up to respond to the growing needs of the Ukraine crisis, they continue to deliver in other critical situations such as in Afghanistan, Syria, South Sudan, Yemen, and other humanitarian crises around the world, often far away from the spotlight. , Notes for editors:, For more information contact, UNHCR:, WFP:, About UNHCR:  UNHCR, the UN Refugee Agency, protects people forced to flee their homes because of conflict and persecution. We work in over 130 countries, protecting millions of people by responding with life-saving support, safeguarding fundamental human rights, and helping them build a better future., About WFP: The United Nations World Food Programme is the world’s largest humanitarian organization, saving lives in emergencies and using food assistance to build a pathway to peace, stability and prosperity for people recovering from conflict, disasters, and the impact of climate change.",https://reliefweb.int/report/ukraine/football-unites-global-appeal-united-nations-response-ukraine
Football unites in global appeal for the United Nations response to Ukraine,News and Press Release,WFP,"Contributions
Food and Nutrition
Protection and Human Rights
Shelter and Non-Food Items",29 Mar 2022,"As the number of refugees fleeing Ukraine approaches four million, UNHCR, the UN Refugee Agency and World Food Programme (WFP) launch the Football for Ukraine Emergency Appeal’., Geneva, London, Rome – Six leading footballers, three of whom are former refugees, are fronting a joint appeal with UNHCR, the UN Refugee Agency and the World Food Programme (WFP), to raise funds to help refugees who have fled their homes and displaced people inside Ukraine., The global appeal #football4ukraine comes at a time when almost a quarter of Ukraine’s population - more than 10 million people have been forced from their homes. Some 3.9 million refugees have been forced to flee the country, making this the fastest-growing refugee crisis since the Second World War. An additional 6.5 million people have been displaced within Ukraine’s borders, and at least 13 million are estimated to be stranded in affected areas or unable to leave due to heightened security risks, destruction of bridges and roads, as well as lack of resources or information on where to find safety and accommodation., The appeal includes players from across the Premier League, Bundesliga and Division 1 Féminine accompanied with music by WFP’s Goodwill Ambassador, the Weeknd. The three players with a refugee background are UNHCR Goodwill Ambassador and FC Bayern Munich sensation, Alphonso Davies, Mahmoud Dahoud (Borussia Dortmund) – the first Syrian refugee to play in the Bundesliga – and Everton FC goalkeeper, Asmir Begovic who was forced to flee his home in Bosnia and Herzegovina. They are joined by Manchester City right-back and FIFA Women’s Player of 2020, Lucy Bronze, Olympique Lyonnais’ Ada Hegerberg, the first woman recipient of the Ballon d’Or and Manchester United’s Juan Mata, a World Cup winner with Spain., The players, are calling on fans - wherever they are and whatever club they support - to stand together as one team and support people driven from their homes by the war in Ukraine by donating to the appeal at https://football4ukraine.org/donate/, Alphonso Davies said: “It’s very sad to see the millions of people displaced from around the world due to war. The need for support is growing by the day. This is why this appeal is important, to get urgent aid where it is needed, for everyone.”, “I’m heartbroken by this situation. Millions of people including many children have been forced to flee their homes in Ukraine with no idea of what the future holds or when they will be able to return home. It’s even more shocking to think that this is on top of the more than 84 million people already displaced around the world. I hope our appeal for people displaced in Ukraine will deliver the support they need,” said Lucy Bronze., The joint appeal brings together UNHCR’s expertise in protecting families forced to flee and WFP’s experience in saving lives in conflict zones. To ensure donations have the greatest impact for people affected by the emergency in Ukraine, they will be allocated to the two organizations to provide food, shelter, psychosocial support, financial assistance and other life-saving aid. , UNHCR and WFP are on the ground inside and outside Ukraine working day-and-night to help those who need it most. In Ukraine, UNHCR is working to provide emergency, shelter and cash assistance and critical protection services for those who have fled their homes. UNHCR is also helping coordinate the refugee response across the region, providing critical humanitarian and protection assistance, and supporting authorities to increase capacities to receive and host new arrivals., WFP is building a massive operation to provide food for civilians trapped in major cities and assist others impacted by the conflict who have fled to neighboring countries. WFP teams are also setting up operations and hubs in several locations in the neighboring countries to facilitate delivery of humanitarian assistance into Ukraine., “We are inspired by the response we’ve seen from football fans all over the world, who are showing their support for people affected by the conflict in Ukraine. Our message to everyone, is to remember that no-one chooses to become a refugee. Refugees - from Ukraine and beyond – are placed in the most heart-breaking of circumstances, forced to flee for their lives. Each of us can do our bit and unite behind the campaign, to extend our support,” said UN High Commissioner for Refugees, Filippo Grandi., “There cannot be a harvest where it’s raining bombs,” said WFP Executive Director David Beasley. “Millions of people in Ukraine are living their worst nightmare and, unless the war stops now, the breadbasket of Europe will be unable to feed itself. With each day of fighting, hunger is tightening its grip not only in Ukraine but also in countries far away from its borders, who rely on Ukrainian wheat and grain to keep their poorest citizens alive. This war is a catastrophe for the world.”, In a year of unprecedented humanitarian needs, the crisis in Ukraine is a catastrophe compounding what is already a catastrophic year for the poorest and most vulnerable around the world. While UNHCR and WFP scale up to respond to the growing needs of the Ukraine crisis, they continue to deliver in other critical situations such as in Afghanistan, Syria, South Sudan, Yemen, and other humanitarian crises around the world, often far away from the spotlight. , Notes for editors:, For more information contact, UNHCR:, WFP:, About UNHCR:  UNHCR, the UN Refugee Agency, protects people forced to flee their homes because of conflict and persecution. We work in over 130 countries, protecting millions of people by responding with life-saving support, safeguarding fundamental human rights, and helping them build a better future., About WFP: The United Nations World Food Programme is the world’s largest humanitarian organization, saving lives in emergencies and using food assistance to build a pathway to peace, stability and prosperity for people recovering from conflict, disasters, and the impact of climate change.",https://reliefweb.int/report/ukraine/football-unites-global-appeal-united-nations-response-ukraine
"IOM Regional Ukraine Response - Situation Report #10, 25 March 2022",Situation Report,IOM,"Contributions
Food and Nutrition
Health
Logistics and Telecommunications
Protection and Human Rights
Shelter and Non-Food Items
Water Sanitation Hygiene",29 Mar 2022,"SITUATION OVERVIEW, Since the launch of the Russian Federation’s war on Ukraine on 24 February, major attacks have been reported across Ukraine, including in the capital, Kyiv, resulting in widescale destruction of infrastructure, loss of life, and displacement., The situation in the country continues to deteriorate, with ongoing shelling in Luhansk, Donetsk, Kyiv, Kharkiv, Chernihiv, Sumy, Kherson, and Zhytomyr regions. Between 24 February and 22 March, the OHCHR recorded 2,571 civilian casualties, including 977 people killed, however, these figures are likely to be considerably higher (source: OCHA). According to the State Emergency Service of Ukraine (SESU), more than 650 residential buildings have been destroyed across Ukraine thus far, while 64 attacks have taken place on healthcare facilities (source: WHO) and 548 educational facilities have received damaged., On 22 March, two out of five humanitarian corridors were operating, which enabled the relocation of 7,026 persons, while on 23 March, Ukraine’s Vice-Prime Minister, Iryna Vereshchuk, announced that nine humanitarian corridors had been agreed upon and would be opening., The situation in eastern and northern Ukraine is particularly concerning. In Mariupol (Donetsk oblast), local authorities estimate that around 80 per cent of the city’s infrastructure has been destroyed. Critical health services have been brought to a halt due to the destruction of healthcare infrastructure and injury to health workers, and access to food and drinking water remains critical., The increasing intensity of the war has contributed to growing internal displacement and cross-border movement. As of 22 March, over 3.62 million people have left Ukraine and crossed into neighbouring countries. IOM further estimates that around 6.48 million people have already been internally displaced, many of whom currently have limited access to food, drinking water, social services, and power.",https://reliefweb.int/report/ukraine/iom-regional-ukraine-response-situation-report-10-25-march-2022
