title,type,source,theme,date,body,link
IOM Scales Up Response to Ukraine Crisis and Appeals for Inclusive Protection Measures,News and Press Release,IOM,"Health
Protection and Human Rights
Shelter and Non-Food Items
Water Sanitation Hygiene",1 Mar 2022,"Geneva – The International Organization for Migration (IOM) is mobilizing teams and boosting capacity in Ukraine and neighbouring countries to respond to the growing humanitarian needs of Ukrainians forced to flee the country, those internally displaced, and stranded third country nationals., According to initial figures from IOM teams in neighboring countries, at least 600,000 people fled Ukraine in the first five days following the start of military operations and the escalation in hostilities., The Organization’s number one priority is the safety and protection of all those fleeing the country - including third country nationals – and their ability to access assistance. It will also be crucial to screen for and assess potential short-term and longer-term vulnerabilities, including for human trafficking, child protection, health and mental health, and the arrival of more vulnerable people with special needs, including elderly, wounded or sick people., Based on IOM estimates, there are over 470,000 third country nationals – many stranded – from various nationalities within Ukraine including a large number of overseas students and labour migrants., At least 6,000 have arrived in Moldova and Slovakia alone., Several States have already requested IOM’s assistance to help with the return of their nationals to Africa, the Middle East and Asia. More than 50 Tunisian nationals who crossed into Moldova are being assisted by IOM to relocate to Romania before they return home through a charter flight, in coordination with relevant authorities., IOM welcomes the decision by several countries to take steps to support Ukrainian diaspora through visa extensions and appeals to States to grant protection and access to territory to all those who seek to leave the country, without discrimination., IOM also welcomes the European Union (EU) discussions on granting Temporary Protection under the 2001 Directive to provide adequate protection and assistance to all those in need., The Organization has a large operational footprint and capacity across Ukraine and neighboring countries and is expanding its assistance to support governments in light of the increasing number of people fleeing the country and rising humanitarian needs., In Luhansk, Ukraine, IOM provided much-needed core relief items on Sunday to civil society, and local government institutions to ensure continuity in aid delivery., IOM in Poland is at the border to monitor and assess reception conditions and the most urgent needs of those arriving from Ukraine, specifically non-food items, mental health, protection, Water, Sanitation and Hygiene (WASH) and information provision. IOM is also working with various embassies to support the transportation of their nationals from the border to Warsaw and facilitate their return home and has set up an information and support hotline for persons fleeing Ukraine., IOM is supporting Romania’s national emergency response effort by providing information to arriving Ukrainians and third country nationals through a purpose-built portal, in coordination with the Romanian government and “Code for Romania”. We are also assisting the government’s Emergency Response Unit to match pledges for food, non-food items and services from civil society and the general public with needs identified at border points and in reception shelters., ***, Note:, IOM Hotline Numbers:, Ukraine: 527 (free from mobile phones), 0800505501 (free from landline phones), Poland: +48 22 490 20 44, Romania: the online support platform dopomoha.ro (developed by Code4Romania with support from IOM Romania) is now live: https://romania.iom.int/news/online-platform-dopomoharo-developed-code4romania-support-iom-romania-now-live, Lithuania: +370 525 14352 is run by IOM's Migration Information Centre, also available through live chat on this website https://www.renkuosilietuva.lt/ru/, Slovakia: from abroad 00421 5263 0023, locally 0850 211 478, Telegram/Signal: 00421 908 767 853 (voice only) , https://www.mic.iom.sk/en/, For more information, please contact:, In Geneva: Safa Msehli, smsehli@iom.int, In Vienna: Joe Lowry, jlowry@iom.int, In Brussels: Ryan Schroeder, rschroeder@iom.int",https://reliefweb.int/report/ukraine/iom-scales-response-ukraine-crisis-and-appeals-inclusive-protection-measures
International Red Cross and Red Crescent Movement appeals for 250 million Swiss francs to assist people affected by Ukraine conflict [EN/AR/RU],News and Press Release,ICRC,"Health
Protection and Human Rights
Shelter and Non-Food Items
Water Sanitation Hygiene",1 Mar 2022,"Geneva (ICRC/IFRC) - With the humanitarian situation in Ukraine and neighbouring countries deteriorating rapidly, the International Committee of the Red Cross (ICRC) and International Federation of the Red Cross and Red Crescent Societies (IFRC) fear that millions of people face extreme hardship and suffering without improved access and a rapid increase in humanitarian assistance. To respond to this sudden, massive need, the two organizations together are appealing for 250 million Swiss francs ($272 million)., The ICRC is appealing for 150 million Swiss francs ($163 million) for its 2022 operations in Ukraine and neighbouring countries., ICRC Director General Robert Mardini said: ""The escalating conflict in Ukraine is taking a devastating toll. Casualty figures keep rising while health facilities struggle to cope. We already see long-term disruptions in regular water and electricity supplies. People calling our hotline in Ukraine are desperately in need of food and shelter. To respond to this massive emergency, our teams must be able to operate safely to access those in need."", Water trucking and other emergency water delivery is now needed. Support to health facilities will be increased, with a focus on providing supplies and equipment to care for people wounded by weapons., The IFRC is appealing for 100 million Swiss francs ($109 million) to support National Red Cross Societies to assist an initial two million people in need due to intensified hostilities in Ukraine., Among these groups, a special focus will be on vulnerable people, including unaccompanied minors, single women with children, elderly, and people with disabilities. Investment will be significantly increased in capacity building of Red Cross teams in Ukraine and neighbouring countries to bolster locally led humanitarian action. They have already mobilized thousands of volunteers and staff and are providing life-saving assistance such as shelter, basic aid items, medical supplies, mental health and psychosocial support and multi-purpose cash assistance to as many people as possible., IFRC Secretary General Jagan Chapagain said: ""In the middle of so much suffering, it is heart-warming to see the level of global solidarity. The needs of the people affected by the conflict are increasing by the hour. The situation is very desperate for many. A rapid response is needed to save lives. Our member National Societies are uniquely positioned to respond, and, in some contexts, they are the only actor that can deliver humanitarian assistance at scale, but they need support to make it happen. I call for global solidarity to ramp up the assistance to people suffering because of this conflict."", For more information or to arrange interviews, please contact:, In Geneva: Anna Tuson, +41 79 895 6924, anna.tuson@ifrc.org
In Budapest: Corinne Ambler, +36 704 306 506, corinne.ambler@ifrc.org
In Geneva: Florian Seriex, +41 79 574 06 36, fseriex@icrc.org
In Geneva: Jason Straziuso, +41 79 949 3512, jstraziuso@icrc.org, About IFRC IFRC is the world's largest humanitarian network, comprising 192 National Red Cross and Red Crescent societies working to save lives, build community resilience, strengthen localization and promote dignity around the world., About ICRC The International Committee of the Red Cross is an impartial, neutral and independent organization whose exclusively humanitarian mission is to protect the lives and dignity of victims of armed conflict and other situations of violence and to provide them with assistance.",https://reliefweb.int/report/ukraine/international-red-cross-and-red-crescent-movement-appeals-250-million-swiss-francs
International Red Cross and Red Crescent Movement appeals for 250 million Swiss francs to assist people affected by Ukraine conflict [EN/AR/RU],News and Press Release,IFRC,"Health
Protection and Human Rights
Shelter and Non-Food Items
Water Sanitation Hygiene",1 Mar 2022,"Geneva (ICRC/IFRC) - With the humanitarian situation in Ukraine and neighbouring countries deteriorating rapidly, the International Committee of the Red Cross (ICRC) and International Federation of the Red Cross and Red Crescent Societies (IFRC) fear that millions of people face extreme hardship and suffering without improved access and a rapid increase in humanitarian assistance. To respond to this sudden, massive need, the two organizations together are appealing for 250 million Swiss francs ($272 million)., The ICRC is appealing for 150 million Swiss francs ($163 million) for its 2022 operations in Ukraine and neighbouring countries., ICRC Director General Robert Mardini said: ""The escalating conflict in Ukraine is taking a devastating toll. Casualty figures keep rising while health facilities struggle to cope. We already see long-term disruptions in regular water and electricity supplies. People calling our hotline in Ukraine are desperately in need of food and shelter. To respond to this massive emergency, our teams must be able to operate safely to access those in need."", Water trucking and other emergency water delivery is now needed. Support to health facilities will be increased, with a focus on providing supplies and equipment to care for people wounded by weapons., The IFRC is appealing for 100 million Swiss francs ($109 million) to support National Red Cross Societies to assist an initial two million people in need due to intensified hostilities in Ukraine., Among these groups, a special focus will be on vulnerable people, including unaccompanied minors, single women with children, elderly, and people with disabilities. Investment will be significantly increased in capacity building of Red Cross teams in Ukraine and neighbouring countries to bolster locally led humanitarian action. They have already mobilized thousands of volunteers and staff and are providing life-saving assistance such as shelter, basic aid items, medical supplies, mental health and psychosocial support and multi-purpose cash assistance to as many people as possible., IFRC Secretary General Jagan Chapagain said: ""In the middle of so much suffering, it is heart-warming to see the level of global solidarity. The needs of the people affected by the conflict are increasing by the hour. The situation is very desperate for many. A rapid response is needed to save lives. Our member National Societies are uniquely positioned to respond, and, in some contexts, they are the only actor that can deliver humanitarian assistance at scale, but they need support to make it happen. I call for global solidarity to ramp up the assistance to people suffering because of this conflict."", For more information or to arrange interviews, please contact:, In Geneva: Anna Tuson, +41 79 895 6924, anna.tuson@ifrc.org
In Budapest: Corinne Ambler, +36 704 306 506, corinne.ambler@ifrc.org
In Geneva: Florian Seriex, +41 79 574 06 36, fseriex@icrc.org
In Geneva: Jason Straziuso, +41 79 949 3512, jstraziuso@icrc.org, About IFRC IFRC is the world's largest humanitarian network, comprising 192 National Red Cross and Red Crescent societies working to save lives, build community resilience, strengthen localization and promote dignity around the world., About ICRC The International Committee of the Red Cross is an impartial, neutral and independent organization whose exclusively humanitarian mission is to protect the lives and dignity of victims of armed conflict and other situations of violence and to provide them with assistance.",https://reliefweb.int/report/ukraine/international-red-cross-and-red-crescent-movement-appeals-250-million-swiss-francs
High Commissioner’s Statement to the United Nations Security Council on Ukraine (28 February 2022),News and Press Release,UNHCR,Protection and Human Rights,28 Feb 2022,"By Filippo Grandi, United Nations High Commissioner for Refugees, Mr President,, Greetings from Geneva., Today and in recent days, you have heard that the United Nations humanitarian organizations, together with their NGO partners, have remained in Ukraine. Let me start by saying how proud I am that we decided to do so, just like we did in Afghanistan a few months ago., But naturally, as we just heard, our colleagues on the ground – like the rest of the civilian population – are now caught up in this deadly conflict. Many of them were relocated and military attacks might force them to move again. Yet they are still striving to deliver help to people in need whenever a small window of relative security allows for humanitarian aid to be distributed – working with partners, including, especially, national NGOs, often in extremely dangerous circumstances., But we know that we are not even scratching the surface to meet the needs of Ukrainians, including an unknown but surely very substantial number who have been forced to flee their homes over the past days. The situation is moving so quickly, and the levels of risk are so high by now, that it is impossible for humanitarians to distribute systematically the aid, the help that Ukrainians desperately need., I therefore echo as well the urgent call made by the Secretary-General, and just a few minutes ago by the Emergency Relief Coordinator and by others indeed: civilians and civilian infrastructure must be protected and spared, and humanitarian access must be granted for those delivering aid to those impacted by war. A failure to do so will compound the already extraordinary levels of human suffering., Mr President,, In addition to the grave situation inside Ukraine, and as Martin just told us, hundreds of thousands are seeking refuge in neighbouring countries. They need safety and protection, first and foremost, but also shelter, food, hygiene and other support; and they need it urgently., As we speak, there are 520,000 refugees from Ukraine in neighbouring countries. This figure has been rising exponentially, hour after hour, literally, since Thursday. I have worked in refugee crises for almost 40 years and I have rarely seen such an incredibly fast-rising exodus of people – the largest, surely, within Europe, since the Balkan wars. Over 280,000 have fled to Poland. Another 94,000 to Hungary, nearly 40,000 are currently in Moldova; 34,000 in Romania, 30,000 in Slovakia; tens of thousands in other European countries. We are also aware that a sizeable number have gone to the Russian Federation., I want to commend the governments of receiving countries for allowing refugees access to their territory. The challenge to admit and register, to meet the needs and ensure the protection of those fleeing, are daunting, but so far they have been met, though I am seriously concerned about the likely, and further escalation in the number of arrivals. Mr President, we may have just seen the beginning., So my message today is one of gratitude to the governments of Ukraine’s neighbours, and also – through them – my heartfelt thanks to the citizens of those countries., Ordinary Poles, Hungarians, Moldovans, Romanians, Slovaks and citizens of other European countries have undertaken extraordinary acts of humanity and kindness. This is the humanitarian instinct that is so needed in times of crisis. I encourage governments to continue to maintain access to territory for all those fleeing: Ukrainians, of course, but also third-country nationals living in Ukraine – people there to work and to study, and in some cases people that are in Ukraine as refugees – and all of whom are now similarly forced to escape the violence. At this critical juncture there can be no discrimination against any person or any group., I am aware that the European Union, its member States and other governments have already provided countries receiving refugees from Ukraine with bilateral support, which I hope will continue. UNHCR, with its United Nations partner agencies, and national and international NGOs, is present in all these countries and we are scaling up. We encourage host countries to avail themselves of our support and expert advice as they address the situation and uphold their international obligations., We are helping and can do more in areas like protection and registration, organizing reception capacity, providing emergency relief and cash assistance, and in identifying and responding to the needs of the most vulnerable, many of them women and children, including a growing number of unaccompanied and separated children., Mr President,, I regret to say that unless there is, as Martin said, an immediate halt to conflict, Ukrainians will simply continue to flee. We are currently planning – repeat: planning – for up to four million refugees in the coming days and weeks. Such a rapid increase would be a huge burden for receiving states and would no doubt stress reception systems and related resources. Like all countries hosting refugees around the world, they cannot be left alone to shoulder this responsibility., I therefore welcome the support expressed by many European States at yesterday’s European Union Justice and Home Affairs Council, to activate the Temporary Protection Directive for people fleeing Ukraine. This would enable if activated immediate and temporary refuge in the European Union. It would also facilitate the sharing of responsibility for people fleeing Ukraine among European States., As Martin mentioned, we will launch the UN Humanitarian Appeal for Ukraine tomorrow – for activities both inside and outside the country. Private citizens and companies from around the world have already offered extraordinary financial support through thousands of donations – over US$40 million to UNHCR alone, in a couple of days – and I am counting on governments to do the same – and quickly. Ukrainians – and countries hosting refugees from Ukraine – cannot wait., Finally, Mr President, a reminder that Ukrainian refugees – like all others (and please let us not forget the continuing plight of Afghans, of Syrians, of Ethiopians, of the Rohingya people from Myanmar, and of many others) – all of them never wanted to be refugees. They never wanted to be forced to flee their homes, and they all hope to return to their country as quickly as possible., Mr President,, Members of the Security Council,, It is not very often that I get to brief the Security Council. Let me take this opportunity, therefore, to echo what I said to the Council the last time you invited me, a few months ago – that humanitarian workers are courageous, resourceful and experienced, but they cannot keep the pace of conflicts constantly growing in numbers and gravity around the world., I speak to you as a sixth night of anguish falls over Europe, struck once again by war, and as millions of innocent Ukrainian civilians huddle in bunkers, scramble to board overcrowded trains, and think with trepidation about the future of their children., Let me say – as an old humanitarian worker myself – that the responsibility that you have – to ensure that eventually peace and security for all prevails over power struggles and narrow national interests – has never been as urgent, and as indispensable a task, as it is tonight., If you fail – if we fail – it might be too late for us all., Thank you.",https://reliefweb.int/report/ukraine/high-commissioner-s-statement-united-nations-security-council-ukraine-28-february
World Food Programme set to assist people affected by conflict in Ukraine,News and Press Release,WFP,Food and Nutrition,28 Feb 2022,"WFP calls for US$570 million as 422,000 people cross into neighbouring countries such as Poland, The World Food Programme (WFP) is launching an emergency operation to provide food assistance for people fleeing the conflict inside Ukraine and in neighbouring countries, following an official request from the country’s Government., “We are deeply concerned for the impact of hostilities on the lives and livelihoods of civilians,” said Margot van der Velden, WFP’s Director of Emergencies. “As the situation evolves, there is a need to ensure that affected communities have continued access to any humanitarian support they may require and that the safety of humanitarian staff on the ground is guaranteed.”, The food assistance operation is expected to cover Romania and Poland initially, and then possibly Moldovia and Slovakia, guided by the humanitarian principles of neutrality, impartiality, humanity and independence., While it is difficult to estimate the humanitarian consequences of this developing war, UNHCR – the UN Refugee Agency – estimates that 422,000 Ukrainians have already fled the country and sought refuge in neighbouring countries since the beginning of the conflict. Miles-long traffic jams are being seen towards Ukraine’s neighbours to the west., The majority of the people fleeing to the Polish border are women and children, as men are not allowed to leave the country. The waiting time to cross the 14 km backlog into Poland can be up to 40 hours, with temperatures as low as -2°C at night. Families are desperate, cold, afraid and hungry., Food and drinking water shortages are reported in pockets of the capital Kyiv and in Kharkiv, the two cities currently bearing the brunt of the ongoing conflict., WFP staff in the capital say that food supplies are running low, with grocery store shelves almost empty. Food shortages will be another obstacle facing residents of Kyiv, many of whom have taken shelter in metro stations., WFP teams are on the ground in the city and in a number of the neighbouring countries leading the emergency telecoms and logistics push on behalf of the UN., The Black Sea basin is one of the world’s most important areas for grain and agricultural production, and the food security impact of the conflict will likely be felt beyond Ukraine’s borders., In a year of unprecedented humanitarian needs, this will also affect WFP’s efforts to supply food to some of its biggest emergencies., “We get 50 percent of our grains out of the Ukraine-Russia area, it’s going have a dramatic impact on food costs, shipping costs, oil and fuel,” said WFP Executive Director David Beasley in a social media video posted from Yemen. “This is catastrophe on top of catastrophe.”, WFP is currently calling for US$570 million for its emergency response in Ukraine., Between 2014 and 2018, WFP ran an operation in the east of the country, reaching more than 1 million people through cash, food vouchers or locally purchased food rations, operating in both Government- and non-Government-controlled areas., The current crisis comes as WFP warns 811 million people go to bed hungry every night around the world, with the number of those facing acute food insecurity having jumped from 135 million to 283 million since 2019 – a consequence of the COVID-19 pandemic., A total of 45 million people in 43 countries are teetering on the edge of famine – in addition to working to ensure that the needs of people in, and feeling from, Ukraine are met, WFP is working around the clock to make sure critical supplies to its operations around the world suffer minimal interruption.",https://reliefweb.int/report/ukraine/world-food-programme-set-assist-people-affected-conflict-ukraine
Ukraine: Supply of refugees at risk,News and Press Release,Malteser,"Food and Nutrition
Protection and Human Rights
Shelter and Non-Food Items",28 Feb 2022,"Malteser International: ""We need humanitarian corridors to bring food into the country"", Cologne/Lviv. Cold, snow, and a lack of food, medicines and other essential goods threaten the welfare of refugees in Ukraine. ""The situation for the fleeing women, children and elderly is catastrophic. We are starting to run out of everything,"" said Pavlo Titko, Head of Order of Malta Ukraine., ""At the border with Poland and Slovakia, queues of cars of up to 40 kilometres long are forming. People need blankets, they wait for hours in their cars or make their way on foot. In Kiev, small children are being put on trains heading west by their parents alone and unaccompanied."", Malteser International's Secretary General, Clemens Graf von Mirbach-Harff, appealed to the warring parties to establish humanitarian corridors. ""Civilians must be cared for or be able to reach the border safely,” said Mirbach. “Most people, however, remain in the country. They must not be cut off from supplies, otherwise even more people will die from hunger or exposure than as a direct consequence of the fighting. We need humanitarian corridors to bring food into the country."", The Order of Malta is aiding refugees directly at the border in Ukraine as well as in neighbouring Poland, Slovakia, Hungary and Romania. In Lviv, more than 1,000 meals were served in a soup kitchen today. Order of Malta Ukraine was able to activate 80 additional volunteer helpers., Around the world, the willingness to help is very great. Individuals and companies are donating money, goods, and services. Order of Malta Poland has been provided with several vans from the Sixt car rental company. These will be used to shuttle patients or refugees to shelters. ""We have been a partner of Malteser International for many years and are now very happy that we can quickly provide help to the people and especially the children fleeing Ukraine in this way,"" says Regine Sixt, Chairwoman of the Board of the Regine Sixt Children's Aid Foundation ""Tränchen Trocknen""., Private individuals and companies can contact a hotline set up by Malteser. The number is: +49 (0)800 - 589 279 94. Secretary General Clemens Graf von Mirbach-Harff: ""There is a great sense of European solidarity. Every euro donors give, expresses that. We are doing everything we can to expand our capacities and want to answer initial questions with the hotline."", Attention editors:, You can find photos for download here: https://malteser.eyebase.com/view/pinRTksi8hy, Oliver Hochedez, Head of the Emergency Department of Malteser International in Cologne, is available for interviews and sound bites., Operator: +49 (0)221 98227 181, katharina.kiecol(at)malteser-international.org",https://reliefweb.int/report/ukraine/ukraine-supply-refugees-risk
"UNICEF Executive Director Catherine Russell's remarks at the Joint Launch of the Humanitarian Flash Appeal and Regional Refugee Response Plan, Ukraine",News and Press Release,UNICEF,"Health
Protection and Human Rights
Shelter and Non-Food Items
Water Sanitation Hygiene",1 Mar 2022,"NEW YORK, 1 March 2022 - ""The situation facing children and families caught up in the escalating conflict in Ukraine grows worse by the minute., ""The fighting is moving closer to civilian populations -- closer to children's homes and schools, to hospitals and orphanages., ""Damage to infrastructure has left hundreds of thousands of people without safe water and electricity. Explosive weapons and remnants of war in populated areas are real and present dangers., ""At least 13 children have been killed, according to data verified by OHCHR, and we expect that number to increase as fighting rages on. Many children have been wounded. And many more children are being profoundly traumatized by the violence all around them. Hundreds of thousands are out of school. And all 7.5 million children in Ukraine are at heightened risk., ""UNICEF and our partners are working 24 hours a day to meet rapidly escalating humanitarian needs, which include emergency medical services, critical medicines, health supplies and equipment, safe water for drinking and hygiene, and shelter and protection for those displaced from their homes., ""At present, we have 140 people working for UNICEF in Ukraine, and we are sending more to meet needs in-country. Across the east, nine UNICEF-supported child protection mobile teams are reaching children wherever they can with psychosocial care, mental health support, and protection services., ""But the operating environment in Ukraine is extremely complex. Access constraints and rapidly changing front lines make it much more difficult to deliver critical supplies and services., ""The refugee crisis is growing exponentially, increasing humanitarian needs. Half of the people on the move are children. UNICEF is working closely with UNHCR to reach them with protection and assistance in receiving countries., ""Children and families caught up in this conflict need all the help we can give them -- and they need it now. UNICEF is appealing for $276 million for children inside Ukraine as part of OCHA's Flash Appeal and requires an additional $73 million for the Regional Refugee Response Plan in neighbouring countries., ""We rely on the generosity and support of the global community to help UNICEF and our partners reach children and families in Ukraine, whose lives and futures hang in the balance. We cannot rest until we reach every child affected by this conflict.""",https://reliefweb.int/report/ukraine/unicef-executive-director-catherine-russells-remarks-joint-launch-humanitarian-flash
Ukraine Emergency Situation Report #1 (As of 1 March 2022),Situation Report,Logistics Cluster,Logistics and Telecommunications,1 Mar 2022,"The Logistics Cluster has deployed a Coordinator as well as two Operations and one Information Management Officer in Rzeszow, Poland., The Logistics Cluster Cell is currently doing a logistics capacity assessment to strategize and implement the transport of humanitarian relief items into Ukraine from neighbouring countries. The Concept of Operations has been endorsed by partners and published on 01 March 2022., A common storage location in Rzeszow, Poland, has been secured and will be made available for partners by Friday, 4 March 2022. Arrival of cargo before Friday can be discussed on a case-by-case basis., Inland transport solutions to move humanitarian cargo from Poland (Rzeszow) to Ukraine (Lviv) are currently being assessed. Partners are encouraged to share any transport capacity-related information with the Logistics Cluster., Active outreach to partners is conducted to advocate for a coordinated approach and map capacity for the regional response., The Ukraine operation webpage is now online., The next coordination meetings will take place on Thursday 3 March 2022 at 10:00 (Poland) and 15:00 (Ukraine). And last minutes may be accessed here.",https://reliefweb.int/report/ukraine/ukraine-emergency-situation-report-1-1-march-2022
Ukraine Emergency Situation Report #1 (As of 1 March 2022),Situation Report,WFP,Logistics and Telecommunications,1 Mar 2022,"The Logistics Cluster has deployed a Coordinator as well as two Operations and one Information Management Officer in Rzeszow, Poland., The Logistics Cluster Cell is currently doing a logistics capacity assessment to strategize and implement the transport of humanitarian relief items into Ukraine from neighbouring countries. The Concept of Operations has been endorsed by partners and published on 01 March 2022., A common storage location in Rzeszow, Poland, has been secured and will be made available for partners by Friday, 4 March 2022. Arrival of cargo before Friday can be discussed on a case-by-case basis., Inland transport solutions to move humanitarian cargo from Poland (Rzeszow) to Ukraine (Lviv) are currently being assessed. Partners are encouraged to share any transport capacity-related information with the Logistics Cluster., Active outreach to partners is conducted to advocate for a coordinated approach and map capacity for the regional response., The Ukraine operation webpage is now online., The next coordination meetings will take place on Thursday 3 March 2022 at 10:00 (Poland) and 15:00 (Ukraine). And last minutes may be accessed here.",https://reliefweb.int/report/ukraine/ukraine-emergency-situation-report-1-1-march-2022
OSCE Special Monitoring Mission to Ukraine (SMM) Daily Report 47/2022 issued on 28 February 2022 [EN/RU/UK],News and Press Release,OSCE,"Peacekeeping and Peacebuilding
Protection and Human Rights",28 Feb 2022,"Based on information from the Monitoring Teams as of 17:00 28 February 2022. All times are in Eastern European Time., Summary, During the evening of 27-28 February and from early morning hours on 28 February, the SMM continued to hear multiple explosions, including multiple launch rocket system and heavy artillery fire in and around the cities of Kharkiv and Kherson., The Mission completed the evacuation activities of most international mission members following the 25 February decision. The SMM Monitoring Teams in Kharkiv and Kherson remain sheltered in place, while its Monitoring Teams in Luhansk and Donetsk Patrol Hubs remain on standby for evacuation. The Chief Monitor and senior management will remain in Ukraine until the evacuation process is complete.",https://reliefweb.int/report/ukraine/osce-special-monitoring-mission-ukraine-smm-daily-report-472022-issued-28-february
