year,ISO3,admin0Name_en,admin0Name_ua,admin0Name_ru,ADM0_PCODE,admin1Name_en,admin1Name_ua,admin1Name_ru,ADM1_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2022,UKR,Ukraine,Україна,Украина,UA,Autonomous Republic of Crimea,Автономна Республіка Крим,Автономная Республика Крым,UA01,1044581,884420,1929001,50643,57635,57330,44163,40655,50906,74326,83854,73548,69380,65175,74036,79856,72823,59597,30901,59753,53676,61100,60555,45578,40809,53391,76084,85797,70729,61552,53560,55551,54780,44623,31413,13647,21575,104319,118735,117885,89741,81464,104297,150410,169651,144277,130932,118735,129587,134636,117446,91010,44548,81328
2022,UKR,Ukraine,Україна,Ukraine,UA,Cherkaska,Черкаська,Черкасская,UA71,624475,532640,1157115,18772,27861,28919,24570,25372,33382,43358,47095,41688,45718,44483,46557,48269,43195,38933,22957,43346,20360,29902,31274,25844,26699,35122,46283,48526,40058,41226,38845,37732,36166,27616,21865,10113,15009,39132,57763,60193,50414,52071,68504,89641,95621,81746,86944,83328,84289,84435,70811,60798,33070,58355
2022,UKR,Ukraine,Україна,Ukraine,UA,Chernihivska,Чернігівська,Черниговская,UA74,518447,432326,950773,15044,22379,23933,20039,20064,25586,35498,38048,34457,36256,34587,37660,42453,38736,33747,17548,42412,15765,23315,25004,20944,20620,27430,38089,44663,33643,32047,30045,29961,29762,24273,17331,6990,12444,30809,45694,48937,40983,40684,53016,73587,82711,68100,68303,64632,67621,72215,63009,51078,24538,54856
2022,UKR,Ukraine,Україна,Ukraine,UA,Chernivetska,Чернівецька,Черновицкая,UA73,468777,418615,887392,20604,26657,26221,23241,24970,30130,34504,39028,34052,32285,30227,29870,32533,26707,22328,13553,21867,22157,28476,27758,24565,25863,30549,34767,37356,33304,30524,27979,25629,24888,17641,12931,6173,8055,42761,55133,53979,47806,50833,60679,69271,76384,67356,62809,58206,55499,57421,44348,35259,19726,29922
2022,UKR,Ukraine,Україна,Ukraine,UA,Dnipropetrovska,Дніпропетровська,Днепропетровская,UA12,1680750,1412426,3093176,56061,84108,86774,71211,63633,84273,118963,136354,122826,119113,112650,121770,133209,115683,96703,53716,103703,58895,88982,92214,75997,68383,90082,124043,138319,118413,107184,93884,90472,90808,67917,48283,20764,37786,114956,173090,178988,147208,132016,174355,243006,274673,241239,226297,206534,212242,224017,183600,144986,74480,141489
2022,UKR,Ukraine,Україна,Ukraine,UA,Donetska,Донецька,Донецкая,UA14,2207252,1839235,4046487,32820,72845,99043,79406,73108,95081,146794,177091,161688,153462,144437,160605,189157,167829,140885,80931,232070,35477,77858,105476,85242,78326,104153,157354,181437,157741,140989,124333,125246,139028,108866,80916,35969,100824,68297,150703,204519,164648,151434,199234,304148,358528,319429,294451,268770,285851,328185,276695,221801,116900,332894
2022,UKR,Ukraine,Україна,Ukraine,UA,Ivano-Frankivska,Івано-Франківська,Ивано-Франковская,UA26,711226,637870,1349096,29291,39001,40384,35615,36238,45502,53844,57552,50031,47855,46234,47989,52336,39649,32889,20876,35940,31211,41858,42639,37150,37584,46611,55951,56780,49542,46430,42630,41228,40520,27149,18962,9487,12138,60502,80859,83023,72765,73822,92113,109795,114332,99573,94285,88864,89217,92856,66798,51851,30363,48078
2022,UKR,Ukraine,Україна,Ukraine,UA,Kharkivska,Харківська,Харьковская,UA63,1384642,1198683,2583325,43701,62658,62999,60219,59476,73011,97909,114659,103820,100826,93239,99341,110096,98336,84633,40181,79538,46632,66530,67343,63359,67338,80975,102523,119316,105907,94127,81643,78310,76201,58370,44358,17034,28717,90333,129188,130342,123578,126814,153986,200432,233975,209727,194953,174882,177651,186297,156706,128991,57215,108255
2022,UKR,Ukraine,Україна,Ukraine,UA,Khersonska,Херсонська,Херсонская,UA65,535440,464726,1000166,20053,27985,28585,23716,22895,28708,38378,42055,36933,37536,36230,38539,40885,37311,29637,16299,29695,21538,29962,30413,25355,24226,30967,41234,43488,36204,34584,30974,30870,29389,23478,16096,6498,9450,41591,57947,58998,49071,47121,59675,79612,85543,73137,72120,67204,69409,70274,60789,45733,22797,39145
2022,UKR,Ukraine,Україна,Ukraine,UA,Khmelnytska,Хмельницька,Хмельницкая,UA68,655503,570163,1225666,24469,33773,34660,28326,29272,36829,45604,47611,44456,46007,44339,46503,49741,43636,35907,22607,41763,25675,35663,36343,30685,30891,38589,48818,50060,43081,42375,40032,38906,37385,28355,20043,9814,13448,50144,69436,71003,59011,60163,75418,94422,97671,87537,88382,84371,85409,87126,71991,55950,32421,55211
2022,UKR,Ukraine,Україна,Ukraine,UA,Kirovohradska,Кіровоградська,Кировоградская,UA35,483025,414272,897297,15712,23735,24507,20280,19999,25936,33606,34735,31844,34069,34287,35678,36606,32783,28687,18610,31951,16552,25045,26241,21408,21261,29059,37493,35826,30080,30987,29635,28634,26538,19746,15249,7122,13396,32264,48780,50748,41688,41260,54995,71099,70561,61924,65056,63922,64312,63144,52529,43936,25732,45347
2022,UKR,Ukraine,Україна,Ukraine,UA,Kyiv,Київ,Киев,UA80,1568793,1342201,2910994,69952,84281,78333,73506,61773,85025,115934,149140,137368,120356,96477,95147,108398,101560,86110,42619,62814,75945,90238,82287,76978,68452,86682,105051,134619,120297,106485,84900,73502,73376,61671,49159,22519,30040,145897,174519,160620,150484,130225,171707,220985,283759,257665,226841,181377,168649,181774,163231,135269,65138,92854
2022,UKR,Ukraine,Україна,Ukraine,UA,Kyivska,Київська,Киевская,UA32,969870,819430,1789300,45261,54992,52816,40113,38431,55456,76877,86028,69495,66582,62924,67434,69839,59522,48207,28267,47626,48234,58847,56461,42978,39107,52094,70217,80416,65866,60692,54143,53318,49931,36795,25033,10856,14442,93495,113839,109277,83091,77538,107550,147094,166444,135361,127274,117067,120752,119770,96317,73240,39123,62068
2022,UKR,Ukraine,Україна,Ukraine,UA,Luhanska,Луганська,Луганская,UA44,1136515,961809,2098324,11340,30453,49505,40361,36278,48331,74632,92089,81831,76923,73913,84097,102111,88900,76123,39609,130019,12236,32887,52895,42880,39326,52514,82009,96889,83383,75090,66427,68850,78798,61264,45584,18980,51797,23576,63340,102400,83241,75604,100845,156641,188978,165214,152013,140340,152947,180909,150164,121707,58589,181816
2022,UKR,Ukraine,Україна,Ukraine,UA,Lvivska,Львівська,Львовская,UA46,1294772,1164991,2459763,53353,70119,69301,63442,64475,80438,95101,103470,90956,86012,85078,89265,98265,75815,61409,40834,67439,56368,74052,73164,66477,66596,83849,97563,112427,91736,82011,78370,76366,76402,51173,35027,19418,23992,109721,144171,142465,129919,131071,164287,192664,215897,182692,168023,163448,165631,174667,126988,96436,60252,91431
